ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
29,9,-1.8491,-53.8498,55.18,230,0,3
29,10,-1.8494,-53.6760,55.96,237,0,3
29,11,-1.9420,-54.3370,55.49,243,0,3
29,12,-1.8802,-53.6207,55.25,246,0,3
29,13,-1.9319,-53.8880,55.45,252,0,3
29,14,-1.9769,-55.7081,56.64,256,0,3
29,15,-1.9735,-55.3129,56.75,263,0,3
29,16,-1.9769,-55.1879,55.83,265,0,3
29,17,-1.9406,-53.1206,53.76,265,0,3
29,18,-1.8708,-51.0324,52.19,265,0,3
29,19,-1.8159,-50.3326,51.92,268,0,3
29,20,-1.8641,-51.3023,52.35,267,0,3
30,5,-1.6534,-50.2791,52.45,213,0,3
30,6,-1.8183,-54.4373,55.54,222,0,3
30,7,-1.8950,-55.1656,55.86,220,0,3
30,8,-1.8846,-53.9183,55.07,226,0,3
30,9,-1.8548,-53.8662,55.16,229,0,3
30,10,-1.8526,-53.6540,55.91,236,0,3
30,11,-1.9404,-54.2241,55.36,242,0,3
30,12,-1.8774,-53.4750,55.10,245,0,3
30,13,-1.9295,-53.8176,55.37,250,0,3
30,14,-1.9596,-55.2169,56.13,254,0,3
30,15,-1.9573,-54.8759,56.31,261,0,3
30,16,-1.9610,-54.7635,55.42,263,0,3
30,17,-1.9255,-52.7158,53.36,263,0,3
30,18,-1.8559,-50.6357,51.79,263,0,3
30,19,-1.8094,-50.2325,51.58,266,0,3
30,20,-1.8486,-50.8999,51.95,265,0,3
