ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate,pass
19,9,1,-74.3977,-2.4216,74.60,104,0.0000,0
19,9,2,-41.1601,-1.4700,43.72,87,0.0000,0
19,10,0,-57.8632,-2.0894,58.68,100,0.0000,0
19,10,1,-76.2328,-2.5013,76.46,109,0.0000,0
19,10,2,-40.5859,-1.4435,43.80,88,0.0000,0
19,11,0,-57.1813,-2.1162,58.02,99,0.0000,0
19,11,1,-75.9769,-2.5278,76.27,113,0.0000,0
19,11,2,-42.6766,-1.6564,43.93,90,0.0000,0
19,12,0,-56.3813,-2.1096,56.79,98,0.0000,0
19,12,1,-76.8234,-2.5058,77.10,115,0.0000,0
19,12,2,-42.4344,-1.6415,44.43,93,0.0000,0
19,13,0,-55.9311,-2.1465,56.36,100,0.0000,0
19,13,1,-75.6922,-2.4919,75.97,117,0.0000,0
19,13,2,-42.8339,-1.6355,45.06,92,0.0000,0
19,14,0,-57.1394,-2.1122,57.54,103,0.0000,0
19,14,1,-76.0171,-2.5120,76.22,118,0.0000,0
19,14,2,-45.5005,-1.7200,47.03,94,0.0000,0
19,15,0,-57.8997,-2.0996,58.91,106,0.0000,0
19,15,1,-74.2090,-2.4373,74.45,118,0.0000,0
19,15,2,-42.2932,-1.6232,45.10,96,0.0000,0
19,16,0,-60.2082,-2.2152,60.65,109,0.0000,0
19,16,1,-73.1151,-2.3825,73.40,117,0.0000,0
19,16,2,-45.5749,-1.7458,46.62,95,0.0000,0
19,17,0,-59.2459,-2.1632,59.61,111,0.0000,0
19,17,1,-71.2094,-2.3869,71.51,115,0.0000,0
19,17,2,-42.4462,-1.6253,43.52,97,0.0000,0
19,18,0,-56.7917,-2.1423,57.23,107,0.0000,0
19,18,1,-68.9793,-2.3016,69.55,117,0.0000,0
19,18,2,-40.0433,-1.5063,41.26,97,0.0000,0
19,19,0,-57.3975,-2.1354,57.81,108,0.0000,0
19,19,1,-69.1892,-2.3073,69.66,119,0.0000,0
19,19,2,-39.3579,-1.4679,41.33,98,0.0000,0
19,20,0,-55.2929,-2.0654,55.71,108,0.0000,0
19,20,1,-69.8860,-2.3198,70.30,118,0.0000,0
19,20,2,-40.9017,-1.5370,42.13,97,0.0000,0
20,5,0,-62.6602,-1.8918,63.20,88,0.0000,0
20,5,1,-73.9257,-2.2250,74.66,93,0.0000,0
20,5,2,-35.5571,-1.3422,38.30,79,0.0000,0
20,6,0,-64.2141,-2.0636,64.67,92,0.0000,0
20,6,1,-74.3488,-2.2649,74.72,97,0.0000,0
20,6,2,-40.4956,-1.6048,42.16,80,0.0000,0
20,7,0,-61.3899,-2.0462,61.93,92,0.0000,0
20,7,1,-74.7039,-2.3631,74.88,97,0.0000,0
20,7,2,-41.2191,-1.6692,41.95,80,0.0000,0
20,8,0,-60.6042,-2.1170,61.01,95,0.0000,0
20,8,1,-73.9413,-2.3636,74.20,98,0.0000,0
20,8,2,-41.0428,-1.5782,42.53,80,0.0000,0
20,9,0,-58.3690,-2.0842,58.85,95,0.0000,0
20,9,1,-73.8364,-2.4088,74.04,100,0.0000,0
20,9,2,-40.0011,-1.4361,42.66,81,0.0000,0
20,10,0,-58.3525,-2.1253,58.84,99,0.0000,0
20,10,1,-75.0167,-2.4589,75.26,105,0.0000,0
20,10,2,-39.3948,-1.4107,42.67,80,0.0000,0
20,11,0,-57.8419,-2.1482,58.38,98,0.0000,0
20,11,1,-75.1534,-2.5034,75.45,109,0.0000,0
20,11,2,-40.7995,-1.6078,42.14,82,0.0000,0
20,12,0,-56.0836,-2.0859,56.48,97,0.0000,0
20,12,1,-76.2700,-2.4912,76.55,111,0.0000,0
20,12,2,-40.7811,-1.6057,42.89,85,0.0000,0
20,13,0,-57.6278,-2.1532,57.97,101,0.0000,0
20,13,1,-74.5123,-2.4639,74.80,113,0.0000,0
20,13,2,-40.8307,-1.5679,43.16,83,0.0000,0
20,14,0,-57.0074,-2.0860,57.35,102,0.0000,0
20,14,1,-75.0281,-2.4855,75.24,114,0.0000,0
20,14,2,-44.2165,-1.6855,45.80,86,0.0000,0
20,15,0,-58.6763,-2.1345,59.10,105,0.0000,0
20,15,1,-73.2582,-2.4262,73.50,114,0.0000,0
20,15,2,-41.4238,-1.6224,44.31,88,0.0000,0
20,16,0,-60.4548,-2.2232,60.87,108,0.0000,0
20,16,1,-72.0803,-2.3657,72.36,113,0.0000,0
20,16,2,-44.4879,-1.7266,45.53,87,0.0000,0
20,17,0,-59.3555,-2.1643,59.64,109,0.0000,0
20,17,1,-70.1073,-2.3670,70.41,111,0.0000,0
20,17,2,-41.8586,-1.6382,42.92,88,0.0000,0
20,18,0,-56.9684,-2.1494,57.30,106,0.0000,0
20,18,1,-67.5170,-2.2737,69.09,113,0.0000,0
20,18,2,-40.1727,-1.5414,41.37,90,0.0000,0
20,19,0,-57.5452,-2.1412,57.84,107,0.0000,0
20,19,1,-68.0235,-2.2864,69.33,115,0.0000,0
20,19,2,-39.2861,-1.4872,40.63,91,0.0000,0
20,20,0,-55.4349,-2.0740,55.82,107,0.0000,0
20,20,1,-68.5298,-2.2960,69.71,114,0.0000,0
20,20,2,-39.8078,-1.5126,41.02,89,0.0000,0
21,5,0,-62.2355,-1.8665,62.84,88,0.0000,0
21,5,1,-73.2168,-2.2132,73.86,90,0.0000,0
21,5,2,-34.1430,-1.3010,37.85,78,0.0000,0
21,6,0,-64.1871,-2.0611,64.65,93,0.0000,0
21,6,1,-74.0194,-2.2708,74.32,94,0.0000,0
21,6,2,-39.3722,-1.5655,41.48,79,0.0000,0
21,7,0,-61.3733,-2.0455,61.93,93,0.0000,0
21,7,1,-74.5973,-2.3722,74.60,94,0.0000,0
21,7,2,-40.3185,-1.6460,41.43,79,0.0000,0
21,8,0,-60.2182,-2.1020,60.63,96,0.0000,0
21,8,1,-73.9193,-2.3738,73.92,95,0.0000,0
21,8,2,-40.8262,-1.5969,42.74,81,0.0000,0
21,9,0,-57.6353,-2.0712,58.25,95,0.0000,0
21,9,1,-72.3980,-2.3513,72.40,97,0.0000,0
21,9,2,-39.6291,-1.4229,42.68,80,0.0000,0
21,10,0,-57.6173,-2.0885,58.11,97,0.0000,0
21,10,1,-74.2783,-2.4414,74.28,102,0.0000,0
21,10,2,-39.6237,-1.4160,43.34,81,0.0000,0
21,11,0,-58.2875,-2.1709,58.74,97,0.0000,0
21,11,1,-74.6247,-2.5005,74.62,106,0.0000,0
21,11,2,-40.4057,-1.5802,42.16,81,0.0000,0
21,12,0,-56.2563,-2.0811,56.66,96,0.0000,0
21,12,1,-75.6488,-2.4769,75.66,108,0.0000,0
21,12,2,-40.6696,-1.5915,43.12,85,0.0000,0
21,13,0,-57.8311,-2.1515,58.18,100,0.0000,0
21,13,1,-73.8144,-2.4448,73.83,110,0.0000,0
21,13,2,-41.4109,-1.5905,44.03,84,0.0000,0
21,14,0,-57.5508,-2.0977,57.89,101,0.0000,0
21,14,1,-74.1962,-2.4680,74.22,111,0.0000,0
21,14,2,-44.0454,-1.6735,45.95,86,0.0000,0
21,15,0,-58.5066,-2.1271,58.93,104,0.0000,0
21,15,1,-72.3911,-2.4092,72.44,112,0.0000,0
21,15,2,-41.3423,-1.6110,44.55,88,0.0000,0
21,16,0,-60.4084,-2.2153,60.82,106,0.0000,0
21,16,1,-71.0414,-2.3323,71.15,111,0.0000,0
21,16,2,-44.9385,-1.7524,45.98,88,0.0000,0
21,17,0,-59.5496,-2.1659,59.82,107,0.0000,0
21,17,1,-68.8848,-2.3297,69.06,109,0.0000,0
21,17,2,-42.2359,-1.6609,43.30,89,0.0000,0
21,18,0,-56.3727,-2.1272,56.71,104,0.0000,0
21,18,1,-66.7265,-2.2599,68.20,111,0.0000,0
21,18,2,-40.5783,-1.5742,41.96,91,0.0000,0
21,19,0,-56.8936,-2.1163,57.19,105,0.0000,0
21,19,1,-66.9916,-2.2583,68.29,113,0.0000,0
21,19,2,-38.2577,-1.4476,40.30,91,0.0000,0
21,20,0,-54.6556,-2.0456,55.04,105,0.0000,0
21,20,1,-67.3874,-2.2604,68.59,112,0.0000,0
21,20,2,-39.7164,-1.5013,40.93,89,0.0000,0
22,5,0,-58.7358,-1.8299,59.46,86,0.0000,0
22,5,1,-73.8291,-2.2296,74.47,89,0.0000,0
22,5,2,-35.2496,-1.3293,38.25,75,0.0000,0
22,6,0,-64.0009,-2.0466,64.46,91,0.0000,0
22,6,1,-74.3038,-2.2818,74.60,93,0.0000,0
22,6,2,-42.1371,-1.6092,43.93,75,0.0000,0
22,7,0,-60.4057,-2.0174,60.95,91,0.0000,0
22,7,1,-74.6265,-2.3661,74.63,94,0.0000,0
22,7,2,-39.9438,-1.5765,40.91,75,0.0000,0
22,8,0,-59.1348,-2.0519,59.54,94,0.0000,0
22,8,1,-74.0542,-2.3709,74.05,95,0.0000,0
22,8,2,-40.1077,-1.5395,42.00,77,0.0000,0
22,9,0,-56.5196,-2.0099,57.14,94,0.0000,0
22,9,1,-73.0798,-2.3899,73.08,97,0.0000,0
22,9,2,-38.9759,-1.3629,41.87,76,0.0000,0
22,10,0,-58.3006,-2.1610,58.73,96,0.0000,0
22,10,1,-74.5660,-2.4544,74.57,102,0.0000,0
22,10,2,-36.7050,-1.2758,40.59,76,0.0000,0
22,11,0,-57.0642,-2.1127,57.52,96,0.0000,0
22,11,1,-74.7354,-2.5060,74.74,106,0.0000,0
22,11,2,-38.6465,-1.4545,40.40,77,0.0000,0
22,12,0,-55.3585,-2.0406,55.76,95,0.0000,0
22,12,1,-75.8058,-2.4861,75.81,108,0.0000,0
22,12,2,-37.6162,-1.4836,40.24,79,0.0000,0
22,13,0,-57.8419,-2.1365,58.20,99,0.0000,0
22,13,1,-74.0608,-2.4581,74.08,110,0.0000,0
