day,ad_equity,small_equity,ddbudget_equity,turtle_equity
240,1.125667,1.073143,1.200900,2.329163
241,1.132878,1.097420,1.218440,3.908217
242,1.140136,1.122245,1.236236,3.908217
243,1.147440,1.147633,1.254292,3.908217
244,1.154791,1.173595,1.272611,3.908217
245,1.154791,1.182314,1.291198,3.908217
246,1.142274,1.184167,1.300698,3.908217
247,1.129894,1.187772,1.303026,3.908217
248,1.117647,1.174942,1.304587,3.908217
249,1.105534,1.162250,1.300128,3.908217
250,1.093552,1.151307,1.295684,3.908217
251,1.081699,1.140466,1.291855,3.908217
252,1.069975,1.129727,1.288036,3.908217
253,1.058378,1.119090,1.280634,3.908217
254,1.046907,1.108553,1.273933,3.908217
255,1.035560,1.098115,1.267268,3.908217
256,1.024336,1.085898,1.263842,5.730780
257,1.013234,1.073817,1.259705,5.730780
258,1.002252,1.061870,1.255582,5.730780
259,0.991389,1.050056,1.254732,5.730780
260,0.980644,1.038374,1.253882,5.730780
261,0.970015,1.026822,1.253033,5.730780
262,0.959502,1.019361,1.252184,5.730780
263,0.949102,1.011954,1.251820,5.730780
264,0.938815,1.004602,1.251455,5.730780
265,0.928640,0.997303,1.251091,5.730780
266,0.918575,0.990057,1.250726,5.730780
267,0.918575,0.982863,1.249458,5.730780
268,0.913361,0.986764,1.250449,5.730780
269,0.908176,0.995021,1.254167,5.730780
270,0.903021,1.003347,1.259739,5.514025
271,0.897895,1.011743,1.265336,5.514025
272,0.892798,1.013068,1.270957,5.514025
273,0.887731,1.014395,1.275707,5.514025
274,0.882691,1.015724,1.280474,5.264977
275,0.877681,1.017055,1.284961,5.264977
276,0.872699,1.018387,1.289463,5.264977
277,0.867745,1.019721,1.293982,5.264977
278,0.862820,1.020289,1.298516,5.264977
279,0.857922,1.020857,1.302968,5.264977
280,0.853052,1.021425,1.307435,5.264977
281,0.848210,1.021994,1.309550,3.290834
282,0.843395,1.022563,1.316747,3.290834
283,0.838608,1.023132,1.322627,3.290834
284,0.833847,1.023702,1.328533,3.290834
285,0.829114,1.024272,1.334465,3.290834
286,0.824408,1.024842,1.340424,3.290834
287,0.819728,1.025413,1.346410,3.290834
288,0.815075,1.025984,1.352422,3.290834
289,0.815075,1.021985,1.358461,3.290834
290,0.815786,1.013952,1.365207,3.290834
291,0.816498,1.005983,1.367852,3.290834
292,0.817211,0.998077,1.372622,3.290834
293,0.817924,1.000967,1.377409,3.290834
294,0.818638,1.003865,1.383695,3.290834
295,0.819353,1.006771,1.390009,3.290834
296,0.820068,1.009686,1.396351,3.290834
297,0.820784,1.012609,1.402723,3.290834
298,0.821500,1.015541,1.409124,3.290834
299,0.822217,1.010616,1.415554,3.290834
300,0.822935,1.005715,1.420917,3.290834
301,0.823653,1.000837,1.426300,3.290834
302,0.824372,0.995983,1.431704,3.290834
303,0.825091,0.991153,1.430267,3.290834
304,0.825811,0.986346,1.429321,3.290834
305,0.826532,0.988322,1.427816,3.290834
306,0.827253,0.988662,1.427292,3.290834
307,0.827975,0.989001,1.426530,3.290834
308,0.828698,0.989341,1.425769,3.290834
309,0.829421,0.989681,1.425009,3.290834
310,0.830145,0.990020,1.424249,3.290834
311,0.830145,0.992654,1.423489,3.290834
312,0.831558,0.992999,1.422853,3.290834
313,0.832974,0.991256,1.419987,3.290834
314,0.834392,0.989516,1.416829,3.290834
315,0.835812,0.987779,1.413678,3.290834
316,0.837235,0.986046,1.411220,3.290834
317,0.838660,0.984315,1.408766,3.290834
318,0.840088,0.982587,1.406316,3.290834
319,0.841518,0.980862,1.403871,3.290834
320,0.842950,0.979141,1.401430,3.254363
321,0.844385,0.977422,1.398993,3.254363
322,0.845823,0.975706,1.396560,3.254363
323,0.847262,0.973994,1.394132,3.254363
324,0.848705,0.972284,1.391707,3.254363
325,0.850149,0.970577,1.389295,3.254363
326,0.851597,0.968874,1.387341,3.254363
327,0.853046,0.969543,1.386273,3.254363
328,0.854498,0.970212,1.385836,3.254363
329,0.855953,0.970882,1.385400,3.254363
330,0.857410,0.971552,1.384963,3.254363
331,0.858870,0.972223,1.384527,3.254363
332,0.860332,0.972894,1.384091,3.254363
333,0.860332,0.973552,1.383655,3.254363
334,0.870924,0.975231,1.382824,3.254363
335,0.881646,0.976912,1.384977,3.254363
336,0.892501,0.978597,1.387132,2.923311
337,0.903489,0.980284,1.389292,2.923311
338,0.914613,0.980439,1.391454,2.923311
339,0.925874,0.980594,1.394222,2.923311
340,0.937273,0.980748,1.396050,2.923311
341,0.948812,0.980903,1.397880,2.923311
342,0.960494,0.980579,1.399713,2.923311
343,0.972319,0.981068,1.401480,2.923311
344,0.984290,0.981557,1.403365,2.923311
345,0.996409,0.981125,1.405253,2.923311
346,1.008676,0.980693,1.407011,2.923311
347,1.021095,0.980261,1.408772,2.923311
348,1.033666,0.979830,1.410797,2.923311
349,1.046393,0.979398,1.413896,2.923311
350,1.059276,0.978967,1.421317,2.923311
351,1.072317,0.978536,1.428778,2.923311
352,1.085519,0.978105,1.436278,2.982161
353,1.098884,0.977674,1.443817,2.982161
354,1.112413,0.985546,1.451396,2.982161
355,1.112413,0.993270,1.464275,2.982161
356,1.110382,1.017647,1.471227,2.982161
357,1.108354,1.042621,1.479774,2.982161
358,1.106329,1.068209,1.488371,2.982161
359,1.104309,1.094424,1.497018,2.982161
360,1.102292,1.115232,1.513591,2.982161
361,1.100279,1.137628,1.525025,2.982161
362,1.098269,1.160473,1.537089,2.982161
363,1.096264,1.183777,1.549248,2.982161
364,1.094262,1.207549,1.561504,2.982161
365,1.092263,1.236453,1.573856,2.982161
366,1.090268,1.266049,1.588328,3.788489
367,1.088277,1.296353,1.602934,3.788489
368,1.086289,1.327383,1.617674,3.788489
369,1.084306,1.359155,1.632549,3.788489
370,1.082325,1.391688,1.647561,3.788489
371,1.080349,1.425000,1.658792,5.418900
372,1.078375,1.459109,1.684896,5.418900
373,1.076406,1.494035,1.706906,5.418900
374,1.074440,1.529796,1.729204,5.418900
375,1.072478,1.566414,1.751793,5.418900
376,1.070519,1.577148,1.774677,5.418900
377,1.070519,1.587955,1.787754,5.418900
378,1.062893,1.576784,1.802016,5.418900
379,1.055322,1.565692,1.803771,5.418900
380,1.047804,1.554678,1.805527,5.418900
381,1.040340,1.543741,1.807286,5.418900
382,1.032929,1.534856,1.813697,5.418900
383,1.025571,1.526022,1.823918,5.418900
384,1.018265,1.517238,1.834198,5.418900
385,1.011011,1.508506,1.844535,8.074320
386,1.003809,1.496475,1.854931,8.074320
387,0.996658,1.484541,1.861665,8.074320
388,0.989559,1.472702,1.870918,8.074320
