vl,universe,window,bar_idx,equity
8,Legacy4,0,60,1.072458
8,Legacy4,0,65,1.154080
8,Legacy4,0,70,1.800269
8,Legacy4,0,71,2.093767
8,Legacy4,1,0,1.000000
8,Legacy4,1,5,0.813849
8,Legacy4,1,10,0.813849
8,Legacy4,1,15,0.820579
8,Legacy4,1,20,0.816203
8,Legacy4,1,25,0.723629
8,Legacy4,1,30,0.723629
8,Legacy4,1,35,0.723629
8,Legacy4,1,40,0.723629
8,Legacy4,1,45,0.723629
8,Legacy4,1,50,0.633472
8,Legacy4,1,55,0.953405
8,Legacy4,1,60,0.730068
8,Legacy4,1,65,0.657753
8,Legacy4,1,70,0.657753
8,Legacy4,1,75,0.657753
8,Legacy4,1,80,0.657753
8,Legacy4,1,85,0.657753
8,Legacy4,1,90,0.657753
8,Legacy4,1,95,0.657753
8,Legacy4,1,100,0.844443
8,Legacy4,1,105,0.811136
8,Legacy4,1,108,0.707890
8,Legacy4,2,0,1.000000
8,Legacy4,2,5,1.000000
8,Legacy4,2,10,1.000000
8,Legacy4,2,15,1.000000
8,Legacy4,2,20,1.000000
8,Legacy4,2,25,0.972612
8,Legacy4,2,30,1.066983
8,Legacy4,2,35,1.066983
8,Legacy4,2,40,1.066983
8,Legacy4,2,45,1.198169
8,Legacy4,2,50,1.198169
8,Legacy4,2,55,1.198169
8,Legacy4,2,60,1.198169
8,Legacy4,2,65,1.198169
8,Legacy4,2,70,1.126629
8,Legacy4,2,75,1.099843
8,Legacy4,2,80,2.020026
8,Legacy4,2,85,2.020026
8,Legacy4,2,90,2.020026
8,Legacy4,2,95,2.020026
8,Legacy4,2,100,2.020026
8,Legacy4,2,105,2.020026
8,Legacy4,2,110,2.020026
8,Legacy4,2,115,2.735728
8,Legacy4,2,119,2.394323
8,Legacy4,3,0,1.000000
8,Legacy4,3,5,0.992395
8,Legacy4,3,10,3.618634
8,Legacy4,3,15,3.618634
8,Legacy4,3,20,4.280760
8,Legacy4,3,25,4.280760
8,Legacy4,3,30,3.867748
8,Legacy4,3,35,4.771161
8,Legacy4,3,40,5.684755
8,Legacy4,3,45,5.684755
8,Legacy4,3,50,5.684755
8,Legacy4,3,55,5.684755
8,Legacy4,3,60,4.985004
8,Legacy4,3,65,4.985004
8,Legacy4,3,70,4.985004
8,Legacy4,3,75,4.985004
8,Legacy4,3,80,4.985004
8,Legacy4,3,85,4.985004
8,Legacy4,3,88,4.666783
8,Legacy4,4,0,1.000000
8,Legacy4,4,5,1.064632
8,Legacy4,4,10,1.064632
8,Legacy4,4,15,1.064632
8,Legacy4,4,20,1.064632
8,Legacy4,4,25,1.064632
8,Legacy4,4,30,0.961705
8,Legacy4,4,35,0.931696
8,Legacy4,4,40,0.931696
