mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
1.70,LowVolume5,6,18.3043,2032.57,70.43,110
1.70,OldGuard4,4,-5.7770,134.53,61.81,110
1.75,Base5,6,22.9786,820.89,56.33,92
1.75,NoDOGE,3,4.9219,1276.84,64.45,92
1.75,Legacy4,5,4.1618,1061.29,61.81,120
1.75,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.75,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.75,LargeCaps5,3,4.9219,1276.84,64.45,92
1.75,Legacy3,5,3.2603,1033.47,61.81,123
1.75,LowVolume5,6,18.3043,2032.57,70.43,110
1.75,OldGuard4,4,-5.7770,134.53,61.81,110
1.80,Base5,6,22.9786,820.89,56.33,92
1.80,NoDOGE,3,4.9219,1276.84,64.45,92
1.80,Legacy4,5,4.1618,1061.29,61.81,120
1.80,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.80,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.80,LargeCaps5,3,4.9219,1276.84,64.45,92
1.80,Legacy3,5,3.2603,1033.47,61.81,123
1.80,LowVolume5,6,18.3043,2032.57,70.43,110
1.80,OldGuard4,4,-5.7770,134.53,61.81,110
1.85,Base5,6,22.9786,820.89,56.33,92
1.85,NoDOGE,3,4.9219,1276.84,64.45,92
1.85,Legacy4,5,4.1618,1061.29,61.81,120
1.85,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.85,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.85,LargeCaps5,3,4.9219,1276.84,64.45,92
1.85,Legacy3,5,3.2603,1033.47,61.81,123
1.85,LowVolume5,6,18.3043,2032.57,70.43,110
1.85,OldGuard4,4,-5.7770,134.53,61.81,110
1.90,Base5,6,22.9786,820.89,56.33,92
1.90,NoDOGE,3,4.9219,1276.84,64.45,92
1.90,Legacy4,5,4.1618,1061.29,61.81,120
1.90,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.90,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.90,LargeCaps5,3,4.9219,1276.84,64.45,92
1.90,Legacy3,5,3.2603,1033.47,61.81,123
1.90,LowVolume5,6,18.3043,2032.57,70.43,110
1.90,OldGuard4,4,-5.7770,134.53,61.81,110
1.95,Base5,6,22.9786,820.89,56.33,92
1.95,NoDOGE,3,4.9219,1276.84,64.45,92
1.95,Legacy4,5,4.1618,1061.29,61.81,120
1.95,Legacy5BNB,8,35.6246,2308.38,38.42,122
1.95,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
1.95,LargeCaps5,3,4.9219,1276.84,64.45,92
1.95,Legacy3,5,3.2603,1033.47,61.81,123
1.95,LowVolume5,6,18.3043,2032.57,70.43,110
1.95,OldGuard4,4,-5.7770,134.53,61.81,110
2.00,Base5,6,22.9786,820.89,56.33,92
2.00,NoDOGE,3,4.9219,1276.84,64.45,92
