vl,universe,window,bar_idx,equity
1,Legacy4,4,80,0.754597
1,Legacy4,4,85,0.754597
1,Legacy4,4,90,0.719946
1,Legacy4,4,95,0.719946
1,Legacy4,4,100,0.719946
1,Legacy4,4,105,0.719946
1,Legacy4,4,110,0.719946
1,Legacy4,4,115,0.719946
1,Legacy4,4,119,0.851547
1,Legacy4,5,0,1.000000
1,Legacy4,5,5,1.000000
1,Legacy4,5,10,1.000000
1,Legacy4,5,15,1.000000
1,Legacy4,5,20,1.000000
1,Legacy4,5,25,0.918501
1,Legacy4,5,30,0.910782
1,Legacy4,5,35,0.910782
1,Legacy4,5,40,0.910782
1,Legacy4,5,45,0.833277
1,Legacy4,5,50,0.833277
1,Legacy4,5,55,1.044894
1,Legacy4,5,60,1.044894
1,Legacy4,5,65,1.044894
1,Legacy4,5,70,1.044894
1,Legacy4,5,75,1.044894
1,Legacy4,5,80,0.893823
1,Legacy4,5,85,0.893823
1,Legacy4,5,90,0.893823
1,Legacy4,5,95,0.893823
1,Legacy4,5,100,0.835990
1,Legacy4,5,105,0.835990
1,Legacy4,5,110,0.793136
1,Legacy4,5,115,0.793136
1,Legacy4,5,120,0.793136
1,Legacy4,5,125,0.793136
1,Legacy4,5,130,0.793136
1,Legacy4,5,132,0.773803
1,Legacy5BNB,0,0,1.000000
1,Legacy5BNB,0,5,1.394578
1,Legacy5BNB,0,10,1.139433
1,Legacy5BNB,0,15,1.139433
1,Legacy5BNB,0,20,1.099008
1,Legacy5BNB,0,25,1.345597
1,Legacy5BNB,0,30,1.110292
1,Legacy5BNB,0,35,1.309970
1,Legacy5BNB,0,40,1.309970
1,Legacy5BNB,0,45,1.714906
1,Legacy5BNB,0,50,2.500369
1,Legacy5BNB,0,55,3.081272
1,Legacy5BNB,0,60,3.081272
1,Legacy5BNB,0,61,4.329057
1,Legacy5BNB,1,0,1.000000
1,Legacy5BNB,1,5,1.000000
1,Legacy5BNB,1,10,1.000000
1,Legacy5BNB,1,15,1.045951
1,Legacy5BNB,1,20,1.045951
1,Legacy5BNB,1,25,1.040374
1,Legacy5BNB,1,30,0.902054
1,Legacy5BNB,1,35,0.902054
1,Legacy5BNB,1,40,0.902054
1,Legacy5BNB,1,45,0.902054
1,Legacy5BNB,1,50,0.789667
1,Legacy5BNB,1,55,0.789667
1,Legacy5BNB,1,60,0.767592
1,Legacy5BNB,1,65,0.691560
1,Legacy5BNB,1,70,0.691560
1,Legacy5BNB,1,75,0.691560
1,Legacy5BNB,1,80,0.691560
1,Legacy5BNB,1,85,0.703537
1,Legacy5BNB,1,90,1.409279
1,Legacy5BNB,1,95,1.409279
1,Legacy5BNB,2,0,1.000000
1,Legacy5BNB,2,5,1.000000
1,Legacy5BNB,2,10,1.000000
1,Legacy5BNB,2,15,1.000000
1,Legacy5BNB,2,20,1.000000
1,Legacy5BNB,2,25,0.972612
1,Legacy5BNB,2,30,1.138065
1,Legacy5BNB,2,35,1.138065
1,Legacy5BNB,2,40,1.138065
1,Legacy5BNB,2,45,0.908960
1,Legacy5BNB,2,50,0.908960
1,Legacy5BNB,2,55,0.908960
1,Legacy5BNB,2,60,0.908960
1,Legacy5BNB,2,65,0.814642
1,Legacy5BNB,2,70,0.760971
1,Legacy5BNB,2,75,0.606699
1,Legacy5BNB,2,80,0.511269
1,Legacy5BNB,2,85,0.511269
1,Legacy5BNB,2,90,0.583887
1,Legacy5BNB,2,95,0.577872
1,Legacy5BNB,2,96,0.606003
1,Legacy5BNB,3,0,1.000000
1,Legacy5BNB,3,5,0.992395
1,Legacy5BNB,3,10,2.295434
1,Legacy5BNB,3,15,2.295434
1,Legacy5BNB,3,20,2.715445
1,Legacy5BNB,3,25,2.715445
1,Legacy5BNB,3,30,2.453456
1,Legacy5BNB,3,35,3.026525
1,Legacy5BNB,3,40,5.223390
1,Legacy5BNB,3,45,5.223390
1,Legacy5BNB,3,50,4.365661
1,Legacy5BNB,3,55,4.365661
1,Legacy5BNB,3,60,3.828280
1,Legacy5BNB,3,65,3.828280
1,Legacy5BNB,3,70,3.828280
1,Legacy5BNB,3,75,3.828280
1,Legacy5BNB,3,80,3.828280
1,Legacy5BNB,3,85,3.828280
1,Legacy5BNB,3,88,3.583899
1,Legacy5BNB,4,0,1.000000
1,Legacy5BNB,4,5,1.064632
1,Legacy5BNB,4,10,1.064632
1,Legacy5BNB,4,15,1.064632
1,Legacy5BNB,4,20,1.064632
1,Legacy5BNB,4,25,1.064632
1,Legacy5BNB,4,30,1.345700
1,Legacy5BNB,4,35,1.535354
1,Legacy5BNB,4,40,1.535354
1,Legacy5BNB,4,45,1.535354
1,Legacy5BNB,4,50,1.535354
1,Legacy5BNB,4,55,1.535354
1,Legacy5BNB,4,60,1.535354
1,Legacy5BNB,4,65,1.535354
1,Legacy5BNB,4,70,1.535354
1,Legacy5BNB,4,75,1.535354
1,Legacy5BNB,4,80,1.535354
1,Legacy5BNB,4,85,1.535354
1,Legacy5BNB,4,90,1.535354
1,Legacy5BNB,4,95,1.535354
1,Legacy5BNB,4,100,1.535354
1,Legacy5BNB,4,105,1.464851
1,Legacy5BNB,4,110,1.464851
1,Legacy5BNB,4,115,1.464851
1,Legacy5BNB,4,120,1.464851
1,Legacy5BNB,4,125,1.464851
1,Legacy5BNB,4,130,1.464851
1,Legacy5BNB,4,135,1.464851
1,Legacy5BNB,4,138,1.732615
1,Legacy5BNB,5,0,1.000000
1,Legacy5BNB,5,5,0.988961
1,Legacy5BNB,5,10,0.988961
1,Legacy5BNB,5,15,0.988961
1,Legacy5BNB,5,20,0.988961
1,Legacy5BNB,5,25,0.988961
1,Legacy5BNB,5,30,0.988961
1,Legacy5BNB,5,35,0.988961
1,Legacy5BNB,5,40,0.988961
1,Legacy5BNB,5,45,0.904804
1,Legacy5BNB,5,50,0.904804
1,Legacy5BNB,5,55,0.904804
1,Legacy5BNB,5,60,0.904804
1,Legacy5BNB,5,65,1.052479
1,Legacy5BNB,5,70,1.333784
1,Legacy5BNB,5,75,1.415103
1,Legacy5BNB,5,80,1.415103
1,Legacy5BNB,5,85,1.415103
1,Legacy5BNB,5,90,1.415103
1,Legacy5BNB,5,95,1.415103
1,Legacy5BNB,5,100,1.210507
1,Legacy5BNB,5,105,1.210507
1,Legacy5BNB,5,110,1.210507
1,Legacy5BNB,5,115,1.132184
1,Legacy5BNB,5,120,1.014458
1,Legacy5BNB,5,125,0.830896
1,Legacy5BNB,5,130,0.830896
