hold_max,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
15,Base5,1,106.26606095262035,2.1190741606078345,85.51237064082513,45,48.888888888888886,true
16,Base5,1,109.29710485511843,2.155944617633847,85.2718805976209,44,47.72727272727273,true
17,Base5,1,111.11987804256044,2.125383312342135,85.12177644340649,44,47.72727272727273,true
18,Base5,1,110.73961438315698,2.140364746106496,85.15988380308575,42,  50,true
19,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
20,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
21,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
22,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
23,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
24,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
25,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
26,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
27,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
28,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
29,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
30,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
31,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
32,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
33,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
34,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
35,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
36,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
37,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
38,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
39,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
40,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
41,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
42,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
43,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
44,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
45,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
46,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
47,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
48,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
49,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
50,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
51,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
52,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
53,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
54,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
55,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
56,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
57,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
58,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
59,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
60,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
61,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
62,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
63,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
64,Base5,1,108.21620277483493,2.1487935021898115,85.35227485537344,41,51.21951219512195,true
65,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
66,Base5,1,108.21620277483493,2.148793502189812,85.35227485537344,41,51.21951219512195,true
