bar,pct_0,pct_10,pct_16,pct_17,pct_20,pct_25,pct_30,pct_40,pct_49,pct_50,pct_60,pct_70,pct_75,pct_80,pct_90,pct_100
41,1.658993,1.658993,1.658993,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419
42,1.658993,1.658993,1.658993,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419,1.941419
43,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
44,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
45,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
46,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
47,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
48,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
49,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
50,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
51,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
52,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
53,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
54,2.261072,2.261072,2.261072,2.645995,2.645995,2.645995,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956,2.947956
55,2.634359,2.634359,2.634359,3.082831,3.082831,3.082831,3.434643,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224,3.643224
