symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
ETHUSDT,1247,1249,2024-01-10 00:00:00,2024-01-12 00:00:00,2,2584.38000000,2522.54000000,0.133333,-0.0247089148,0.9967054780,TURTLE_ATR,true
BTCUSDT,1275,1277,2024-02-07 00:00:00,2024-02-09 00:00:00,2,44349.60000000,47132.77000000,0.133333,0.0619053804,1.0082540507,TURTLE_ATR,true
ETHUSDT,1279,1280,2024-02-11 00:00:00,2024-02-12 00:00:00,1,2507.21000000,2659.99000000,0.133333,0.0600878502,1.0080117134,TURTLE_ATR,true
SOLUSDT,1282,1285,2024-02-14 00:00:00,2024-02-17 00:00:00,3,116.97000000,108.92000000,0.133333,-0.0695657105,0.9907245719,TURTLE_ATR,true
ADAUSDT,1285,1289,2024-02-17 00:00:00,2024-02-21 00:00:00,4,0.60960000,0.59880000,0.133333,-0.0185020480,0.9975330603,TURTLE_ATR,true
BTCUSDT,1279,1291,2024-02-11 00:00:00,2024-02-23 00:00:00,12,48299.99000000,50744.15000000,0.133333,0.0497635903,1.0066351454,HOLD_MAX,true
ETHUSDT,1282,1294,2024-02-14 00:00:00,2024-02-26 00:00:00,12,2774.81000000,3175.94000000,0.133333,0.1436459664,1.0191527955,HOLD_MAX,true
BTCUSDT,1294,1296,2024-02-26 00:00:00,2024-02-28 00:00:00,2,54476.47000000,62432.10000000,0.133333,0.1451214495,1.0193495266,TURTLE_ATR,true
ETHUSDT,1295,1296,2024-02-27 00:00:00,2024-02-28 00:00:00,1,3242.36000000,3383.10000000,0.133333,0.0425722628,1.0056763017,TURTLE_ATR,true
XRPUSDT,1295,1296,2024-02-27 00:00:00,2024-02-28 00:00:00,1,0.58610000,0.57500000,0.133333,-0.0197232828,0.9973702290,TURTLE_ATR,true
SOLUSDT,1296,1297,2024-02-28 00:00:00,2024-02-29 00:00:00,1,119.03000000,125.68000000,0.133333,0.0550239116,1.0073365216,TURTLE_ATR,true
DOGEUSDT,1296,1297,2024-02-28 00:00:00,2024-02-29 00:00:00,1,0.11585000,0.11732000,0.133333,0.0118789946,1.0015838660,TURTLE_ATR,true
XRPUSDT,1297,1300,2024-02-29 00:00:00,2024-03-03 00:00:00,3,0.58670000,0.62710000,0.133333,0.0680049780,1.0090673304,TURTLE_ATR,true
DOGEUSDT,1300,1301,2024-03-03 00:00:00,2024-03-04 00:00:00,1,0.15347000,0.18196000,0.133333,0.1846907552,1.0246254340,TURTLE_ATR,true
SOLUSDT,1298,1302,2024-03-01 00:00:00,2024-03-05 00:00:00,4,129.43000000,125.31000000,0.133333,-0.0326061030,0.9956525196,TURTLE_ATR,true
ADAUSDT,1297,1302,2024-02-29 00:00:00,2024-03-05 00:00:00,5,0.65470000,0.69230000,0.133333,0.0565852779,1.0075447037,TURTLE_ATR,true
BTCUSDT,1306,1312,2024-03-09 00:00:00,2024-03-15 00:00:00,6,68313.27000000,69499.85000000,0.133333,0.0165561150,1.0022074820,TURTLE_ATR,true
ETHUSDT,1303,1312,2024-03-06 00:00:00,2024-03-15 00:00:00,9,3818.59000000,3742.19000000,0.133333,-0.0207910655,0.9972278579,TURTLE_ATR,true
SOLUSDT,1304,1312,2024-03-07 00:00:00,2024-03-15 00:00:00,8,143.82000000,183.95000000,0.133333,0.2780065279,1.0370675371,TURTLE_ATR,true
SOLUSDT,1314,1316,2024-03-17 00:00:00,2024-03-19 00:00:00,2,201.86000000,169.82000000,0.133333,-0.1593966198,0.9787471174,TURTLE_ATR,true
DOGEUSDT,1323,1330,2024-03-26 00:00:00,2024-04-02 00:00:00,7,0.18230000,0.18248000,0.133333,0.0001869137,1.0000249218,TURTLE_ATR,true
SOLUSDT,1328,1333,2024-03-31 00:00:00,2024-04-05 00:00:00,5,202.45000000,174.37000000,0.133333,-0.1393896776,0.9814147097,TURTLE_ATR,true
BTCUSDT,1336,1340,2024-04-08 00:00:00,2024-04-12 00:00:00,4,71620.00000000,67116.52000000,0.133333,-0.0636295971,0.9915160537,TURTLE_ATR,true
ETHUSDT,1336,1340,2024-04-08 00:00:00,2024-04-12 00:00:00,4,3694.61000000,3237.43000000,0.133333,-0.1244431505,0.9834075799,TURTLE_ATR,true
BTCUSDT,1373,1378,2024-05-15 00:00:00,2024-05-20 00:00:00,5,66206.50000000,71446.62000000,0.133333,0.0782851466,1.0104380195,TURTLE_ATR,true
SOLUSDT,1373,1381,2024-05-15 00:00:00,2024-05-23 00:00:00,8,158.52000000,176.16000000,0.133333,0.1103906658,1.0147187554,TURTLE_ATR,true
DOGEUSDT,1383,1395,2024-05-25 00:00:00,2024-06-06 00:00:00,12,0.17402000,0.16016000,0.133333,-0.0803820065,0.9892823991,HOLD_MAX,true
XRPUSDT,1432,1433,2024-07-13 00:00:00,2024-07-14 00:00:00,1,0.52570000,0.52050000,0.133333,-0.0106833432,0.9985755542,TURTLE_ATR,true
ADAUSDT,1432,1442,2024-07-13 00:00:00,2024-07-23 00:00:00,10,0.44160000,0.41000000,0.133333,-0.0723004277,0.9903599430,TURTLE_ATR,true
ETHUSDT,1434,1444,2024-07-15 00:00:00,2024-07-25 00:00:00,10,3483.39000000,3175.48000000,0.133333,-0.0891227707,0.9881169639,TURTLE_ATR,true
SOLUSDT,1434,1446,2024-07-15 00:00:00,2024-07-27 00:00:00,12,159.38000000,183.92000000,0.133333,0.1530488319,1.0204065109,HOLD_MAX,true
XRPUSDT,1449,1451,2024-07-30 00:00:00,2024-08-01 00:00:00,2,0.62770000,0.59640000,0.133333,-0.0506243894,0.9932500814,TURTLE_ATR,true
BTCUSDT,1473,1477,2024-08-23 00:00:00,2024-08-27 00:00:00,4,64037.24000000,59415.00000000,0.133333,-0.0729224588,0.9902770055,TURTLE_ATR,true
DOGEUSDT,1473,1477,2024-08-23 00:00:00,2024-08-27 00:00:00,4,0.11293000,0.09891000,0.133333,-0.1248481038,0.9833535862,TURTLE_ATR,true
ADAUSDT,1472,1477,2024-08-22 00:00:00,2024-08-27 00:00:00,5,0.37630000,0.35030000,0.133333,-0.0698382353,0.9906882353,TURTLE_ATR,true
BTCUSDT,1499,1511,2024-09-18 00:00:00,2024-09-30 00:00:00,12,61759.99000000,63327.59000000,0.133333,0.0245621508,1.0032749534,HOLD_MAX,true
SOLUSDT,1500,1512,2024-09-19 00:00:00,2024-10-01 00:00:00,12,142.89000000,145.13000000,0.133333,0.0148641782,1.0019818904,HOLD_MAX,true
BTCUSDT,1525,1534,2024-10-14 00:00:00,2024-10-23 00:00:00,9,66083.99000000,66668.65000000,0.333333,0.0080404710,1.0026801570,TURTLE_ATR,false
DOGEUSDT,1528,1534,2024-10-17 00:00:00,2024-10-23 00:00:00,6,0.12967000,0.13997000,0.333333,0.0785692047,1.0261897349,TURTLE_ATR,false
SOLUSDT,1533,1536,2024-10-22 00:00:00,2024-10-25 00:00:00,3,167.59000000,164.90000000,0.333333,-0.0168379214,0.9943873595,TURTLE_ATR,false
DOGEUSDT,1540,1542,2024-10-29 00:00:00,2024-10-31 00:00:00,2,0.17586000,0.16164000,0.333333,-0.0815947930,0.9728017357,TURTLE_ATR,false
BTCUSDT,1540,1543,2024-10-29 00:00:00,2024-11-01 00:00:00,3,72736.42000000,69496.01000000,0.333333,-0.0453140886,0.9848953038,TURTLE_ATR,false
SOLUSDT,1540,1543,2024-10-29 00:00:00,2024-11-01 00:00:00,3,179.42000000,166.10000000,0.333333,-0.0749795278,0.9750068241,TURTLE_ATR,false
DOGEUSDT,1548,1549,2024-11-06 00:00:00,2024-11-07 00:00:00,1,0.19646000,0.19324000,0.333333,-0.0171766781,0.9942744406,TURTLE_ATR,false
ADAUSDT,1549,1550,2024-11-07 00:00:00,2024-11-08 00:00:00,1,0.40650000,0.44470000,0.333333,0.0930981113,1.0310327038,TURTLE_ATR,false
BTCUSDT,1548,1552,2024-11-06 00:00:00,2024-11-10 00:00:00,4,75571.99000000,80370.01000000,0.333333,0.0626389447,1.0208796482,TURTLE_ATR,false
ETHUSDT,1551,1553,2024-11-09 00:00:00,2024-11-11 00:00:00,2,3126.21000000,3371.59000000,0.333333,0.0776287602,1.0258762534,TURTLE_ATR,false
XRPUSDT,1552,1553,2024-11-10 00:00:00,2024-11-11 00:00:00,1,0.58840000,0.62070000,0.333333,0.0540510512,1.0180170171,TURTLE_ATR,false
DOGEUSDT,1553,1554,2024-11-11 00:00:00,2024-11-12 00:00:00,1,0.35136000,0.37985000,0.133333,0.0802204050,1.0106960540,TURTLE_ATR,true
ADAUSDT,1553,1554,2024-11-11 00:00:00,2024-11-12 00:00:00,1,0.61320000,0.57090000,0.133333,-0.0697269038,0.9907030795,TURTLE_ATR,true
SOLUSDT,1548,1555,2024-11-06 00:00:00,2024-11-13 00:00:00,7,186.59000000,215.13000000,0.333333,0.1520336825,1.0506778942,TURTLE_ATR,false
BTCUSDT,1555,1556,2024-11-13 00:00:00,2024-11-14 00:00:00,1,90375.20000000,87325.59000000,0.133333,-0.0345165769,0.9953977897,TURTLE_ATR,true
DOGEUSDT,1555,1556,2024-11-13 00:00:00,2024-11-14 00:00:00,1,0.39903000,0.36254000,0.133333,-0.0921733104,0.9877102253,TURTLE_ATR,true
XRPUSDT,1556,1557,2024-11-14 00:00:00,2024-11-15 00:00:00,1,0.77360000,0.89220000,0.133333,0.1523869253,1.0203182567,TURTLE_ATR,true
ADAUSDT,1557,1558,2024-11-15 00:00:00,2024-11-16 00:00:00,1,0.70710000,0.74160000,0.133333,0.0479521386,1.0063936185,TURTLE_ATR,true
XRPUSDT,1558,1559,2024-11-16 00:00:00,2024-11-17 00:00:00,1,1.12090000,1.05430000,0.133333,-0.0601687062,0.9919775058,TURTLE_ATR,true
SOLUSDT,1559,1563,2024-11-17 00:00:00,2024-11-21 00:00:00,4,237.47000000,256.37000000,0.133333,0.0787256748,1.0104967566,TURTLE_ATR,true
XRPUSDT,1563,1564,2024-11-21 00:00:00,2024-11-22 00:00:00,1,1.24700000,1.47260000,0.133333,0.1799698405,1.0239959787,TURTLE_ATR,true
ADAUSDT,1562,1564,2024-11-20 00:00:00,2024-11-22 00:00:00,2,0.80030000,1.01750000,0.133333,0.2703815138,1.0360508685,TURTLE_ATR,true
DOGEUSDT,1564,1567,2024-11-22 00:00:00,2024-11-25 00:00:00,3,0.41277000,0.39264000,0.133333,-0.0495287603,0.9933961653,TURTLE_ATR,true
BTCUSDT,1557,1568,2024-11-15 00:00:00,2024-11-26 00:00:00,11,91032.07000000,91965.16000000,0.133333,0.0094422470,1.0012589663,TURTLE_ATR,true
XRPUSDT,1570,1573,2024-11-28 00:00:00,2024-12-01 00:00:00,3,1.54210000,2.29370000,0.133333,0.4861978949,1.0648263860,TURTLE_ATR,true
ETHUSDT,1565,1577,2024-11-23 00:00:00,2024-12-05 00:00:00,12,3393.91000000,3785.20000000,0.133333,0.1143999254,1.0152533234,HOLD_MAX,true
ETHUSDT,1578,1581,2024-12-06 00:00:00,2024-12-09 00:00:00,3,3998.87000000,3712.00000000,0.133333,-0.0724800788,0.9903359895,TURTLE_ATR,true
DOGEUSDT,1573,1581,2024-12-01 00:00:00,2024-12-09 00:00:00,8,0.44045000,0.41403000,0.133333,-0.0607358192,0.9919018908,TURTLE_ATR,true
ADAUSDT,1571,1581,2024-11-29 00:00:00,2024-12-09 00:00:00,10,1.07550000,1.00340000,0.133333,-0.0677846574,0.9909620457,TURTLE_ATR,true
