slip_bps,bar,equity_mean,equity_min,equity_max
30,117,1.821738,0.813206,9.189121
30,118,1.890390,0.813206,9.189121
30,119,1.642052,0.813206,9.189121
30,120,1.683397,0.813206,9.189121
30,121,1.529638,0.804873,9.189121
30,122,1.593421,0.654365,10.224779
30,123,1.593421,0.654365,10.224779
30,124,1.586611,0.654365,10.224779
30,125,1.678754,0.654365,10.224779
30,126,1.678754,0.654365,10.224779
30,127,1.805639,0.654365,10.224779
30,128,1.786111,0.654365,10.224779
30,129,1.786111,0.654365,10.224779
30,130,1.786111,0.654365,10.224779
30,131,1.825687,0.654365,10.660113
30,132,1.764649,0.654365,9.988696
30,133,1.773516,0.654365,9.988696
30,134,1.876088,0.654365,9.988696
30,135,0.983836,0.736703,1.267205
30,136,1.014727,0.806508,1.267205
30,137,1.040213,0.806508,1.323375
30,138,0.999762,0.806508,1.267205
30,139,0.985911,0.785509,1.267205
30,140,0.986237,0.785509,1.267205
30,141,1.015812,0.785509,1.267205
30,142,1.029364,0.785509,1.267205
30,143,1.017281,0.785509,1.267205
30,144,1.033710,0.785509,1.267205
30,145,1.033710,0.785509,1.267205
30,146,1.100921,0.785509,1.267205
30,147,1.100921,0.785509,1.267205
30,148,1.100921,0.785509,1.267205
30,149,1.100921,0.785509,1.267205
30,150,1.148113,0.785509,1.391625
30,151,1.026357,0.785509,1.267205
30,152,1.026357,0.785509,1.267205
30,153,1.026357,0.785509,1.267205
30,154,1.026357,0.785509,1.267205
30,155,1.026357,0.785509,1.267205
30,156,1.026357,0.785509,1.267205
30,157,1.026357,0.785509,1.267205
30,158,1.026357,0.785509,1.267205
30,159,1.026357,0.785509,1.267205
30,160,1.026357,0.785509,1.267205
30,161,1.267205,1.267205,1.267205
30,162,1.410722,1.410722,1.410722
50,0,1.000000,1.000000,1.000000
50,1,0.990437,0.879890,1.026396
50,2,1.005233,0.756165,1.294102
50,3,0.978417,0.756165,1.075497
50,4,0.981842,0.756165,1.111370
50,5,1.009151,0.756165,1.380701
50,6,1.022319,0.756165,1.740365
50,7,1.028430,0.667540,2.012742
50,8,1.069949,0.667540,2.940397
50,9,1.092177,0.667540,2.835958
50,10,1.087691,0.667540,3.076606
50,11,1.096373,0.667540,3.254501
50,12,1.086044,0.667540,2.988689
50,13,1.097856,0.667540,1.807469
50,14,1.090659,0.667540,1.807469
50,15,1.074272,0.625126,2.847824
50,16,1.097234,0.502339,2.139028
50,17,1.105384,0.691246,2.139028
50,18,1.121142,0.691246,2.467840
50,19,1.120288,0.688618,2.544317
50,20,1.109186,0.688618,2.544317
50,21,1.158507,0.679131,3.112101
50,22,1.152612,0.662676,2.734122
50,23,1.152769,0.514401,2.734122
50,24,1.159195,0.514401,2.734122
50,25,1.170123,0.592404,2.734122
50,26,1.164786,0.592404,3.023943
50,27,1.182749,0.592404,3.653015
50,28,1.162519,0.592404,3.023943
50,29,1.170850,0.592404,3.023943
50,30,1.222435,0.538868,4.529458
50,31,1.209708,0.538868,4.529458
50,32,1.190169,0.538868,3.932393
50,33,1.176962,0.538868,3.288224
50,34,1.185166,0.538868,3.288224
50,35,1.191835,0.538868,3.288224
50,36,1.200729,0.538868,4.420584
50,37,1.226151,0.538868,4.907298
50,38,1.257979,0.516518,4.907298
50,39,1.259699,0.516518,4.907298
50,40,1.252551,0.409072,4.907298
50,41,1.217853,0.409072,4.429433
50,42,1.233198,0.409072,4.429433
50,43,1.240279,0.342043,4.579012
50,44,1.250131,0.342043,4.579012
50,45,1.250840,0.342043,4.579012
50,46,1.283158,0.342043,4.579012
50,47,1.319730,0.254514,4.579012
50,48,1.324197,0.254514,5.350807
50,49,1.307402,0.254514,4.579012
50,50,1.309778,0.254514,4.579012
50,51,1.317514,0.254514,4.579012
50,52,1.324363,0.254514,4.579012
50,53,1.293042,0.254514,4.579012
50,54,1.280704,0.254514,4.579012
50,55,1.293393,0.254514,4.579012
50,56,1.309888,0.254514,4.579012
50,57,1.289036,0.254514,4.579012
50,58,1.289521,0.254514,4.579012
50,59,1.317955,0.231773,4.579012
50,60,1.340776,0.231773,4.579012
50,61,1.349628,0.231773,4.244054
50,62,1.312195,0.231773,3.731173
50,63,1.338800,0.231773,3.731173
50,64,1.376832,0.231773,4.774487
50,65,1.379697,0.231773,4.709120
50,66,1.410285,0.231773,4.709120
50,67,1.407248,0.231773,4.709120
50,68,1.403149,0.231773,4.709120
50,69,1.406045,0.231773,4.709120
50,70,1.414990,0.231773,4.709120
50,71,1.404776,0.217766,4.709120
50,72,1.477522,0.217766,4.709120
50,73,1.485319,0.217766,4.709120
50,74,1.530842,0.217766,4.709120
50,75,1.564143,0.235370,4.709120
50,76,1.560669,0.288317,4.709120
50,77,1.580026,0.302286,4.709120
50,78,1.645133,0.302286,4.709120
50,79,1.628811,0.302286,4.709120
50,80,1.692262,0.302286,4.709120
50,81,1.670788,0.302286,4.709120
50,82,1.676927,0.302286,4.364645
50,83,1.500939,0.302286,4.113996
50,84,1.488510,0.287625,4.113996
50,85,1.502774,0.495663,4.113996
50,86,1.515274,0.495663,4.113996
50,87,1.675473,0.495663,7.739811
50,88,1.676025,0.495663,7.739811
50,89,1.673407,0.495663,7.739811
50,90,1.673622,0.495663,7.739811
50,91,1.646526,0.495663,7.739811
50,92,1.666532,0.495663,7.739811
50,93,1.640830,0.495663,7.739811
50,94,1.639565,0.495663,7.739811
50,95,1.682910,0.495663,7.739811
50,96,1.691191,0.440834,7.739811
50,97,1.574075,0.440834,7.739811
50,98,1.559643,0.440834,7.739811
50,99,1.587516,0.440834,7.739811
50,100,1.575588,0.440834,7.739811
50,101,1.660831,0.440834,8.899720
50,102,1.668922,0.440834,8.899720
50,103,1.685129,0.440834,8.899720
50,104,1.638320,0.440834,8.899720
50,105,1.640751,0.440834,8.899720
50,106,1.681471,0.440834,8.899720
50,107,1.710512,0.440834,8.899720
50,108,1.834779,0.389395,8.899720
50,109,1.902225,0.389395,8.899720
50,110,1.574270,0.389395,8.899720
50,111,1.574270,0.389395,8.899720
50,112,1.574270,0.389395,8.899720
50,113,1.564710,0.340297,8.899720
50,114,1.622974,0.727995,8.899720
50,115,1.676392,0.748937,8.899720
50,116,1.715174,0.790751,8.899720
50,117,1.757814,0.790751,8.899720
50,118,1.822038,0.790751,8.899720
50,119,1.585411,0.790751,8.899720
50,120,1.624002,0.790751,8.899720
50,121,1.477504,0.770226,8.899720
50,122,1.536339,0.623697,9.863228
50,123,1.536339,0.623697,9.863228
50,124,1.529346,0.623697,9.863228
50,125,1.619501,0.623697,9.863228
50,126,1.619501,0.623697,9.863228
50,127,1.743288,0.623697,9.863228
50,128,1.723685,0.623697,9.863228
50,129,1.723685,0.623697,9.863228
50,130,1.723685,0.623697,9.863228
50,131,1.758130,0.623697,10.242117
50,132,1.696002,0.623697,9.558715
50,133,1.703913,0.623697,9.558715
50,134,1.802501,0.623697,9.558715
50,135,0.949107,0.699373,1.227295
50,136,0.980324,0.771790,1.227295
50,137,1.003849,0.771790,1.266408
50,138,0.966340,0.771790,1.227295
50,139,0.952492,0.757734,1.227295
50,140,0.952362,0.757734,1.227295
50,141,0.982609,0.757734,1.227295
50,142,0.994499,0.757734,1.227295
50,143,0.980928,0.757734,1.227295
