hedge_size_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.25,Legacy5BNB,0,1.67117350,67.1174,3.154346,6.8028,47,55.3191,true
0.25,Legacy5BNB,1,1.29498049,29.4980,2.881781,4.3924,74,54.0541,true
0.25,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
0.25,Legacy5BNB,3,1.00062281,0.0623,0.113927,13.3995,37,54.0541,true
0.25,Legacy5BNB,4,0.97553327,-2.4467,0.001786,26.3902,57,45.6140,false
0.25,Legacy5BNB,5,1.05040670,5.0407,0.757919,6.4591,43,30.2326,true
0.25,Legacy5BNB,6,1.10364440,10.3644,1.514201,5.0630,68,48.5294,true
0.25,OldGuardNoBNB,0,1.41164834,41.1648,2.418823,7.8431,43,51.1628,true
0.25,OldGuardNoBNB,1,1.30127630,30.1276,2.984105,4.3924,66,57.5758,true
0.25,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
0.25,OldGuardNoBNB,3,1.19444454,19.4445,1.258373,8.1814,44,50.0000,true
0.25,OldGuardNoBNB,4,0.85501522,-14.4985,-0.677815,33.0764,61,39.3443,false
0.25,OldGuardNoBNB,5,1.05193439,5.1934,0.726931,6.8457,46,32.6087,true
0.25,OldGuardNoBNB,6,1.05096651,5.0967,0.779541,7.0152,62,45.1613,true
0.25,LargeCaps5,0,1.47278243,47.2782,2.679061,5.6809,53,49.0566,true
0.25,LargeCaps5,1,1.16387544,16.3875,1.443215,7.6613,80,47.5000,true
0.25,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
0.25,LargeCaps5,3,1.08279229,8.2792,0.786645,13.4464,38,52.6316,true
0.25,LargeCaps5,4,1.16197041,16.1970,0.913231,19.0614,54,53.7037,true
0.25,LargeCaps5,5,1.18020202,18.0202,1.861490,5.2289,46,43.4783,true
0.25,Legacy3,0,1.26119070,26.1191,2.223793,6.2433,33,48.4848,true
0.25,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
0.25,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
0.25,Legacy3,3,1.05371743,5.3717,0.538158,8.1814,26,53.8462,true
0.25,Legacy3,4,0.86110232,-13.8898,-1.066797,26.3001,44,40.9091,false
0.25,Legacy3,5,1.07709950,7.7100,1.308053,6.9261,34,29.4118,true
0.25,Legacy3,6,1.04737368,4.7374,0.993707,4.1013,48,47.9167,true
0.25,LowVolume5,0,1.26641103,26.6411,1.889073,9.0450,45,51.1111,true
0.25,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
0.25,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
0.25,LowVolume5,3,1.05140542,5.1405,0.437061,15.3536,45,42.2222,true
0.25,LowVolume5,4,0.84630848,-15.3692,-0.970628,27.1522,49,38.7755,false
0.25,LowVolume5,5,1.31284066,31.2841,2.661187,6.9804,46,39.1304,true
0.25,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
0.25,OldGuard4,0,1.17870927,17.8709,1.502020,8.4533,37,45.9459,true
0.25,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
0.25,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
0.25,OldGuard4,3,1.17593700,17.5937,1.170122,8.1814,40,47.5000,true
0.25,OldGuard4,4,0.86636501,-13.3635,-0.840627,30.4537,51,39.2157,false
0.25,OldGuard4,5,1.07025582,7.0256,1.013419,7.2190,42,30.9524,true
0.25,OldGuard4,6,1.00184840,0.1848,0.073024,5.4496,54,42.5926,true
0.3,Base5,0,1.57645617,57.6456,2.660455,5.3383,55,47.2727,true
0.3,Base5,1,1.24410324,24.4103,1.911354,8.1209,77,49.3506,true
0.3,Base5,2,1.72359073,72.3591,3.820949,4.9794,67,64.1791,true
0.3,Base5,3,1.19051424,19.0514,1.624777,11.5125,36,55.5556,true
0.3,Base5,4,1.01828405,1.8284,0.241139,15.7072,61,50.8197,true
0.3,Base5,5,1.23803241,23.8032,2.203407,5.1496,54,48.1481,true
0.3,NoDOGE,0,1.34393591,34.3936,2.139730,5.6809,44,47.7273,true
0.3,NoDOGE,1,1.24306829,24.3068,1.930123,8.1209,71,50.7042,true
0.3,NoDOGE,2,1.53206370,53.2064,3.159746,6.9757,60,61.6667,true
0.3,NoDOGE,3,1.15257724,15.2577,1.361432,12.5222,31,54.8387,true
0.3,NoDOGE,4,0.95264103,-4.7359,-0.114680,19.8182,50,50.0000,false
0.3,NoDOGE,5,1.19375703,19.3757,1.939654,5.0376,41,46.3415,true
0.3,Legacy4,0,1.50085195,50.0852,2.863968,6.8028,40,52.5000,true
0.3,Legacy4,1,1.40472337,40.4723,3.544100,5.2482,64,60.9375,true
0.3,Legacy4,2,1.51039822,51.0398,2.804694,5.8794,43,55.8140,true
0.3,Legacy4,3,1.07550075,7.5501,0.692464,8.1814,30,56.6667,true
0.3,Legacy4,4,0.83491901,-16.5081,-0.907402,28.9646,55,40.0000,false
0.3,Legacy4,5,1.03964461,3.9645,0.609834,8.1473,39,30.7692,true
0.3,Legacy4,6,1.08278648,8.2786,1.168275,6.5959,56,46.4286,true
0.3,Legacy5BNB,0,1.69064909,69.0649,3.180350,6.8028,47,55.3191,true
0.3,Legacy5BNB,1,1.33150244,33.1502,2.899262,5.2482,74,54.0541,true
0.3,Legacy5BNB,2,1.56971508,56.9715,2.737336,7.5456,55,52.7273,true
0.3,Legacy5BNB,3,1.00834799,0.8348,0.168053,13.3995,37,54.0541,true
