step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
97,3.067456,4.919439,6.994026,2.170610,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
98,3.067456,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
99,3.067456,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
100,3.067456,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
101,3.067456,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
102,2.793658,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
103,2.793658,4.919439,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
104,2.793658,4.507806,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
105,2.793658,4.507806,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
106,3.490808,4.507806,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
107,3.141828,4.507806,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
108,3.141828,4.507806,6.994026,2.028962,13.541657,7.994229,7.994229,7.994229,7.994229,7.994229
109,3.141828,4.507806,6.994026,2.028962,17.419991,7.994229,7.994229,7.994229,7.994229,7.994229
110,3.141828,4.507806,6.994026,2.028962,17.419991,7.994229,7.994229,7.994229,7.994229,7.994229
111,3.141828,6.345958,6.994026,2.028962,17.419991,7.994229,7.994229,7.994229,7.994229,7.994229
112,3.141828,6.345958,6.994026,2.028962,17.419991,12.672333,12.672333,12.672333,12.672333,12.672333
113,3.141828,6.345958,6.994026,2.028962,17.419991,12.081189,12.081189,12.081189,12.081189,12.081189
114,3.141828,6.345958,6.994026,2.028962,17.419991,12.081189,12.081189,12.081189,12.081189,12.081189
