atr_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.60,Legacy5BNB,5,0.88116852,-11.8831,-3.574821,12.2497,86,30.2326,false
0.60,Legacy5BNB,6,0.99402389,-0.5976,-0.074567,5.8825,120,48.3333,false
0.60,OldGuardNoBNB,0,1.11032193,11.0322,1.087075,6.0708,89,46.0674,true
0.60,OldGuardNoBNB,1,1.23794214,23.7942,2.588286,4.6520,115,52.1739,true
0.60,OldGuardNoBNB,2,1.28696484,28.6965,2.352590,4.3884,106,48.1132,true
0.60,OldGuardNoBNB,3,0.94044302,-5.9557,-0.573686,13.4906,71,40.8451,false
0.60,OldGuardNoBNB,4,1.05133591,5.1336,0.612372,6.0017,94,46.8085,true
0.60,OldGuardNoBNB,5,0.84452581,-15.5474,-3.716941,15.5474,94,32.9787,false
0.60,OldGuardNoBNB,6,0.91102587,-8.8974,-2.114978,10.3971,110,42.7273,false
0.60,LargeCaps5,0,1.26098592,26.0986,2.334008,4.2054,96,51.0417,true
0.60,LargeCaps5,1,1.45918529,45.9185,3.869514,4.7053,135,53.3333,true
0.60,LargeCaps5,2,1.32218579,32.2186,2.819581,6.6882,132,52.2727,true
0.60,LargeCaps5,3,0.98126129,-1.8739,-0.196272,7.0346,75,48.0000,false
0.60,LargeCaps5,4,1.14526845,14.5268,1.338085,7.6574,98,51.0204,true
0.60,LargeCaps5,5,0.97836128,-2.1639,-0.444460,10.2118,92,34.7826,false
0.60,Legacy3,0,1.02155997,2.1560,0.326409,7.7732,64,43.7500,true
0.60,Legacy3,1,1.18174933,18.1749,2.549819,2.7928,90,54.4444,true
0.60,Legacy3,2,1.11807830,11.8078,1.285656,5.4888,69,42.0290,true
0.60,Legacy3,3,0.92050578,-7.9494,-1.130744,9.5161,43,39.5349,false
0.60,Legacy3,4,1.09068976,9.0690,1.246940,4.2009,66,50.0000,true
0.60,Legacy3,5,0.91394407,-8.6056,-2.789111,9.1344,59,30.5085,false
0.60,Legacy3,6,0.92994807,-7.0052,-1.989154,7.2011,73,41.0959,false
0.60,LowVolume5,0,1.13947757,13.9478,1.469525,6.8196,88,48.8636,true
0.60,LowVolume5,1,1.24688671,24.6887,2.841965,6.4335,92,52.1739,true
0.60,LowVolume5,2,1.15835216,15.8352,1.447477,5.5005,88,50.0000,true
0.60,LowVolume5,3,0.90013439,-9.9866,-0.843949,18.0055,62,37.0968,false
0.60,LowVolume5,4,0.99684923,-0.3151,0.021107,6.0395,79,49.3671,false
0.60,LowVolume5,5,0.92457912,-7.5421,-1.722425,10.3455,84,40.4762,false
0.60,LowVolume5,6,0.86662461,-13.3375,-3.051552,13.3375,71,30.9859,false
0.60,OldGuard4,0,0.99644316,-0.3557,0.016912,10.1353,75,44.0000,false
0.60,OldGuard4,1,1.16325924,16.3259,2.306051,3.6291,93,52.6882,true
0.60,OldGuard4,2,1.17213457,17.2135,1.630700,5.4888,84,44.0476,true
0.60,OldGuard4,3,0.94575335,-5.4247,-0.520863,12.9550,59,40.6780,false
0.60,OldGuard4,4,1.05809287,5.8093,0.783077,5.6963,78,47.4359,true
0.60,OldGuard4,5,0.85818531,-14.1815,-3.664920,14.1815,78,33.3333,false
0.60,OldGuard4,6,0.89920703,-10.0793,-2.613910,11.3250,85,37.6471,false
0.65,Base5,0,1.32792476,32.7925,1.654025,8.5250,90,48.8889,true
0.65,Base5,1,1.40003646,40.0036,3.487518,4.4223,122,50.0000,true
0.65,Base5,2,1.42595047,42.5950,3.135106,6.1395,119,53.7815,true
0.65,Base5,3,0.95174901,-4.8251,-0.592282,10.1210,70,40.0000,false
0.65,Base5,4,1.16251558,16.2516,1.154940,8.0646,98,44.8980,true
0.65,Base5,5,1.05459468,5.4595,0.954669,6.8533,99,38.3838,true
0.65,NoDOGE,0,1.25258265,25.2583,2.184708,4.2054,77,51.9481,true
0.65,NoDOGE,1,1.47643241,47.6432,4.002077,3.4831,113,53.0973,true
0.65,NoDOGE,2,1.32884724,32.8847,2.836268,5.8681,107,54.2056,true
0.65,NoDOGE,3,0.96581304,-3.4187,-0.408355,9.0314,61,44.2623,false
0.65,NoDOGE,4,1.04466418,4.4664,0.489988,8.0646,83,45.7831,true
0.65,NoDOGE,5,1.00511901,0.5119,0.145298,8.6481,81,37.0370,true
0.65,Legacy4,0,1.20491125,20.4911,1.816656,5.6459,76,48.6842,true
0.65,Legacy4,1,1.29289200,29.2892,3.052817,3.3628,111,53.1532,true
0.65,Legacy4,2,1.27190702,27.1907,2.409428,4.3884,90,50.0000,true
0.65,Legacy4,3,0.91533721,-8.4663,-1.192569,10.0242,55,40.0000,false
0.65,Legacy4,4,1.05358289,5.3583,0.648322,6.1874,82,47.5610,true
0.65,Legacy4,5,0.88724952,-11.2750,-3.381237,12.0213,76,28.9474,false
0.65,Legacy4,6,0.94217095,-5.7829,-1.455745,6.3310,98,45.9184,false
0.65,Legacy5BNB,0,1.21872811,21.8728,1.871959,4.1640,93,49.4624,true
0.65,Legacy5BNB,1,1.30935849,30.9358,3.096284,3.8350,132,52.2727,true
0.65,Legacy5BNB,2,1.27876378,27.8764,2.222013,4.5774,115,47.8261,true
0.65,Legacy5BNB,3,0.94105151,-5.8948,-0.735504,8.5731,68,45.5882,false
0.65,Legacy5BNB,4,1.07239709,7.2397,0.828971,6.8463,98,48.9796,true
0.65,Legacy5BNB,5,0.87853233,-12.1468,-3.653424,12.5123,86,29.0698,false
0.65,Legacy5BNB,6,0.99402389,-0.5976,-0.074567,5.8825,120,48.3333,false
0.65,OldGuardNoBNB,0,1.17528643,17.5286,1.601460,5.6459,87,48.2759,true
0.65,OldGuardNoBNB,1,1.27266293,27.2663,2.862050,3.6500,114,51.7544,true
0.65,OldGuardNoBNB,2,1.31194508,31.1945,2.507737,4.3884,105,49.5238,true
0.65,OldGuardNoBNB,3,0.94044302,-5.9557,-0.573686,13.4906,71,40.8451,false
