universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
OldGuardNoBNB,3,40,12982.1618,9.391918,36.5635,67,13.43,1
OldGuardNoBNB,3,50,12822.9670,9.451609,36.5635,62,12.90,1
OldGuardNoBNB,3,60,8348.6277,8.766269,36.5635,50,14.00,1
OldGuardNoBNB,3,70,2148.8586,6.397730,36.5635,40,12.50,1
OldGuardNoBNB,4,0,21.3025,2.566214,5.7429,68,1.47,1
OldGuardNoBNB,4,20,28.4673,3.243553,5.5370,29,0.00,1
OldGuardNoBNB,4,30,35.9975,4.423254,1.5645,12,0.00,1
OldGuardNoBNB,4,40,-0.7309,-3.750405,0.7309,11,0.00,0
OldGuardNoBNB,4,50,-0.5321,-3.466473,0.5321,8,0.00,0
OldGuardNoBNB,4,60,-0.3329,-2.723728,0.3329,5,0.00,0
OldGuardNoBNB,4,70,-0.2664,-2.431240,0.2664,4,0.00,0
OldGuardNoBNB,5,0,-5.3854,-10.687402,5.3854,83,0.00,0
OldGuardNoBNB,5,20,-2.1116,-6.626517,2.1116,32,0.00,0
OldGuardNoBNB,5,30,-2.0463,-6.491931,2.0463,31,0.00,0
OldGuardNoBNB,5,40,-1.7846,-5.936067,1.7846,27,0.00,0
OldGuardNoBNB,5,50,-1.1933,-5.016300,1.1933,18,0.00,0
OldGuardNoBNB,5,60,-0.9293,-4.643384,0.9293,14,0.00,0
OldGuardNoBNB,5,70,-0.7309,-4.090121,0.7309,11,0.00,0
LargeCaps5,0,0,1628.2489,6.448621,25.8468,90,6.67,1
LargeCaps5,0,20,75.6933,3.948265,8.7800,56,5.36,1
LargeCaps5,0,30,76.3978,3.977000,8.7800,50,6.00,1
LargeCaps5,0,40,45.2302,2.982373,8.7800,39,5.13,1
LargeCaps5,0,50,46.0939,3.025534,8.7800,30,6.67,1
LargeCaps5,0,60,12.4616,1.291085,8.7800,24,4.17,1
LargeCaps5,0,70,2.5282,0.574382,3.5619,17,0.00,1
LargeCaps5,1,0,-2.7438,-0.457453,8.8321,83,1.20,0
LargeCaps5,1,20,0.2869,0.090739,5.9911,37,2.70,1
LargeCaps5,1,30,0.2869,0.090739,5.9911,37,2.70,1
LargeCaps5,1,40,1.0254,0.224051,5.2988,26,3.85,1
LargeCaps5,1,50,1.1603,0.248303,5.1724,24,4.17,1
LargeCaps5,1,60,-9.7736,-1.308606,9.7736,13,0.00,0
LargeCaps5,1,70,-0.0667,-1.208305,0.0667,1,0.00,0
LargeCaps5,2,0,-6.3684,-2.718441,8.4543,104,0.00,0
LargeCaps5,2,20,-3.5152,-1.477019,5.6646,59,0.00,0
LargeCaps5,2,30,-1.6074,-0.850123,3.7993,57,0.00,0
LargeCaps5,2,40,-3.0217,-6.838069,3.0217,46,0.00,0
LargeCaps5,2,50,-1.9811,-5.683649,1.9811,30,0.00,0
LargeCaps5,2,60,-1.4567,-4.678837,1.4567,22,0.00,0
LargeCaps5,2,70,-1.3252,-4.369313,1.3252,20,0.00,0
LargeCaps5,3,0,136061.2380,12.560729,24.2813,57,21.05,1
LargeCaps5,3,20,136061.2380,12.560729,24.2813,57,21.05,1
LargeCaps5,3,30,136061.2380,12.560729,24.2813,57,21.05,1
LargeCaps5,3,40,123863.8492,12.370707,24.2813,55,20.00,1
LargeCaps5,3,50,120582.8124,12.408405,24.2813,52,19.23,1
LargeCaps5,3,60,42083.8508,11.627449,24.2813,43,20.93,1
LargeCaps5,3,70,10628.8408,9.274247,24.2813,34,20.59,1
LargeCaps5,4,0,16.9360,2.016255,6.6409,97,1.03,1
LargeCaps5,4,20,27.7207,3.167425,5.7258,38,0.00,1
LargeCaps5,4,30,35.9068,4.413195,1.6957,13,0.00,1
LargeCaps5,4,40,-0.7309,-3.748408,0.7309,11,0.00,0
LargeCaps5,4,50,-0.5984,-3.684337,0.5984,9,0.00,0
LargeCaps5,4,60,-0.3993,-2.989777,0.3993,6,0.00,0
LargeCaps5,4,70,-0.3329,-2.723728,0.3329,5,0.00,0
LargeCaps5,5,0,-13.5158,-2.636863,13.5158,79,0.00,0
LargeCaps5,5,20,-10.2243,-1.960314,10.4163,23,0.00,0
LargeCaps5,5,30,-10.0445,-1.923065,10.3566,20,0.00,0
LargeCaps5,5,40,-9.9245,-1.900018,10.2369,18,0.00,0
LargeCaps5,5,50,-9.4425,-1.807720,9.7567,10,0.00,0
LargeCaps5,5,60,-7.0006,-1.438268,7.3233,7,0.00,0
LargeCaps5,5,70,-6.9386,-1.425527,7.2614,6,0.00,0
Legacy3,0,0,-6.7012,-13.163983,6.7012,104,0.00,0
Legacy3,0,20,-4.6250,-10.177795,4.6250,71,0.00,0
Legacy3,0,30,-4.2426,-9.644716,4.2426,65,0.00,0
Legacy3,0,40,-3.6017,-8.799832,3.6017,55,0.00,0
Legacy3,0,50,-2.8272,-7.519160,2.8272,43,0.00,0
Legacy3,0,60,-2.6326,-7.145254,2.6326,40,0.00,0
Legacy3,0,70,-2.0463,-6.303240,2.0463,31,0.00,0
Legacy3,1,0,2.8719,0.553375,6.1395,102,0.98,1
Legacy3,1,20,5.7239,1.055977,3.5373,61,1.64,1
Legacy3,1,30,5.8650,1.080568,3.4086,59,1.69,1
Legacy3,1,40,6.7869,1.240925,2.5674,46,2.17,1
Legacy3,1,50,7.1436,1.302640,2.2420,41,2.44,1
Legacy3,1,60,-10.7848,-1.443255,10.7848,30,0.00,0
Legacy3,1,70,-0.7309,-4.090121,0.7309,11,0.00,0
Legacy3,2,0,-9.1102,-5.745527,9.1102,106,0.00,0
Legacy3,2,20,-6.6527,-4.131367,6.6527,66,0.00,0
Legacy3,2,30,-4.7434,-7.178388,4.7434,63,0.00,0
Legacy3,2,40,-3.3445,-7.528914,3.3445,51,0.00,0
Legacy3,2,50,-2.3075,-6.084822,2.3075,35,0.00,0
Legacy3,2,60,-1.3251,-4.522940,1.3251,20,0.00,0
Legacy3,2,70,-1.1275,-4.031644,1.1275,17,0.00,0
Legacy3,3,0,1842.1254,7.274345,19.8484,77,10.39,1
Legacy3,3,20,1842.1254,7.274345,19.8484,77,10.39,1
Legacy3,3,30,1522.6573,6.883995,19.8484,77,9.09,1
Legacy3,3,40,1376.4610,6.669799,19.8484,76,7.89,1
Legacy3,3,50,1350.1079,6.667436,19.8484,71,7.04,1
Legacy3,3,60,812.8584,5.704221,19.9019,60,6.67,1
Legacy3,3,70,299.1346,3.867012,26.5710,53,5.66,1
Legacy3,4,0,-6.2713,-1.539448,7.6197,58,1.72,0
Legacy3,4,20,-1.7191,-5.994930,1.7191,26,0.00,0
Legacy3,4,30,-0.7971,-4.280918,0.7971,12,0.00,0
Legacy3,4,40,-0.5984,-3.684337,0.5984,9,0.00,0
Legacy3,4,50,-0.4657,-3.235938,0.4657,7,0.00,0
Legacy3,4,60,-0.2664,-2.431240,0.2664,4,0.00,0
