chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
2.20,NoDOGE,1,-8.85,-1.1780,25.38,7,57.14,false
2.20,NoDOGE,2,437.82,12.6043,16.38,10,60.00,true
2.20,NoDOGE,3,109.10,6.0870,34.19,15,53.33,true
2.20,NoDOGE,4,92.08,16.1523,10.65,7,71.43,true
2.20,NoDOGE,5,-23.37,-4.5186,30.18,8,25.00,false
2.20,Legacy4,0,36.86,3.9717,31.73,13,46.15,true
2.20,Legacy4,1,42.78,7.2592,19.58,9,55.56,true
2.20,Legacy4,2,223.12,10.1908,16.38,9,66.67,true
2.20,Legacy4,3,54.85,5.2865,28.41,11,54.55,true
2.20,Legacy4,4,31.39,9.5137,16.15,5,80.00,true
2.20,Legacy4,5,44.36,9.9343,11.17,6,50.00,true
2.20,Legacy5BNB,0,160.36,7.7538,26.85,15,60.00,true
2.20,Legacy5BNB,1,-10.09,-0.5718,20.90,9,44.44,false
2.20,Legacy5BNB,2,166.85,8.2797,16.38,10,70.00,true
2.20,Legacy5BNB,3,163.12,8.9630,28.41,10,50.00,true
2.20,Legacy5BNB,4,50.46,10.9252,16.15,6,66.67,true
2.20,Legacy5BNB,5,23.89,8.1202,7.81,5,40.00,true
2.20,OldGuardNoBNB,0,17.58,2.4824,35.12,14,50.00,true
2.20,OldGuardNoBNB,1,-23.53,-2.5073,41.29,9,55.56,false
2.20,OldGuardNoBNB,2,232.14,10.4225,16.38,9,77.78,true
2.20,OldGuardNoBNB,3,54.85,5.2865,28.41,11,54.55,true
2.20,OldGuardNoBNB,4,31.39,9.5137,16.15,5,80.00,true
2.20,OldGuardNoBNB,5,147.40,15.1801,11.17,8,62.50,true
2.20,LargeCaps5,0,119.54,6.2309,57.62,13,46.15,true
2.20,LargeCaps5,1,-8.85,-1.1780,25.38,7,57.14,false
2.20,LargeCaps5,2,567.44,12.5513,16.38,10,60.00,true
2.20,LargeCaps5,3,42.14,4.2768,34.19,13,46.15,true
2.20,LargeCaps5,4,117.05,17.6790,13.66,7,71.43,true
2.20,LargeCaps5,5,-23.37,-4.5186,30.18,8,25.00,false
2.20,Legacy3,0,90.58,6.3453,24.53,13,53.85,true
2.20,Legacy3,1,34.50,6.0622,19.58,9,55.56,true
2.20,Legacy3,2,219.50,11.4275,16.38,7,71.43,true
2.20,Legacy3,3,165.55,11.1016,28.41,9,66.67,true
2.20,Legacy3,4,-5.10,0.4914,18.22,8,62.50,false
2.20,Legacy3,5,10.42,3.8000,11.17,6,33.33,true
2.20,LowVolume5,0,33.68,3.1527,29.41,15,53.33,true
2.20,LowVolume5,1,-48.74,-6.3259,50.79,12,25.00,false
2.20,LowVolume5,2,586.50,12.8831,16.38,11,81.82,true
2.20,LowVolume5,3,-33.51,0.0298,71.71,13,46.15,false
2.20,LowVolume5,4,-27.90,-1.7989,37.10,10,40.00,false
2.20,LowVolume5,5,21.67,3.6853,26.43,9,44.44,true
2.20,OldGuard4,0,85.15,5.4597,33.44,14,50.00,true
2.20,OldGuard4,1,14.41,3.3828,26.40,9,66.67,true
2.20,OldGuard4,2,176.00,8.6985,16.38,9,66.67,true
2.20,OldGuard4,3,165.55,11.1016,28.41,9,66.67,true
2.20,OldGuard4,4,75.15,8.8972,16.93,8,75.00,true
2.20,OldGuard4,5,12.16,2.7034,32.17,10,40.00,true
2.15,Base5,0,40.18,4.5479,57.62,12,41.67,true
2.15,Base5,1,196.80,6.1558,32.32,11,45.45,true
