chand_mult,bar,mean_equity
2.30,141,1.663022
2.30,142,1.673436
2.30,143,1.697182
2.30,144,1.697182
2.30,145,1.672452
2.30,146,1.594316
2.30,147,1.635177
2.30,148,1.581714
2.30,149,1.657100
2.30,150,1.502892
2.30,151,1.504149
2.30,152,1.557333
2.30,153,1.547920
2.30,154,1.517895
2.30,155,1.517895
2.30,156,1.456754
2.30,157,1.458341
2.30,158,1.392906
2.30,159,1.392906
2.30,160,1.482922
2.30,161,1.483914
2.30,162,1.463598
2.30,163,1.398479
2.30,164,1.396746
2.30,165,1.405402
2.30,166,1.405402
2.30,167,1.392589
2.30,168,1.395591
2.30,169,1.594709
2.30,170,1.594709
2.30,171,1.594709
2.30,172,1.594709
2.30,173,1.594709
2.30,174,1.518741
2.30,175,1.583805
2.30,176,1.315274
2.30,177,1.315274
2.30,178,1.277415
2.30,179,1.277415
2.30,180,1.277415
2.30,181,1.277415
2.30,182,1.277415
2.30,183,1.282901
2.30,184,1.288902
2.30,185,1.288902
2.30,186,1.288902
2.30,187,1.288902
2.30,188,1.288902
2.30,189,1.288902
2.30,190,1.313906
2.30,191,1.313906
2.30,192,1.313906
2.30,193,1.313906
2.25,0,1.000000
2.25,1,1.005201
2.25,2,0.984223
2.25,3,0.998324
2.25,4,1.002588
2.25,5,1.039382
2.25,6,1.039382
2.25,7,1.021145
2.25,8,0.973802
2.25,9,0.968272
2.25,10,0.988719
2.25,11,0.999020
2.25,12,0.999020
2.25,13,0.996725
2.25,14,0.996725
2.25,15,1.006075
2.25,16,0.985637
2.25,17,0.990929
2.25,18,1.027874
2.25,19,1.036634
2.25,20,1.036634
2.25,21,1.030523
2.25,22,1.030523
2.25,23,1.038201
2.25,24,1.098080
2.25,25,1.113271
2.25,26,1.104232
2.25,27,1.104232
2.25,28,1.112056
2.25,29,1.112056
2.25,30,1.112783
2.25,31,1.115501
2.25,32,1.104763
2.25,33,1.094142
2.25,34,1.112551
2.25,35,1.106613
2.25,36,1.117230
2.25,37,1.117641
2.25,38,1.127706
2.25,39,1.143386
2.25,40,1.112254
2.25,41,1.133145
2.25,42,1.158368
2.25,43,1.162310
2.25,44,1.188066
2.25,45,1.185741
2.25,46,1.196688
2.25,47,1.192504
2.25,48,1.198962
2.25,49,1.203205
2.25,50,1.212101
2.25,51,1.199499
2.25,52,1.199499
2.25,53,1.214026
2.25,54,1.224820
2.25,55,1.238565
2.25,56,1.237627
2.25,57,1.236661
2.25,58,1.246793
2.25,59,1.253453
2.25,60,1.253453
2.25,61,1.267262
2.25,62,1.267555
2.25,63,1.267469
2.25,64,1.261961
2.25,65,1.275440
2.25,66,1.275922
2.25,67,1.287302
2.25,68,1.287302
2.25,69,1.288317
2.25,70,1.287300
2.25,71,1.302473
2.25,72,1.372634
2.25,73,1.411887
2.25,74,1.394485
2.25,75,1.395958
2.25,76,1.385124
2.25,77,1.408920
2.25,78,1.400236
2.25,79,1.426068
2.25,80,1.436546
2.25,81,1.441865
2.25,82,1.437860
2.25,83,1.448438
2.25,84,1.506600
2.25,85,1.510819
2.25,86,1.568628
2.25,87,1.581770
2.25,88,1.585434
2.25,89,1.604339
2.25,90,1.605363
2.25,91,1.625644
2.25,92,1.591089
2.25,93,1.646043
2.25,94,1.748469
2.25,95,1.757204
2.25,96,1.750795
2.25,97,1.750396
2.25,98,1.759491
2.25,99,1.780396
2.25,100,1.780396
2.25,101,1.794634
2.25,102,1.822276
2.25,103,1.875929
2.25,104,1.864460
2.25,105,1.876578
2.25,106,1.870450
2.25,107,1.878401
2.25,108,1.883036
2.25,109,1.872587
2.25,110,1.874756
2.25,111,1.887316
2.25,112,1.917332
2.25,113,1.916252
2.25,114,1.900404
2.25,115,1.900845
2.25,116,1.909430
2.25,117,1.931948
2.25,118,1.991918
2.25,119,1.991918
2.25,120,2.011253
2.25,121,2.011253
2.25,122,2.011253
2.25,123,1.983536
2.25,124,1.997060
2.25,125,1.904354
2.25,126,1.931840
2.25,127,1.949669
2.25,128,1.931548
2.25,129,1.913045
2.25,130,1.889643
2.25,131,1.897780
2.25,132,1.953161
2.25,133,1.981695
2.25,134,1.935401
2.25,135,1.940272
2.25,136,1.761162
2.25,137,1.825354
2.25,138,1.788694
2.25,139,1.754721
2.25,140,1.756903
2.25,141,1.636193
2.25,142,1.656051
2.25,143,1.656051
2.25,144,1.678691
2.25,145,1.651927
2.25,146,1.573979
2.25,147,1.609054
2.25,148,1.559119
2.25,149,1.602014
2.25,150,1.477144
2.25,151,1.477144
2.25,152,1.477144
2.25,153,1.464664
2.25,154,1.438245
2.25,155,1.454909
2.25,156,1.393665
2.25,157,1.394339
2.25,158,1.433949
2.25,159,1.435516
2.25,160,1.370609
2.25,161,1.454837
2.25,162,1.418991
2.25,163,1.355582
2.25,164,1.355084
2.25,165,1.376325
2.25,166,1.376325
2.25,167,1.363512
2.25,168,1.363512
2.25,169,1.596369
2.25,170,1.596369
2.25,171,1.596369
2.25,172,1.596369
2.25,173,1.596369
2.25,174,1.530129
2.25,175,1.502455
2.25,176,1.260664
2.25,177,1.260664
2.25,178,1.220013
2.25,179,1.220013
2.25,180,1.222675
2.25,181,1.277415
2.25,182,1.277415
2.25,183,1.282901
2.25,184,1.288902
2.25,185,1.288902
2.25,186,1.288902
2.25,187,1.288902
2.25,188,1.288902
2.25,189,1.288902
2.25,190,1.313906
2.25,191,1.313906
2.25,192,1.313906
2.25,193,1.313906
2.20,0,1.000000
2.20,1,1.005201
2.20,2,0.984223
2.20,3,0.998324
2.20,4,1.002588
2.20,5,1.039382
2.20,6,1.039382
2.20,7,1.021267
2.20,8,0.973924
2.20,9,0.968394
2.20,10,0.988841
2.20,11,0.999142
2.20,12,0.999142
2.20,13,0.996847
2.20,14,0.996847
2.20,15,1.006223
2.20,16,0.985786
2.20,17,0.991077
2.20,18,1.028023
2.20,19,1.036782
2.20,20,1.036782
2.20,21,1.030671
2.20,22,1.030671
2.20,23,1.038349
2.20,24,1.098229
2.20,25,1.113419
2.20,26,1.104380
2.20,27,1.104380
2.20,28,1.112204
2.20,29,1.112204
2.20,30,1.112931
2.20,31,1.115650
2.20,32,1.106716
2.20,33,1.099997
2.20,34,1.092963
2.20,35,1.124690
2.20,36,1.123103
2.20,37,1.123514
2.20,38,1.133579
2.20,39,1.149259
2.20,40,1.131271
2.20,41,1.134682
2.20,42,1.154347
2.20,43,1.173180
2.20,44,1.196270
2.20,45,1.193251
2.20,46,1.204197
2.20,47,1.201951
2.20,48,1.204686
2.20,49,1.200932
2.20,50,1.206663
2.20,51,1.212822
2.20,52,1.212822
2.20,53,1.212189
2.20,54,1.221481
2.20,55,1.231229
2.20,56,1.229436
2.20,57,1.228471
2.20,58,1.233340
2.20,59,1.241965
2.20,60,1.250538
2.20,61,1.256332
2.20,62,1.268994
2.20,63,1.262983
2.20,64,1.259054
2.20,65,1.282374
2.20,66,1.279239
2.20,67,1.293668
2.20,68,1.291267
2.20,69,1.293979
2.20,70,1.292817
2.20,71,1.304840
2.20,72,1.374004
2.20,73,1.413829
2.20,74,1.390611
2.20,75,1.401240
2.20,76,1.389570
2.20,77,1.410287
2.20,78,1.410005
2.20,79,1.423564
2.20,80,1.432261
2.20,81,1.431531
2.20,82,1.425413
2.20,83,1.428492
2.20,84,1.496209
2.20,85,1.498843
2.20,86,1.555727
2.20,87,1.573868
2.20,88,1.581619
2.20,89,1.599348
2.20,90,1.600372
2.20,91,1.613517
2.20,92,1.598841
2.20,93,1.618075
2.20,94,1.717694
2.20,95,1.744336
2.20,96,1.738053
2.20,97,1.739254
2.20,98,1.757013
2.20,99,1.776020
2.20,100,1.776020
2.20,101,1.779533
2.20,102,1.807175
2.20,103,1.865663
2.20,104,1.857027
2.20,105,1.862026
2.20,106,1.856020
2.20,107,1.856020
2.20,108,1.860572
2.20,109,1.858910
2.20,110,1.867960
2.20,111,1.868310
2.20,112,1.897687
2.20,113,1.897687
2.20,114,1.880193
2.20,115,1.903469
2.20,116,1.918003
2.20,117,1.911109
2.20,118,2.001090
2.20,119,2.001090
2.20,120,2.016461
2.20,121,2.019091
2.20,122,2.021727
2.20,123,1.986010
2.20,124,1.984654
2.20,125,1.901082
2.20,126,1.930068
2.20,127,1.962013
2.20,128,1.943893
2.20,129,1.925390
2.20,130,1.902313
2.20,131,1.902313
2.20,132,1.972226
2.20,133,1.991631
2.20,134,1.955070
2.20,135,1.960115
2.20,136,1.798863
2.20,137,1.857075
2.20,138,1.799577
2.20,139,1.755057
2.20,140,1.752553
2.20,141,1.636669
2.20,142,1.666737
2.20,143,1.656272
2.20,144,1.656272
2.20,145,1.649967
2.20,146,1.569526
2.20,147,1.606480
2.20,148,1.555156
2.20,149,1.593555
2.20,150,1.447230
2.20,151,1.475740
2.20,152,1.475740
2.20,153,1.463189
2.20,154,1.436771
2.20,155,1.453357
2.20,156,1.392027
2.20,157,1.392701
2.20,158,1.432214
2.20,159,1.433781
2.20,160,1.368766
2.20,161,1.368766
2.20,162,1.418991
2.20,163,1.355582
2.20,164,1.355084
2.20,165,1.376325
2.20,166,1.376325
2.20,167,1.363512
2.20,168,1.363512
2.20,169,1.596369
2.20,170,1.596369
2.20,171,1.596369
2.20,172,1.596369
2.20,173,1.596369
2.20,174,1.530129
2.20,175,1.502455
2.20,176,1.260664
2.20,177,1.260664
2.20,178,1.220013
2.20,179,1.220013
2.20,180,1.222675
2.20,181,1.277415
2.20,182,1.277415
2.20,183,1.282901
2.20,184,1.288902
2.20,185,1.288902
2.20,186,1.288902
2.20,187,1.288902
2.20,188,1.288902
2.20,189,1.288902
2.20,190,1.313906
2.20,191,1.313906
2.20,192,1.313906
2.20,193,1.313906
2.15,0,1.000000
2.15,1,1.005201
2.15,2,0.984223
2.15,3,0.998324
2.15,4,1.002588
2.15,5,1.039382
2.15,6,1.039382
2.15,7,1.019553
2.15,8,0.972210
2.15,9,0.966680
2.15,10,0.987127
2.15,11,0.997427
2.15,12,0.997427
2.15,13,0.996204
2.15,14,0.996204
2.15,15,1.005206
2.15,16,0.984768
2.15,17,0.990060
2.15,18,1.027006
2.15,19,1.035765
2.15,20,1.035765
2.15,21,1.029654
2.15,22,1.029654
2.15,23,1.037332
2.15,24,1.090169
2.15,25,1.112948
2.15,26,1.103909
2.15,27,1.103909
2.15,28,1.111733
2.15,29,1.111733
2.15,30,1.112460
2.15,31,1.115179
2.15,32,1.107307
2.15,33,1.112447
2.15,34,1.093299
2.15,35,1.099548
2.15,36,1.135131
2.15,37,1.123584
2.15,38,1.133648
2.15,39,1.149328
2.15,40,1.133097
2.15,41,1.148591
2.15,42,1.156415
2.15,43,1.164214
2.15,44,1.200783
2.15,45,1.196170
2.15,46,1.206118
2.15,47,1.203872
2.15,48,1.206606
2.15,49,1.206690
2.15,50,1.202983
2.15,51,1.201387
2.15,52,1.214603
2.15,53,1.213970
2.15,54,1.222646
2.15,55,1.238272
2.15,56,1.227068
2.15,57,1.230261
2.15,58,1.230261
2.15,59,1.236640
2.15,60,1.244030
2.15,61,1.258582
2.15,62,1.258582
2.15,63,1.271096
2.15,64,1.263197
2.15,65,1.269376
2.15,66,1.281496
2.15,67,1.292817
2.15,68,1.294816
2.15,69,1.296329
2.15,70,1.296867
2.15,71,1.308778
2.15,72,1.360445
2.15,73,1.410098
2.15,74,1.420011
2.15,75,1.394820
2.15,76,1.392220
2.15,77,1.417560
2.15,78,1.412838
2.15,79,1.414705
2.15,80,1.428196
2.15,81,1.436775
2.15,82,1.429603
2.15,83,1.432769
2.15,84,1.492277
2.15,85,1.499555
2.15,86,1.558672
2.15,87,1.563121
2.15,88,1.582035
2.15,89,1.581941
2.15,90,1.601171
2.15,91,1.628782
2.15,92,1.604442
2.15,93,1.619973
2.15,94,1.705185
2.15,95,1.759668
2.15,96,1.737178
2.15,97,1.738191
2.15,98,1.749802
2.15,99,1.763504
2.15,100,1.771061
2.15,101,1.780899
2.15,102,1.808321
2.15,103,1.874668
2.15,104,1.862301
2.15,105,1.852510
2.15,106,1.856969
2.15,107,1.856969
2.15,108,1.865004
2.15,109,1.852405
2.15,110,1.860649
2.15,111,1.860279
2.15,112,1.898477
2.15,113,1.898477
2.15,114,1.880874
2.15,115,1.907419
2.15,116,1.901218
2.15,117,1.902709
2.15,118,2.003122
2.15,119,2.003122
2.15,120,2.022017
2.15,121,2.022017
2.15,122,2.021211
2.15,123,1.991341
2.15,124,1.987740
2.15,125,1.904241
2.15,126,1.935932
2.15,127,1.930568
2.15,128,1.930821
2.15,129,1.928139
2.15,130,1.905135
2.15,131,1.905135
2.15,132,1.966693
2.15,133,1.999895
2.15,134,1.958317
2.15,135,1.968004
2.15,136,1.826066
2.15,137,1.858794
2.15,138,1.798183
2.15,139,1.756848
2.15,140,1.754344
2.15,141,1.633549
2.15,142,1.668590
2.15,143,1.668590
2.15,144,1.658250
2.15,145,1.632358
2.15,146,1.573148
2.15,147,1.608223
2.15,148,1.558755
2.15,149,1.599934
2.15,150,1.451178
2.15,151,1.453655
2.15,152,1.480576
2.15,153,1.480576
2.15,154,1.455416
2.15,155,1.457121
2.15,156,1.396000
2.15,157,1.396000
2.15,158,1.396726
2.15,159,1.434756
2.15,160,1.369802
2.15,161,1.369802
2.15,162,1.456021
2.15,163,1.355582
2.15,164,1.355084
2.15,165,1.376325
2.15,166,1.376325
2.15,167,1.363512
2.15,168,1.363512
2.15,169,1.596369
2.15,170,1.596369
2.15,171,1.596369
2.15,172,1.596369
2.15,173,1.596369
2.15,174,1.530129
2.15,175,1.502455
2.15,176,1.260664
2.15,177,1.260664
2.15,178,1.220013
2.15,179,1.220013
2.15,180,1.222675
2.15,181,1.277415
2.15,182,1.277415
2.15,183,1.282901
2.15,184,1.288902
2.15,185,1.288902
2.15,186,1.288902
2.15,187,1.288902
2.15,188,1.288902
2.15,189,1.288902
2.15,190,1.313906
2.15,191,1.313906
2.15,192,1.313906
2.15,193,1.313906
2.00,0,1.000000
2.00,1,1.001175
2.00,2,0.980198
2.00,3,0.994298
2.00,4,0.998562
2.00,5,1.035356
2.00,6,1.035356
2.00,7,1.015527
2.00,8,0.968184
2.00,9,0.972812
2.00,10,0.993259
2.00,11,1.003559
2.00,12,1.003559
2.00,13,0.991718
2.00,14,0.991718
2.00,15,1.000850
2.00,16,0.956847
2.00,17,0.958489
2.00,18,1.013477
2.00,19,1.026988
2.00,20,1.023661
2.00,21,1.017549
2.00,22,1.017549
2.00,23,1.025228
2.00,24,1.079419
2.00,25,1.106263
2.00,26,1.097048
2.00,27,1.090263
2.00,28,1.092974
2.00,29,1.098128
2.00,30,1.097502
2.00,31,1.097502
2.00,32,1.097502
2.00,33,1.101208
2.00,34,1.092160
2.00,35,1.098409
2.00,36,1.125687
2.00,37,1.108140
2.00,38,1.116222
2.00,39,1.132096
2.00,40,1.118731
2.00,41,1.130912
2.00,42,1.133625
2.00,43,1.140529
2.00,44,1.173336
2.00,45,1.168971
2.00,46,1.170722
2.00,47,1.177911
2.00,48,1.180646
2.00,49,1.178153
2.00,50,1.174393
2.00,51,1.170147
2.00,52,1.178363
2.00,53,1.178415
2.00,54,1.186078
2.00,55,1.203318
2.00,56,1.202070
2.00,57,1.202070
2.00,58,1.202203
2.00,59,1.209681
2.00,60,1.204568
2.00,61,1.218463
2.00,62,1.221362
2.00,63,1.217418
2.00,64,1.223042
2.00,65,1.237134
2.00,66,1.251889
2.00,67,1.251221
2.00,68,1.247395
2.00,69,1.262927
2.00,70,1.273547
2.00,71,1.277782
2.00,72,1.272759
2.00,73,1.276021
2.00,74,1.290862
2.00,75,1.290990
2.00,76,1.285652
2.00,77,1.309505
2.00,78,1.347129
2.00,79,1.368768
2.00,80,1.357403
2.00,81,1.379335
2.00,82,1.387363
2.00,83,1.394744
2.00,84,1.394744
2.00,85,1.386869
2.00,86,1.405456
2.00,87,1.425466
2.00,88,1.475552
2.00,89,1.460350
2.00,90,1.506703
2.00,91,1.543783
2.00,92,1.553655
2.00,93,1.535951
2.00,94,1.574875
2.00,95,1.587941
2.00,96,1.608269
2.00,97,1.649658
2.00,98,1.696966
2.00,99,1.729962
2.00,100,1.721168
2.00,101,1.722388
2.00,102,1.733636
2.00,103,1.736951
2.00,104,1.730826
2.00,105,1.803735
2.00,106,1.832106
2.00,107,1.824410
2.00,108,1.824410
2.00,109,1.808486
2.00,110,1.807317
2.00,111,1.804759
2.00,112,1.807937
2.00,113,1.819058
2.00,114,1.846173
2.00,115,1.847384
2.00,116,1.849823
2.00,117,1.837719
2.00,118,1.859026
2.00,119,1.859659
2.00,120,1.859659
2.00,121,1.876414
2.00,122,1.891828
2.00,123,1.943584
2.00,124,1.939640
2.00,125,1.966638
2.00,126,1.958221
2.00,127,1.988353
2.00,128,1.959649
2.00,129,1.963897
2.00,130,1.901113
2.00,131,1.901383
2.00,132,1.895760
2.00,133,1.873531
2.00,134,1.845304
2.00,135,1.847592
2.00,136,1.906919
2.00,137,1.897016
2.00,138,1.851745
2.00,139,1.851745
2.00,140,1.718675
2.00,141,1.779490
2.00,142,1.819937
2.00,143,1.794384
2.00,144,1.750932
2.00,145,1.630532
2.00,146,1.559172
2.00,147,1.523827
2.00,148,1.551305
2.00,149,1.556433
2.00,150,1.548208
2.00,151,1.542713
2.00,152,1.473823
2.00,153,1.451547
2.00,154,1.451668
2.00,155,1.448657
2.00,156,1.449236
2.00,157,1.492115
2.00,158,1.453632
2.00,159,1.455033
2.00,160,1.325156
2.00,161,1.336912
2.00,162,1.336912
2.00,163,1.352845
2.00,164,1.352477
2.00,165,1.392918
2.00,166,1.353406
2.00,167,1.359692
2.00,168,1.359692
2.00,169,1.359692
2.00,170,1.368228
2.00,171,1.472482
2.00,172,1.459847
2.00,173,1.459847
2.00,174,1.584513
2.00,175,1.587797
2.00,176,1.491505
2.00,177,1.491505
2.00,178,1.225504
2.00,179,1.225504
2.00,180,1.225504
2.00,181,1.225504
2.00,182,1.225504
2.00,183,1.230076
2.00,184,1.212268
2.00,185,1.291191
2.00,186,1.291191
2.00,187,1.291191
2.00,188,1.291191
2.00,189,1.291191
2.00,190,1.317340
2.00,191,1.317340
2.00,192,1.317340
2.00,193,1.317340
2.00,194,1.317340
