cp,universe,window,bar,equity
3,Base5,4,79,1.015275
3,Base5,4,80,1.015275
3,Base5,4,81,1.015275
3,Base5,4,82,1.015275
3,Base5,4,83,1.015275
3,Base5,4,84,1.015275
3,Base5,4,85,1.015275
3,Base5,4,86,1.015275
3,Base5,4,87,1.015275
3,Base5,4,88,1.015275
3,Base5,4,89,1.038198
3,Base5,4,90,1.050045
3,Base5,4,91,1.050045
3,Base5,4,92,1.050045
3,Base5,4,93,1.050045
3,Base5,4,94,1.050045
3,Base5,4,95,1.050045
3,Base5,4,96,1.050045
3,Base5,4,97,1.050045
3,Base5,4,98,1.050045
3,Base5,4,99,1.050045
3,Base5,4,100,1.097855
3,Base5,4,101,1.097855
3,Base5,4,102,1.097855
3,Base5,4,103,1.097855
3,Base5,4,104,1.097855
3,Base5,4,105,1.119902
3,Base5,4,106,1.119902
3,Base5,4,107,1.119975
3,Base5,4,108,1.119975
3,Base5,4,109,1.119975
3,Base5,4,110,1.119975
3,Base5,4,111,1.119975
3,Base5,4,112,1.119975
3,Base5,4,113,1.119975
3,Base5,4,114,1.119975
3,Base5,4,115,1.119975
3,Base5,4,116,1.119975
3,Base5,4,117,1.119975
3,Base5,4,118,1.119975
3,Base5,4,119,1.119975
3,Base5,4,120,1.119975
3,Base5,5,0,1.000000
3,Base5,5,0,1.000000
3,Base5,5,1,1.000000
3,Base5,5,2,1.000000
3,Base5,5,3,1.000000
3,Base5,5,4,1.000000
3,Base5,5,5,1.000000
3,Base5,5,6,1.000000
3,Base5,5,7,1.000000
3,Base5,5,8,1.000000
3,Base5,5,9,1.000000
3,Base5,5,10,1.000000
3,Base5,5,11,1.000000
3,Base5,5,12,1.000000
3,Base5,5,13,1.000000
3,Base5,5,14,1.000000
3,Base5,5,15,1.000000
3,Base5,5,16,1.000000
3,Base5,5,17,0.985342
3,Base5,5,18,0.985342
3,Base5,5,19,0.985342
3,Base5,5,20,0.985342
3,Base5,5,21,0.985342
3,Base5,5,22,0.985342
3,Base5,5,23,0.985342
3,Base5,5,24,0.957209
3,Base5,5,25,0.957209
3,Base5,5,26,0.957209
3,Base5,5,27,0.957209
3,Base5,5,28,0.957209
3,Base5,5,29,0.957209
3,Base5,5,30,0.957209
3,Base5,5,31,0.957209
3,Base5,5,32,0.957209
3,Base5,5,33,0.957209
3,Base5,5,34,0.957209
3,Base5,5,35,0.957209
3,Base5,5,36,0.957209
3,Base5,5,37,0.957209
3,Base5,5,38,0.957209
3,Base5,5,39,0.957209
3,Base5,5,40,0.957209
3,Base5,5,41,0.957209
3,Base5,5,42,0.957209
3,Base5,5,43,0.957209
3,Base5,5,44,0.957209
3,Base5,5,45,0.957209
3,Base5,5,46,0.986370
3,Base5,5,47,0.986370
3,Base5,5,48,0.986370
3,Base5,5,49,0.986370
3,Base5,5,50,0.986370
3,Base5,5,51,0.986370
3,Base5,5,52,0.986370
3,Base5,5,53,0.986370
3,Base5,5,54,0.986370
3,Base5,5,55,0.986370
3,Base5,5,56,0.986370
3,Base5,5,57,0.986370
3,Base5,5,58,0.975708
3,Base5,5,59,0.975708
3,Base5,5,60,0.975708
3,Base5,5,61,0.975708
3,Base5,5,62,0.975708
3,Base5,5,63,0.975708
3,Base5,5,64,0.975708
3,Base5,5,65,0.975708
3,Base5,5,66,1.044709
3,Base5,5,67,1.044709
3,Base5,5,68,1.044709
3,Base5,5,69,1.044709
3,Base5,5,70,1.044709
3,Base5,5,71,1.044709
3,Base5,5,72,1.044709
3,Base5,5,73,1.044709
3,Base5,5,74,1.044709
3,Base5,5,75,1.064972
3,Base5,5,76,1.064972
3,Base5,5,77,1.064972
3,Base5,5,78,1.064972
3,Base5,5,79,1.064972
3,Base5,5,80,1.064972
3,Base5,5,81,1.064972
3,Base5,5,82,1.064972
3,Base5,5,83,1.064972
3,Base5,5,84,1.064972
3,Base5,5,85,1.064972
3,Base5,5,86,1.064972
3,Base5,5,87,1.064972
3,Base5,5,88,1.064972
3,Base5,5,89,1.064546
3,Base5,5,90,1.064546
3,Base5,5,91,1.064546
3,Base5,5,92,1.064546
3,Base5,5,93,1.064546
3,Base5,5,94,1.064546
3,Base5,5,95,1.064546
3,Base5,5,96,1.064546
3,Base5,5,97,1.064546
3,Base5,5,98,1.064546
3,Base5,5,99,1.064546
3,Base5,5,100,1.064546
3,Base5,5,101,1.064546
3,Base5,5,102,1.064546
3,Base5,5,103,1.064546
3,Base5,5,104,1.093035
3,Base5,5,105,1.097791
3,Base5,5,106,1.091511
3,Base5,5,107,1.071091
3,Base5,6,0,1.000000
3,Base5,6,0,1.000000
3,Base5,6,1,1.000000
3,Base5,6,2,1.000000
3,Base5,6,3,1.000000
3,Base5,6,4,1.000000
3,Base5,6,5,1.000000
3,Base5,6,6,0.992975
3,Base5,6,7,0.996488
3,Base5,6,8,0.991577
3,Base5,6,9,0.991577
3,Base5,6,10,0.991577
3,Base5,6,11,0.991577
3,Base5,6,12,0.991577
3,Base5,6,13,0.991577
3,Base5,6,14,0.991577
3,Base5,6,15,0.991577
3,Base5,6,16,0.991577
3,Base5,6,17,0.991577
3,Base5,6,18,0.991577
3,Base5,6,19,0.991577
3,Base5,6,20,0.991577
3,Base5,6,21,0.991577
3,Base5,6,22,0.991577
3,Base5,6,23,0.991577
3,Base5,6,24,0.991577
3,Base5,6,25,0.991577
3,Base5,6,26,0.991577
3,Base5,6,27,0.991577
3,Base5,6,28,0.991577
3,Base5,6,29,0.991577
3,Base5,6,30,0.991577
3,Base5,6,31,0.991577
3,Base5,6,32,0.991577
3,Base5,6,33,0.991577
3,Base5,6,34,0.991577
3,Base5,6,35,0.991577
3,Base5,6,36,0.991577
3,Base5,6,37,0.991577
3,Base5,6,38,0.991577
3,Base5,6,39,0.991577
3,Base5,6,40,0.991577
3,Base5,6,41,0.991577
3,Base5,6,42,0.991577
3,Base5,6,43,0.991577
3,Base5,6,44,0.991577
3,Base5,6,45,0.991577
