hedge_atr_period,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
77,47,60,78.3333,1.245843,14.4731,9.8251,3014,48.6397
78,45,60,75.0000,1.224195,14.2125,9.8589,3014,48.6397
79,44,60,73.3333,1.197258,13.7769,9.9231,3014,48.6397
80,44,60,73.3333,1.203528,13.8196,9.9134,3014,48.6397
81,44,60,73.3333,1.191338,13.5345,9.9352,3014,48.6397
82,43,60,71.6667,1.160236,12.6804,9.9352,3014,48.6397
83,43,60,71.6667,1.160236,12.6804,9.9352,3014,48.6397
84,43,60,71.6667,1.152649,12.5418,9.9621,3014,48.6397
85,46,60,76.6667,1.213263,13.1794,9.8592,3014,48.6397
86,44,60,73.3333,1.177380,12.7418,9.8709,3014,48.6397
87,44,60,73.3333,1.200957,12.9646,9.8250,3014,48.6397
88,44,60,73.3333,1.195489,12.8581,9.8174,3014,48.6397
89,47,60,78.3333,1.213757,12.9898,9.8205,3014,48.6397
90,44,60,73.3333,1.199135,12.9073,9.8026,3014,48.6397
91,44,60,73.3333,1.201301,12.8184,9.7773,3014,48.6397
92,44,60,73.3333,1.175585,12.1950,9.7773,3014,48.6397
93,45,60,75.0000,1.203120,12.7218,9.7336,3014,48.6397
94,45,60,75.0000,1.203120,12.7218,9.7336,3014,48.6397
95,45,60,75.0000,1.185848,12.5445,9.9350,3014,48.6397
96,43,60,71.6667,1.051896,10.0651,9.9080,3014,48.6397
97,45,60,75.0000,1.089519,10.7299,9.9314,3014,48.6397
98,45,60,75.0000,1.131539,11.0478,9.8169,3014,48.6397
99,45,60,75.0000,1.132788,10.9877,9.8736,3014,48.6397
100,46,60,76.6667,1.163365,11.0773,9.7460,3014,48.6397
