universe,window,strategy,symbol,return_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W47,SHORT,BTC,15.0992,2.0789,22.2166,7,0.5714,PASS
Base5,W47,LONG_SKIP_CRISIS,BTC,44.4801,3.0926,30.3865,12,0.4167,PASS
Base5,W48,SHORT,BTC,13.3749,1.8342,14.5374,6,0.5000,PASS
Base5,W48,LONG_SKIP_CRISIS,BTC,50.7914,3.4415,30.3865,12,0.5000,PASS
Base5,W49,SHORT,BTC,14.9538,2.0303,14.5374,7,0.5714,PASS
Base5,W49,LONG_SKIP_CRISIS,BTC,10.2900,0.9126,30.3865,13,0.4615,PASS
Base5,W50,SHORT,BTC,49.4126,5.2108,14.5374,7,0.5714,PASS
Base5,W50,LONG_SKIP_CRISIS,BTC,0.4512,0.1370,30.3865,14,0.3571,PASS
Base5,W51,SHORT,BTC,47.5625,4.2410,14.2440,7,0.5714,PASS
Base5,W51,LONG_SKIP_CRISIS,BTC,-8.5052,-0.6969,30.3865,13,0.4615,FAIL
Base5,W52,SHORT,BTC,136.3662,5.5963,12.7622,8,0.7500,PASS
Base5,W52,LONG_SKIP_CRISIS,BTC,-42.4960,-5.2834,42.4960,14,0.2857,FAIL
Base5,W53,SHORT,BTC,129.9586,5.4580,12.7622,8,0.7500,PASS
Base5,W53,LONG_SKIP_CRISIS,BTC,-43.5310,-5.3171,43.5310,13,0.3077,FAIL
Base5,W54,SHORT,BTC,76.4936,3.8030,12.7622,8,0.6250,PASS
Base5,W54,LONG_SKIP_CRISIS,BTC,-30.1425,-3.3323,36.0977,11,0.3636,FAIL
Base5,W55,SHORT,BTC,97.1170,4.4980,12.7622,8,0.7500,PASS
Base5,W55,LONG_SKIP_CRISIS,BTC,-33.3389,-3.9436,33.3389,10,0.3000,FAIL
Base5,W56,SHORT,BTC,62.5370,3.2733,12.7622,9,0.6667,PASS
Base5,W56,LONG_SKIP_CRISIS,BTC,-25.3353,-2.8580,26.1751,11,0.3636,FAIL
Base5,W57,SHORT,BTC,51.2562,2.7997,12.7622,8,0.5000,PASS
Base5,W57,LONG_SKIP_CRISIS,BTC,-14.6486,-1.6604,26.1537,10,0.4000,FAIL
Base5,W58,SHORT,BTC,37.0990,2.1637,13.1568,9,0.3333,PASS
Base5,W58,LONG_SKIP_CRISIS,BTC,-13.3324,-1.4911,26.1537,9,0.4444,FAIL
Base5,W59,SHORT,BTC,46.9296,2.3843,17.7934,8,0.5000,PASS
Base5,W59,LONG_SKIP_CRISIS,BTC,-24.8675,-7.3720,30.1945,8,0.2500,FAIL
Base5,W60,SHORT,BTC,40.9279,2.1480,18.7004,8,0.3750,PASS
Base5,W60,LONG_SKIP_CRISIS,BTC,-34.9602,-8.5336,36.3121,8,0.2500,FAIL
Base5,W61,SHORT,BTC,62.4472,4.3552,18.7004,9,0.4444,PASS
Base5,W61,LONG_SKIP_CRISIS,BTC,-24.5035,-15.6052,24.5035,7,0.1429,FAIL
Base5,W62,SHORT,BTC,7.7062,0.8402,27.3205,8,0.2500,PASS
Base5,W62,LONG_SKIP_CRISIS,BTC,16.8369,3.0009,17.1120,6,0.3333,PASS
Base5,W63,SHORT,BTC,-2.8706,-0.0464,27.3205,8,0.2500,FAIL
Base5,W63,LONG_SKIP_CRISIS,BTC,-2.3818,-0.2225,23.0073,11,0.2727,FAIL
Base5,W64,SHORT,BTC,-27.3205,-3.9235,27.3205,6,0.0000,FAIL
Base5,W64,LONG_SKIP_CRISIS,BTC,22.9676,2.6459,10.7584,12,0.4167,PASS
Base5,W65,SHORT,BTC,-32.7276,-4.5202,32.7276,7,0.0000,FAIL
Base5,W65,LONG_SKIP_CRISIS,BTC,15.8665,1.4147,15.9516,15,0.4000,PASS
Base5,W66,SHORT,BTC,-32.7276,-4.5202,32.7276,7,0.0000,FAIL
Base5,W66,LONG_SKIP_CRISIS,BTC,27.1055,2.2138,15.1777,15,0.4667,PASS
Base5,W67,SHORT,BTC,-31.8947,-4.3521,31.8947,6,0.0000,FAIL
Base5,W67,LONG_SKIP_CRISIS,BTC,33.4914,2.7325,13.4265,15,0.5333,PASS
Base5,W68,SHORT,BTC,-35.4322,-4.9620,35.4322,6,0.0000,FAIL
Base5,W68,LONG_SKIP_CRISIS,BTC,38.5293,3.0724,13.4265,15,0.4667,PASS
Base5,W69,SHORT,BTC,-29.7961,-3.9708,31.9901,7,0.1429,FAIL
Base5,W69,LONG_SKIP_CRISIS,BTC,17.9953,1.5932,13.4265,17,0.3529,PASS
Base5,W70,SHORT,BTC,-31.1164,-4.2298,31.1164,6,0.0000,FAIL
Base5,W70,LONG_SKIP_CRISIS,BTC,25.9474,1.9921,13.4265,18,0.3889,PASS
Base5,W71,SHORT,BTC,-22.8356,-6.5883,22.8356,4,0.0000,FAIL
Base5,W71,LONG_SKIP_CRISIS,BTC,37.7294,2.8049,13.4265,18,0.4444,PASS
Base5,W72,SHORT,BTC,-21.7075,-6.0855,22.8356,5,0.2000,FAIL
Base5,W72,LONG_SKIP_CRISIS,BTC,16.3333,1.3307,13.6254,18,0.3889,PASS
Base5,W73,SHORT,BTC,-17.1662,-5.0122,17.1929,5,0.2000,FAIL
Base5,W73,LONG_SKIP_CRISIS,BTC,3.2602,0.3656,13.6254,21,0.3810,PASS
Base5,W74,SHORT,BTC,-19.2764,-5.6129,19.2764,5,0.0000,FAIL
