symbol,window,cp,pass,sharpe,drawdown,equity,trades,return_pct
LTCUSDT,2,42,1,4.6901,29.94,1.2092,7,20.92
EOSUSDT,2,42,1,2.2537,37.77,1.1200,12,12.00
BTCUSDT,3,42,1,7.3410,49.33,1.7923,13,79.23
ETHUSDT,3,42,1,4.5178,55.70,1.7812,18,78.12
XRPUSDT,3,42,1,8.4647,67.00,3.0253,9,202.53
LTCUSDT,3,42,1,-3.0520,52.09,0.6330,17,-36.70
EOSUSDT,3,42,1,3.7834,43.12,1.3569,13,35.69
BTCUSDT,4,42,1,0.7279,33.66,0.9829,11,-1.71
ETHUSDT,4,42,1,8.9515,55.11,2.1931,10,119.31
XRPUSDT,4,42,1,-5.2241,35.71,0.7061,8,-29.39
LTCUSDT,4,42,1,1.6313,35.44,1.0201,9,2.01
EOSUSDT,4,42,1,-2.8104,27.98,0.8629,4,-13.71
BTCUSDT,5,42,1,-39.2605,22.63,0.7737,4,-22.63
ETHUSDT,5,42,1,0.5908,14.44,0.9992,4,-0.08
XRPUSDT,5,42,1,4.1314,29.69,1.2393,7,23.93
LTCUSDT,5,42,1,11.5592,28.83,1.3428,3,34.28
EOSUSDT,5,42,1,0.5077,23.16,0.9756,5,-2.44
