atr_period,bar,equity
6,243,-0.061743
6,244,-0.061743
6,245,-0.061743
6,246,-0.061743
6,247,-0.061743
6,248,-0.061743
6,249,-0.061743
6,250,-0.061743
6,251,-0.061743
6,252,-0.061743
6,253,-0.061743
7,0,1.000000
7,1,1.000000
7,2,0.841667
7,3,0.841667
7,4,0.841667
7,5,0.841667
7,6,0.646088
7,7,0.646088
7,8,0.646088
7,9,0.646088
7,10,0.646088
7,11,0.646088
7,12,0.646088
7,13,0.487754
7,14,0.479838
7,15,0.479838
7,16,0.471921
7,17,0.313588
7,18,0.332910
7,19,0.332910
7,20,0.332910
7,21,0.332514
7,22,0.332514
7,23,0.332514
7,24,0.331314
7,25,0.158076
7,26,0.159898
7,27,0.159898
7,28,0.159898
7,29,0.168274
7,30,0.168274
7,31,0.168274
7,32,0.168274
7,33,0.140288
7,34,0.140288
7,35,0.132372
7,36,-0.033878
7,37,-0.023186
7,38,-0.042040
7,39,-0.042040
7,40,-0.042040
7,41,-0.043888
7,42,-0.043959
7,43,-0.043959
7,44,-0.045359
7,45,-0.069385
7,46,-0.069385
7,47,-0.071078
7,48,-0.071078
7,49,-0.070978
7,50,-0.070904
7,51,-0.070904
7,52,-0.070904
7,53,-0.070813
7,54,-0.070732
7,55,-0.070732
7,56,-0.070691
7,57,-0.070691
7,58,-0.070695
7,59,-0.070695
7,60,-0.070695
7,61,-0.070381
7,62,-0.070381
7,63,-0.070382
7,64,-0.070382
7,65,-0.070382
7,66,-0.070382
7,67,-0.070382
7,68,-0.070373
7,69,-0.070917
7,70,-0.070917
7,71,-0.070917
7,72,-0.070917
7,73,-0.070951
7,74,-0.070951
7,75,-0.070951
7,76,-0.070951
7,77,-0.070951
7,78,-0.071032
7,79,-0.071032
7,80,-0.071032
7,81,-0.071032
7,82,-0.071032
7,83,-0.071032
7,84,-0.071032
7,85,-0.071032
7,86,-0.071032
7,87,-0.071032
7,88,-0.071032
7,89,-0.071032
7,90,-0.071032
7,91,-0.071032
7,92,-0.071032
7,93,-0.071032
7,94,-0.071032
7,95,-0.071032
7,96,-0.071032
7,97,-0.071032
7,98,-0.071032
7,99,-0.071032
7,100,-0.071032
7,101,-0.071032
7,102,-0.071032
7,103,-0.071032
7,104,-0.071032
7,105,-0.071032
7,106,-0.071032
7,107,-0.071032
7,108,-0.071032
7,109,-0.071032
7,110,-0.071032
7,111,-0.071032
7,112,-0.071032
7,113,-0.071032
7,114,-0.071032
7,115,-0.071032
7,116,-0.071032
7,117,-0.071032
7,118,-0.071032
7,119,-0.071032
7,120,-0.071032
7,121,-0.071032
