step,ep_10,ep_21,ep_30,ep_35,ep_44
153,12.486511,7.396920,4.362803,4.768676,4.835343
154,13.257423,7.396920,4.362803,4.768676,4.835343
155,11.579894,7.396920,4.362803,4.768676,4.835343
156,11.579894,7.396920,4.362803,4.768676,4.835343
157,11.579894,7.899093,4.362803,4.768676,4.835343
158,11.579894,7.899093,4.362803,4.768676,4.835343
159,11.579894,8.335226,4.362803,4.768676,4.835343
160,11.579894,8.335226,4.362803,4.768676,4.835343
161,11.135234,8.335226,4.362803,4.768676,4.511269
162,9.485569,8.335226,4.362803,4.768676,4.511269
163,9.485569,8.335226,4.362803,4.768676,4.511269
164,9.485569,8.335226,4.362803,4.768676,4.511269
165,9.485569,8.335226,4.362803,4.768676,4.511269
166,9.485569,8.335226,4.362803,4.768676,4.511269
167,9.485569,8.335226,4.362803,4.768676,4.511269
168,9.485569,7.264987,4.362803,4.768676,4.511269
169,9.485569,7.264987,5.487154,4.768676,4.511269
170,9.485569,7.264987,5.487154,4.768676,4.511269
171,9.485569,7.264987,5.487154,4.768676,4.511269
172,9.485569,7.264987,5.487154,4.768676,4.511269
173,9.485569,7.264987,5.487154,4.768676,4.511269
174,9.485569,7.747623,5.487154,4.768676,4.511269
175,9.485569,7.132849,5.859674,4.768676,4.511269
176,8.825799,7.132849,5.859674,4.768676,4.511269
177,8.825799,9.175257,6.183204,4.768676,4.511269
178,8.825799,18.386920,6.183204,5.997627,4.511269
179,11.291591,18.386920,6.183204,5.997627,4.511269
180,11.291591,18.386920,6.183204,5.997627,4.511269
181,10.030085,14.268779,6.183204,5.997627,4.511269
182,10.003719,14.268779,6.183204,5.997627,4.511269
183,10.003719,14.268779,6.183204,5.997627,4.511269
184,9.961610,14.268779,6.183204,6.404802,4.511269
185,11.226809,14.268779,6.183204,6.404802,4.511269
186,11.226809,14.268779,6.183204,6.758430,5.673882
187,11.226809,14.268779,6.183204,6.758430,5.673882
188,11.226809,14.268779,6.183204,6.758430,5.673882
189,11.226809,14.268779,6.183204,6.758430,5.673882
190,11.226809,14.268779,6.183204,6.758430,5.673882
191,11.226809,14.268779,6.183204,6.758430,5.673882
