hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
12,NoDOGE,3,196.07,7.4466,18.63,21,61.90,true,2.960699
15,NoDOGE,3,163.77,7.2111,18.63,19,68.42,true,2.637698
18,NoDOGE,3,159.68,7.0875,26.94,19,63.16,true,2.596847
20,NoDOGE,3,163.05,6.6500,30.68,19,57.89,true,2.630475
22,NoDOGE,3,107.85,5.4942,37.56,19,57.89,true,2.078470
25,NoDOGE,3,150.35,6.4219,18.63,18,61.11,true,2.503460
30,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
35,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
40,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
45,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
50,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
60,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
75,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
90,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
120,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
180,NoDOGE,3,167.28,7.5222,18.63,17,64.71,true,2.672827
5,NoDOGE,4,52.87,5.7037,18.40,19,52.63,true,1.528696
8,NoDOGE,4,66.68,5.3032,15.87,16,56.25,true,1.666785
10,NoDOGE,4,124.21,10.1785,15.55,15,60.00,true,2.242103
12,NoDOGE,4,95.90,10.9673,9.06,13,69.23,true,1.958999
15,NoDOGE,4,95.82,10.1853,9.06,12,58.33,true,1.958210
18,NoDOGE,4,64.24,7.1021,9.43,12,50.00,true,1.642419
20,NoDOGE,4,69.71,8.2931,9.43,11,54.55,true,1.697097
22,NoDOGE,4,71.01,8.3597,9.43,11,54.55,true,1.710061
25,NoDOGE,4,44.08,6.0946,9.43,11,54.55,true,1.440752
30,NoDOGE,4,56.70,6.2086,9.45,11,45.45,true,1.567016
35,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
40,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
45,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
50,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
60,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
75,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
90,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
120,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
180,NoDOGE,4,52.98,7.0761,9.43,10,50.00,true,1.529777
5,NoDOGE,5,34.99,3.8542,19.47,19,47.37,true,1.349866
8,NoDOGE,5,10.58,1.6452,19.84,18,50.00,true,1.105755
10,NoDOGE,5,11.46,1.9180,22.47,17,47.06,true,1.114556
12,NoDOGE,5,-3.22,0.4667,25.87,17,41.18,false,0.967785
15,NoDOGE,5,29.10,3.7126,27.35,16,43.75,true,1.291022
18,NoDOGE,5,19.50,2.8046,23.93,15,46.67,true,1.194974
20,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
22,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
25,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
30,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
35,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
40,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
45,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
50,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
60,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
75,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
90,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
120,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
180,NoDOGE,5,15.42,2.3698,23.93,15,46.67,true,1.154193
5,Legacy4,0,46.00,3.2468,23.19,27,51.85,true,1.460023
8,Legacy4,0,24.42,2.2921,21.86,25,48.00,true,1.244175
10,Legacy4,0,18.30,1.9141,23.05,24,50.00,true,1.183018
12,Legacy4,0,20.48,1.9824,23.20,24,50.00,true,1.204796
15,Legacy4,0,28.41,2.3941,21.86,23,52.17,true,1.284093
18,Legacy4,0,19.14,1.8180,21.86,23,52.17,true,1.191389
20,Legacy4,0,21.49,1.7144,21.86,23,52.17,true,1.214922
22,Legacy4,0,3.49,0.9488,21.86,22,50.00,true,1.034941
25,Legacy4,0,28.55,2.5765,21.86,22,45.45,true,1.285517
30,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
35,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
40,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
45,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
50,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
60,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
75,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
90,Legacy4,0,39.15,3.2607,21.86,22,45.45,true,1.391460
