universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
Legacy3,6,3.0,17.9694,3.436523,16.4371,13,1
LowVolume5,0,3.0,31.6302,5.362228,15.2856,13,1
LowVolume5,1,3.0,-9.0392,-0.360395,42.6916,13,0
LowVolume5,2,3.0,97.6512,9.711411,14.4181,13,1
LowVolume5,3,3.0,51.2049,6.289410,28.9260,12,1
LowVolume5,4,3.0,-23.9085,-2.807064,35.3129,11,0
LowVolume5,5,3.0,-55.7299,-8.053653,56.7467,12,0
LowVolume5,6,3.0,21.6205,3.093213,25.2744,14,1
OldGuard4,0,3.0,9.2375,2.504526,27.4532,11,1
OldGuard4,1,3.0,7.5002,2.499185,16.0120,12,1
OldGuard4,2,3.0,202.0721,10.416584,11.8602,14,1
OldGuard4,3,3.0,64.3887,8.100195,13.1397,11,1
OldGuard4,4,3.0,23.4133,6.439559,14.2711,9,1
OldGuard4,5,3.0,-23.9941,-1.410717,45.6198,12,0
OldGuard4,6,3.0,16.6326,3.257907,16.4371,13,1
Base5,0,4.0,276.0384,13.184426,14.9762,10,1
Base5,1,4.0,184.5636,5.284842,20.3498,13,1
Base5,2,4.0,62.0812,10.666554,8.3326,13,1
Base5,3,4.0,262.0464,18.707398,10.4750,12,1
Base5,4,4.0,21.8350,6.431123,5.2585,10,1
Base5,5,4.0,41.0678,5.557215,26.0880,11,1
Base5,6,4.0,6.3951,2.292807,24.6230,9,1
NoDOGE,0,4.0,276.0384,13.184426,14.9762,10,1
NoDOGE,1,4.0,20.7334,7.419884,10.4424,10,1
NoDOGE,2,4.0,57.8566,10.581496,8.1217,12,1
NoDOGE,3,4.0,262.0464,18.707398,10.4750,12,1
NoDOGE,4,4.0,21.8350,6.431123,5.2585,10,1
NoDOGE,5,4.0,41.0678,5.557215,26.0880,11,1
NoDOGE,6,4.0,33.2741,9.436322,5.3993,9,1
Legacy4,0,4.0,24.4013,7.258523,11.1305,10,1
Legacy4,1,4.0,7.6920,2.237207,19.0987,13,1
Legacy4,2,4.0,227.8061,11.470560,11.8602,14,1
Legacy4,3,4.0,108.5659,11.863290,10.4750,12,1
Legacy4,4,4.0,-1.9728,-1.371264,9.7094,7,0
Legacy4,5,4.0,29.4346,3.924948,46.7958,12,1
Legacy4,6,4.0,35.1446,6.384386,14.1112,11,1
Legacy5BNB,0,4.0,38.5968,14.403057,4.1287,8,1
Legacy5BNB,1,4.0,-0.3902,0.517012,19.0987,13,1
Legacy5BNB,2,4.0,242.0959,12.617574,11.8602,13,1
Legacy5BNB,3,4.0,172.4103,15.542991,10.4750,10,1
Legacy5BNB,4,4.0,-2.9500,-3.631871,7.3935,4,0
Legacy5BNB,5,4.0,26.0257,4.317396,29.3099,10,1
Legacy5BNB,6,4.0,35.1446,6.384386,14.1112,11,1
OldGuardNoBNB,0,4.0,57.8040,10.874108,10.0818,9,1
OldGuardNoBNB,1,4.0,20.4768,6.815708,7.1470,10,1
OldGuardNoBNB,2,4.0,227.8061,11.470560,11.8602,14,1
OldGuardNoBNB,3,4.0,108.5659,11.863290,10.4750,12,1
OldGuardNoBNB,4,4.0,8.4869,4.590372,9.7094,8,1
OldGuardNoBNB,5,4.0,-34.9195,-1.899775,50.9441,12,0
OldGuardNoBNB,6,4.0,35.1446,6.384386,14.1112,11,1
LargeCaps5,0,4.0,231.8280,11.829756,14.9762,10,1
LargeCaps5,1,4.0,20.7334,7.419884,10.4424,10,1
LargeCaps5,2,4.0,57.8566,10.581496,8.1217,12,1
LargeCaps5,3,4.0,215.9219,16.812727,10.4750,11,1
LargeCaps5,4,4.0,21.8350,6.431123,5.2585,10,1
LargeCaps5,5,4.0,41.0678,5.557215,26.0880,11,1
LargeCaps5,6,4.0,33.2741,9.436322,5.3993,9,1
Legacy3,0,4.0,70.6184,10.462228,8.2312,13,1
Legacy3,1,4.0,39.4228,7.527496,18.1901,13,1
Legacy3,2,4.0,202.0721,10.416584,11.8602,14,1
Legacy3,3,4.0,64.3887,8.100195,13.1397,11,1
Legacy3,4,4.0,-8.8294,-7.343733,14.2711,7,0
Legacy3,5,4.0,48.6649,5.441562,24.7428,12,1
Legacy3,6,4.0,17.9694,3.436523,16.4371,13,1
LowVolume5,0,4.0,31.6302,5.362228,15.2856,13,1
LowVolume5,1,4.0,-9.0392,-0.360395,42.6916,13,0
LowVolume5,2,4.0,97.6512,9.711411,14.4181,13,1
LowVolume5,3,4.0,51.2049,6.289410,28.9260,12,1
LowVolume5,4,4.0,-23.9085,-2.807064,35.3129,11,0
LowVolume5,5,4.0,-55.7299,-8.053653,56.7467,12,0
LowVolume5,6,4.0,21.6205,3.093213,25.2744,14,1
OldGuard4,0,4.0,9.2375,2.504526,27.4532,11,1
OldGuard4,1,4.0,7.5002,2.499185,16.0120,12,1
OldGuard4,2,4.0,202.0721,10.416584,11.8602,14,1
OldGuard4,3,4.0,64.3887,8.100195,13.1397,11,1
OldGuard4,4,4.0,23.4133,6.439559,14.2711,9,1
OldGuard4,5,4.0,-23.9941,-1.410717,45.6198,12,0
OldGuard4,6,4.0,16.6326,3.257907,16.4371,13,1
Base5,0,5.0,277.9921,13.226661,14.9762,10,1
Base5,1,5.0,169.1850,5.125020,20.3498,13,1
Base5,2,5.0,57.3721,10.129396,8.3326,13,1
Base5,3,5.0,280.6095,22.603494,4.5050,12,1
Base5,4,5.0,21.8350,6.431123,5.2585,10,1
Base5,5,5.0,41.6347,5.648296,26.0880,11,1
Base5,6,5.0,6.3951,2.292807,24.6230,9,1
NoDOGE,0,5.0,277.9921,13.226661,14.9762,10,1
NoDOGE,1,5.0,14.2086,6.307059,10.4424,10,1
NoDOGE,2,5.0,53.2703,10.010193,8.1217,12,1
NoDOGE,3,5.0,280.6095,22.603494,4.5050,12,1
NoDOGE,4,5.0,21.8350,6.431123,5.2585,10,1
NoDOGE,5,5.0,41.6347,5.648296,26.0880,11,1
NoDOGE,6,5.0,33.2741,9.436322,5.3993,9,1
Legacy4,0,5.0,24.4013,7.258523,11.1305,10,1
Legacy4,1,5.0,7.6920,2.237207,19.0987,13,1
Legacy4,2,5.0,218.2821,11.178780,11.8602,14,1
Legacy4,3,5.0,130.7401,15.504165,7.1780,11,1
Legacy4,4,5.0,-1.9728,-1.371264,9.7094,7,0
Legacy4,5,5.0,26.0784,3.697705,46.7958,12,1
Legacy4,6,5.0,35.1446,6.384386,14.1112,11,1
Legacy5BNB,0,5.0,38.5968,14.403057,4.1287,8,1
