atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
0.50,OldGuardNoBNB,0,252,504,-51.9250,-0.6134,56,41.0714,73.1821,1
0.50,OldGuardNoBNB,1,504,756,43.2571,1.9592,45,48.8889,69.9908,1
0.50,OldGuardNoBNB,2,756,1008,538.3569,4.6529,46,52.1739,28.6821,1
0.50,OldGuardNoBNB,3,1008,1260,346.9713,3.7323,58,51.7241,68.0977,1
0.50,OldGuardNoBNB,4,1260,1512,1.1586,0.8995,29,51.7241,51.3259,1
0.50,OldGuardNoBNB,5,1512,1764,-47.1986,-0.9160,29,37.9310,63.7576,1
0.50,OldGuardNoBNB,6,1764,2016,4.4934,0.8378,40,47.5000,46.7406,1
0.50,LargeCaps5,0,252,504,1602.2280,5.0239,56,57.1429,61.2574,1
0.50,LargeCaps5,1,504,756,32.7031,2.0279,33,48.4848,57.6835,1
0.50,LargeCaps5,2,756,1008,626.7780,5.3342,43,55.8140,38.5476,1
0.50,LargeCaps5,3,1008,1260,754.3830,3.9746,63,49.2063,77.2387,1
0.50,LargeCaps5,4,1260,1512,159.8534,4.3968,41,58.5366,43.7405,1
0.50,LargeCaps5,5,1512,1764,-29.1946,-0.6664,28,32.1429,64.2028,1
0.50,LargeCaps5,6,1764,2016,48.6532,2.6692,38,50.0000,33.1586,1
0.50,Legacy3,0,252,504,-21.1881,0.3097,49,44.8980,54.3056,1
0.50,Legacy3,1,504,756,51.9034,2.1738,42,42.8571,53.7217,1
0.50,Legacy3,2,756,1008,672.9074,4.7975,47,48.9362,50.0278,1
0.50,Legacy3,3,1008,1260,501.1908,4.4941,53,54.7170,60.7422,1
0.50,Legacy3,4,1260,1512,-40.4446,-1.6186,29,41.3793,62.2429,1
0.50,Legacy3,5,1512,1764,-73.1289,-6.9301,28,28.5714,74.3327,1
0.50,Legacy3,6,1764,2016,-4.6093,0.3321,38,50.0000,49.1885,1
0.50,LowVolume5,0,252,504,1.6439,1.1827,51,43.1373,60.7570,1
0.50,LowVolume5,1,504,756,11.9744,1.3803,38,39.4737,73.6702,1
0.50,LowVolume5,2,756,1008,1139.9829,4.7744,54,48.1481,45.4823,1
0.50,LowVolume5,3,1008,1260,359.0304,3.6494,58,55.1724,85.7413,1
0.50,LowVolume5,4,1260,1512,-68.2973,-4.6161,25,28.0000,76.4660,1
0.50,LowVolume5,5,1512,1764,-62.8685,-1.6817,39,38.4615,66.5502,1
0.50,LowVolume5,6,1764,2016,-68.1026,-5.1566,35,28.5714,76.2039,1
0.50,OldGuard4,0,252,504,-30.4114,0.1943,56,42.8571,58.1577,1
0.50,OldGuard4,1,504,756,-52.2652,-1.7272,41,39.0244,76.5048,1
0.50,OldGuard4,2,756,1008,638.0642,4.6593,48,50.0000,49.7017,1
0.50,OldGuard4,3,1008,1260,501.1908,4.4941,53,54.7170,60.7422,1
0.50,OldGuard4,4,1260,1512,-23.8269,-0.0477,35,42.8571,69.5701,1
0.50,OldGuard4,5,1512,1764,-68.0164,-2.1072,39,33.3333,76.6108,1
