universe,cooldown,window,ret,sharpe,trades,max_dd,pass
OldGuardNoBNB,10,6,3.74,0.453,27,44.67,true
OldGuardNoBNB,10,7,-48.13,-0.252,32,56.16,false
OldGuardNoBNB,10,8,4.93,0.483,31,46.04,true
OldGuardNoBNB,10,9,179.95,1.883,17,26.98,true
OldGuardNoBNB,4,0,87.66,1.219,38,67.14,true
OldGuardNoBNB,4,1,-58.69,-0.742,34,76.99,false
OldGuardNoBNB,4,2,1.31,0.605,31,58.00,true
OldGuardNoBNB,4,3,122.08,1.269,38,51.56,true
OldGuardNoBNB,4,4,-21.09,-0.072,23,55.11,false
OldGuardNoBNB,4,5,-56.29,-0.935,31,68.66,false
OldGuardNoBNB,4,6,-41.86,-0.491,32,55.71,false
OldGuardNoBNB,4,7,-78.12,-1.136,42,78.12,false
OldGuardNoBNB,4,8,7.78,0.580,34,50.60,true
OldGuardNoBNB,4,9,194.56,1.944,18,26.98,true
OldGuardNoBNB,28,0,88.09,1.335,25,48.28,true
OldGuardNoBNB,28,1,-47.73,-1.131,20,47.73,false
OldGuardNoBNB,28,2,55.54,0.972,19,41.67,true
OldGuardNoBNB,28,3,-20.44,0.056,22,55.51,true
OldGuardNoBNB,28,4,-42.96,-1.242,16,42.96,false
OldGuardNoBNB,28,5,-37.72,-0.614,18,58.90,false
OldGuardNoBNB,28,6,6.64,0.457,21,50.74,true
OldGuardNoBNB,28,7,-38.03,-0.131,25,59.74,false
OldGuardNoBNB,28,8,-40.48,-1.108,21,50.65,false
OldGuardNoBNB,28,9,242.72,2.219,10,16.93,true
LargeCaps5,0,0,47.50,0.980,41,64.75,true
LargeCaps5,0,1,71.47,1.198,32,63.05,true
LargeCaps5,0,2,82.95,1.184,34,42.13,true
LargeCaps5,0,3,2979.92,2.678,45,53.11,true
LargeCaps5,0,4,178.28,2.041,16,20.58,true
LargeCaps5,0,5,-81.14,-2.946,36,86.30,false
LargeCaps5,0,6,-56.07,-1.411,36,61.09,false
LargeCaps5,0,7,4.86,0.579,44,45.51,true
LargeCaps5,0,8,-70.86,-1.492,43,70.86,false
LargeCaps5,0,9,113.59,1.581,24,22.29,true
LargeCaps5,10,0,38.30,0.885,31,50.33,true
LargeCaps5,10,1,-3.93,0.360,28,57.45,true
LargeCaps5,10,2,57.69,1.047,30,40.84,true
LargeCaps5,10,3,1998.64,2.599,33,28.82,true
LargeCaps5,10,4,103.51,1.600,17,24.41,true
LargeCaps5,10,5,-75.97,-2.892,28,82.54,false
LargeCaps5,10,6,11.09,0.548,28,37.28,true
LargeCaps5,10,7,60.69,0.993,27,35.08,true
LargeCaps5,10,8,-60.58,-1.498,34,60.58,false
LargeCaps5,10,9,110.06,1.566,22,25.05,true
LargeCaps5,4,0,147.45,1.367,36,56.45,true
LargeCaps5,4,1,32.89,0.852,31,66.94,true
LargeCaps5,4,2,191.57,1.548,30,40.84,true
LargeCaps5,4,3,1191.93,2.323,42,55.33,true
LargeCaps5,4,4,178.28,2.041,16,20.58,true
LargeCaps5,4,5,-80.35,-3.016,33,85.73,false
LargeCaps5,4,6,-51.40,-1.229,35,56.96,false
LargeCaps5,4,7,12.09,0.639,37,50.22,true
LargeCaps5,4,8,-62.51,-1.384,37,62.51,false
LargeCaps5,4,9,127.22,1.681,23,22.29,true
LargeCaps5,28,0,129.38,1.312,23,29.08,true
LargeCaps5,28,1,-27.87,-0.431,19,46.53,false
LargeCaps5,28,2,107.43,1.253,20,36.93,true
LargeCaps5,28,3,98.91,1.299,22,38.85,true
