mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.15,NoDOGE,4,101.30,7.1148,9.24,9,66.67,true
0.15,NoDOGE,5,13.45,2.2203,32.35,11,54.55,true
0.15,Legacy4,0,84.17,4.3972,38.88,15,53.33,true
0.15,Legacy4,1,-23.07,-1.3095,35.89,12,33.33,false
0.15,Legacy4,2,-16.10,-0.1039,42.72,12,50.00,false
0.15,Legacy4,3,-20.59,0.9281,60.99,15,53.33,false
0.15,Legacy4,4,-11.33,-0.0856,33.96,9,44.44,false
0.15,Legacy4,5,24.15,2.8085,35.74,10,60.00,true
0.15,Legacy5BNB,0,112.39,5.0951,38.88,16,56.25,true
0.15,Legacy5BNB,1,-45.24,-4.4665,51.85,12,33.33,false
0.15,Legacy5BNB,2,-29.57,-1.0301,42.72,12,50.00,false
0.15,Legacy5BNB,3,-3.32,1.8458,52.50,14,57.14,false
0.15,Legacy5BNB,4,45.05,4.6728,12.91,8,62.50,true
0.15,Legacy5BNB,5,-22.70,-1.4866,35.75,11,45.45,false
0.15,OldGuardNoBNB,0,36.06,3.2449,37.52,17,47.06,true
0.15,OldGuardNoBNB,1,-69.41,-8.4868,69.41,12,25.00,false
0.15,OldGuardNoBNB,2,-20.22,-0.3749,42.72,12,50.00,false
0.15,OldGuardNoBNB,3,-20.59,0.9281,60.99,15,53.33,false
0.15,OldGuardNoBNB,4,-9.68,0.0491,33.96,10,50.00,false
0.15,OldGuardNoBNB,5,126.21,6.2766,35.74,12,66.67,true
0.15,LargeCaps5,0,375.95,7.1444,24.72,13,76.92,true
0.15,LargeCaps5,1,-14.17,-0.5011,29.77,8,37.50,false
0.15,LargeCaps5,2,89.33,3.7559,41.60,15,53.33,true
0.15,LargeCaps5,3,-29.83,0.3773,52.16,16,43.75,false
0.15,LargeCaps5,4,67.09,5.9892,12.91,9,66.67,true
0.15,LargeCaps5,5,6.63,1.6365,32.35,11,45.45,true
0.15,Legacy3,0,46.06,3.2907,29.85,14,50.00,true
0.15,Legacy3,1,-28.31,-1.2792,56.76,13,30.77,false
0.15,Legacy3,2,-49.07,-2.5657,52.74,12,33.33,false
0.15,Legacy3,3,35.04,2.7091,43.04,14,57.14,true
0.15,Legacy3,4,-18.54,-0.9447,30.40,10,30.00,false
0.15,Legacy3,5,-33.19,-1.5431,49.97,11,36.36,false
0.15,LowVolume5,0,10.21,2.0707,49.25,17,47.06,true
0.15,LowVolume5,1,-55.46,-3.0037,60.32,15,40.00,false
0.15,LowVolume5,2,394.90,6.2973,28.09,12,66.67,true
0.15,LowVolume5,3,279.62,7.5934,49.06,14,71.43,true
0.15,LowVolume5,4,-37.03,-2.3915,45.80,13,23.08,false
0.15,LowVolume5,5,-79.71,-4.7629,80.94,16,25.00,false
0.15,OldGuard4,0,155.69,5.5793,34.68,17,52.94,true
0.15,OldGuard4,1,-67.33,-6.4554,67.33,13,30.77,false
0.15,OldGuard4,2,-39.52,-0.9873,50.92,12,33.33,false
0.15,OldGuard4,3,35.04,2.7091,43.04,14,57.14,true
0.15,OldGuard4,4,2.51,1.3463,38.90,11,36.36,true
0.15,OldGuard4,5,-4.90,1.0406,56.39,14,35.71,false
0.2,Base5,0,278.66,6.3121,27.57,12,75.00,true
0.2,Base5,1,128.84,3.5223,56.65,11,63.64,true
0.2,Base5,2,76.83,3.7846,28.09,12,58.33,true
0.2,Base5,3,-17.33,1.2804,52.16,17,47.06,false
0.2,Base5,4,101.30,7.1148,9.24,9,66.67,true
0.2,Base5,5,63.41,4.2700,31.54,12,50.00,true
0.2,NoDOGE,0,278.66,6.3121,27.57,12,75.00,true
0.2,NoDOGE,1,-14.17,-0.5011,29.77,8,37.50,false
0.2,NoDOGE,2,91.54,3.7543,41.60,14,50.00,true
0.2,NoDOGE,3,120.24,5.1722,52.16,17,52.94,true
0.2,NoDOGE,4,101.30,7.1148,9.24,9,66.67,true
0.2,NoDOGE,5,4.19,1.4123,33.90,11,45.45,true
0.2,Legacy4,0,84.17,4.3972,38.88,15,53.33,true
0.2,Legacy4,1,-26.42,-1.6935,35.89,12,33.33,false
0.2,Legacy4,2,-16.10,-0.1039,42.72,12,50.00,false
0.2,Legacy4,3,-19.67,0.9624,60.53,15,53.33,false
0.2,Legacy4,4,-11.33,-0.0856,33.96,9,44.44,false
0.2,Legacy4,5,18.71,2.5081,35.74,10,60.00,true
0.2,Legacy5BNB,0,112.39,5.0951,38.88,16,56.25,true
0.2,Legacy5BNB,1,-45.24,-4.4665,51.85,12,33.33,false
0.2,Legacy5BNB,2,-29.57,-1.0301,42.72,12,50.00,false
0.2,Legacy5BNB,3,-2.19,1.8881,51.95,14,57.14,false
0.2,Legacy5BNB,4,45.05,4.6728,12.91,8,62.50,true
0.2,Legacy5BNB,5,-16.40,-0.8042,35.74,10,50.00,false
0.2,OldGuardNoBNB,0,33.10,3.1402,37.68,17,47.06,true
0.2,OldGuardNoBNB,1,-69.41,-8.4868,69.41,12,25.00,false
0.2,OldGuardNoBNB,2,-20.22,-0.3749,42.72,12,50.00,false
0.2,OldGuardNoBNB,3,-19.67,0.9624,60.53,15,53.33,false
0.2,OldGuardNoBNB,4,-9.68,0.0491,33.96,10,50.00,false
0.2,OldGuardNoBNB,5,126.21,6.2766,35.74,12,66.67,true
0.2,LargeCaps5,0,375.95,7.1444,24.72,13,76.92,true
0.2,LargeCaps5,1,-14.17,-0.5011,29.77,8,37.50,false
0.2,LargeCaps5,2,91.54,3.7543,41.60,14,50.00,true
0.2,LargeCaps5,3,-29.83,0.3773,52.16,16,43.75,false
0.2,LargeCaps5,4,67.09,5.9892,12.91,9,66.67,true
0.2,LargeCaps5,5,4.19,1.4123,33.90,11,45.45,true
0.2,Legacy3,0,46.06,3.2907,29.85,14,50.00,true
0.2,Legacy3,1,-28.31,-1.2792,56.76,13,30.77,false
0.2,Legacy3,2,-49.07,-2.5657,52.74,12,33.33,false
0.2,Legacy3,3,35.04,2.7091,43.04,14,57.14,true
0.2,Legacy3,4,-18.54,-0.9447,30.40,10,30.00,false
0.2,Legacy3,5,-31.21,-1.5095,49.97,11,45.45,false
0.2,LowVolume5,0,7.81,1.9713,49.25,17,47.06,true
0.2,LowVolume5,1,-28.54,-0.3184,52.82,14,42.86,false
0.2,LowVolume5,2,389.49,6.2604,28.09,12,66.67,true
0.2,LowVolume5,3,279.62,7.5934,49.06,14,71.43,true
0.2,LowVolume5,4,-48.52,-4.3608,48.52,13,15.38,false
0.2,LowVolume5,5,-79.71,-4.7629,80.94,16,25.00,false
0.2,OldGuard4,0,150.12,5.4944,34.68,17,52.94,true
