hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
31,Legacy4,5,1.05748982,5.7490,1.019492,6.4808,39,30.7692,true
31,Legacy4,6,1.04951836,4.9518,0.966177,5.5245,56,46.4286,true
31,Legacy5BNB,0,1.56955287,56.9553,2.865209,6.8028,47,55.3191,true
31,Legacy5BNB,1,1.27711299,27.7113,2.712339,4.5448,74,54.0541,true
31,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
31,Legacy5BNB,3,0.93195068,-6.8049,-0.396125,13.6142,37,54.0541,false
31,Legacy5BNB,4,0.98043663,-1.9563,0.027015,26.3902,57,45.6140,false
31,Legacy5BNB,5,1.05928733,5.9287,1.033940,6.0887,43,30.2326,true
31,Legacy5BNB,6,1.07571185,7.5712,1.368597,5.0630,68,48.5294,true
31,OldGuardNoBNB,0,1.41164834,41.1648,2.418823,7.8431,43,51.1628,true
31,OldGuardNoBNB,1,1.28332193,28.3322,2.810561,4.8377,66,57.5758,true
31,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
31,OldGuardNoBNB,3,1.05466391,5.4664,0.464539,12.6254,44,50.0000,true
31,OldGuardNoBNB,4,0.87833431,-12.1666,-0.546096,33.0764,61,39.3443,false
31,OldGuardNoBNB,5,1.04016318,4.0163,0.706176,6.8457,46,32.6087,true
31,OldGuardNoBNB,6,1.02436720,2.4367,0.472311,7.0152,62,45.1613,true
31,LargeCaps5,0,1.34400331,34.4003,2.153564,5.6809,53,49.0566,true
31,LargeCaps5,1,1.13040309,13.0403,1.162112,7.7868,80,47.5000,true
31,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
31,LargeCaps5,3,0.92638200,-7.3618,-0.547632,17.3388,38,52.6316,false
31,LargeCaps5,4,1.15759987,15.7600,0.910259,19.0614,54,53.7037,true
31,LargeCaps5,5,1.20049436,20.0494,2.165223,4.3658,46,43.4783,true
31,Legacy3,0,1.26119070,26.1191,2.223793,6.2433,33,48.4848,true
31,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
31,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
31,Legacy3,3,0.95872734,-4.1273,-0.315739,9.5233,26,53.8462,false
