step,vb_1,vb_2,vb_3,vb_5,vb_7,vb_10,vb_14,vb_21
1433,136340416448253562036780322242783564335490541663791410070188720204770854775489628059415793794902164479369273991143853430511661131914653130642517651582788839462629298606341029453536012544082512016807825671973773508608.000000,1044712894730258462537038326544255952658349521990843672867847210429706826749722569615422517052963518887212383955567138903472364911727555752034728439628724625298998164161028988509166075833215115255702630278171649963965805706915030463708218085343232.000000,1804169480827866796302962066536968886428525798830800091017442970568406839463043502477102993477842641917843295693593193639940862717672970874456507334747443959864341018238505628869838688458669050302038211865083889701381052121551731836070133760.000000,673352256690194529866556911494448473490919163521639693272880943466857961365111068300928214194077171747495265327418687303195327229102952064299566209192708452525968398652048256376190830143412752683547375049360980023224364200615403847680.000000,337318604138702247623806056617367108108497139575876064775372130782126136940653147044488959680872744680382325878591777234633759471764010273634255436062525189777156773024216051633169626720473540494268205450896919780474483105135113360048652288.000000,81391313116968479676230882453428051050935773506961819964717289207969113989840175427524891900189997196540974448193213010098973047607946279642119619055930076671598775733924884710219715226808253923421220196894031719013529822942382177545879552.000000,14886691576416775137897563109828997119235877574363903150958828036651833490835158860435509789822887945679091831851654610903665351800439635316831422098063183577932742038913117773112425342527711228730660962384481419761294107246440992965420152680087552.000000,159288753599702035393478828805370432893713749898295607525258530838315378261908303711068619519634258015375984456297381976147758225977147878454402862387696310322682637611204124708558118396085209426189585209861694247909251593797632.000000
1434,172531957936828888967152065838309120082285702134861287591798337504182335447187070845993247577389609590588020255758303865987684387170383102093016030593746463385965183257386308089269953130372988424957090482752652836864.000000,1852186132314100641347729989982200985642194191541610788343821578948017851683822855121484885219624788954873422587638841896145971826837127776456904094398170664187141128655162982226398157755802071679402220605266991440789111630509122359391509721120768.000000,3216946180172823167078555698337748015276842901110119113831906130412075968191863374956025869443977089936148721149895314142840877449050255288381345325872546391562541704647830881617677081067456335318078632777546961158270837260799439665463558144.000000,515717289057774109163448791166531728636565275682646513548532586066831441230163223170387785723111582528653589952429019726072153957764117302615749424699114888563536960614642890576409611515509190462477832738442426244219709903550678040576.000000,233103350988532454502329274537136664299024340531213879815783822243757086463868301433590465526288400163172573597928914833380701914372011999795274116309983540955328792469134662346217837259767879858640729644739769470131217638243441596252028928.000000,57452682789772333880508131703175025946533831479566445972268682322646476571067977895056373829883361029740939568383846872344614029189843915832182457448289622862451834864170860941588798270707435358471365529096521130796187128592450709440430080.000000,16124624316641510215347385532806836191401868249280492048124245776542579364459018892010876882619178464859018451491631558716232018329185017580123801398244367685135479759336961319732353111074638600046177665954293668432200761819557540740804874692722688.000000,122235138474203834377861607602131621443005661216958656282299209651178442065287070917194136149297415937412386971902027210881314443357709017515704156543676591616133841789592908498692379770373664265678106228200333168708095146196992.000000
1435,218330538258356600683095337131476364284591242529706794506511022682090417230191020758174381543172723441013445955742859753414190190725976838136243646403122284092475079704951265702716006066312303871707648916109528137728.000000,3283766751651357254366263133711615818802160553367348244712245512856396046108893243835016291553397438494453590453380462794612390665927844086209823789137381349992200069044453709964926031573306279056638638332998866086741701986360422135402711056646144.000000,5736014734812974136201834536111644120921997271033947668607876714042107813236849207439309037659414119906011951704710860858266622514221350691430290622806057975335857659364641635612673631156806115294175236086861578619792842442378805589399568384.000000,394985417499637797703648176515218057837169502450737089231802867275176843766426665734811538873451149272594187451692007025005012559807359530878495400387173438563883709521279960937741843264719120045518531373087056841808663795321687506944.000000,161085607420988910087240533943828706897046975517765405117296638658508718622174372290951722960028872185351138809720974798538735311596456548946309657759676058588054246010792614385930826780269487386677810518704009164674872992639499148181110784.000000,40554828682989371317020697904252925561966204336546759065960567835123862977774405543749317228384405819717677865011724711027722222166203874906271232738111650623490792291999500391676390937365944181842138276719021028949711518078708340297302016.000000,17465499840456122261073901532179638475250085385715293574746194549952355718671178202514323889195249735734618963677659108735328420333231073864486961479625474690071453356078581792547734042763462655028221031338809479915678641696836974395832071543062528.000000,128609283414676737672152760202894817975999963909482662481982287939695815208776907490597350079039256526753137305316587940120543724456128612891085866016196228910450814706646227955139289412234164984536328260444301609045944636014592.000000
1436,276286344316784660441732518214221818774413432552350911093749980317257276882093323164089474045447792134436179357080234862504901509443372345982958996658775647299856000121694616693198408253150706807924594952853562327040.000000,5821836094722614029535189397828368149550120627351233757641710045283497707891257779020216464705211136658984511149214064823229258559262520652571696345242630920141638362134717357102995784081863013106214757557142443500513686142682313244140569804931072.000000,10227670341759953205239494556631260012125709425762024798506059234283081984581414424170939141898716399052754302915021538348405537225185363167105620028853839468838236520435575588246366413755338993650336913280478444523034893558015426419625033728.000000,302517451610751615968665602151995694131119847807954448289056401367500213229987123422408707272696719164200169051651739984020304371624968301009865122873441877293852370241267600371711498095044405310334126572678094651452835070133881798656.000000,111317888859802365852111213591384994084126345204872256146061665437606647067363731312492894560397645771561545392014392646411820728405545872385831317768619733821239255428254186008770901885390247121119549689013099786502225286077049100031754240.000000,28626933498036825955535669561203531216820541358676789919173705105150211569943727302633607724615795838325201779752131030754781716047064054824053419788104905261689848203214716506557369436507708439072054475277336244842022882668981844686405632.000000,18917878561806291450019958036371879538686379836911924045235872826272091826613650418408091840945156467542938332935759540501588265747242294269438136449362813952533445601579764162665464656278538367673767199877931061529486721617033569507419381980725248.000000,135315818240982090059513793510215211804701493266689992331001968415045520830152561086812177730588805446442019061160400455738982263358178639972270515616862636114548018570379619071107196316929876403382022173106445727751819734548480.000000
1437,349626509717136185685761285492844567324766489188505502743558724622268014930413426894170482570430413713817324674095717503116689200098676789543938308237583537580479354309984285599771643536089877928229716056410895155200.000000,10321614803113036125306727984775276084033159694300253655077116357253399407215860184079390821489530713373693072151160952203682410223427697930477022384220423740380437263007368989059526140918771572295974924499530872022148512633200844093315492194811904.000000,18236571113537572694698750587182574915173795141281569884728483827684721211826592685771739925511593384594171687050400962462134485274060351247819711472490505492741349523327980549693256284493882006092480061991238815464270689082160665475843883008.000000,231696676571983492055776413401839172541818806751846244753654206004822816086205909024835206243102415341355335555335051244639585919921511614421137022201306601915678999506199329126733267252205331781369881103215694802583462510009880936448.000000,81966376606353443977700303365546033821503526391819119834790323791140276518910334228127619550203708792385323550755803918895910670962540851658449024882168780085270236735743900706530793394978746492330810250087621361491269518017264145745838080.000000,20689451167847638088496091924906403244854713394576028015979457582796119667026621252354648278399846598300933349302079748592740632531246221959335907123878144827803186691260529442821170595635141985516683679086435606837256041044381684782333952.000000,20491032753054243548582779212582885080569431781896229311705383555885863279009377441780405996700539913574479583924238496460608822111557680267149154361981364875420534871454576614578605158613958453872203172966984224116346488137725301047460405643837440.000000,141516722686862011520445809728020286537760127994543756489243051252013970986776226936166267509786843790608015310092490588010308116836161986134195411330274278921992139939368076979146482157224855876566644192239513525459084459900928.000000
1438,442434810157791127039210768983984210990109730304117564428608369245541809728939632505633412525833744822434032129827299559761857472951499045765184087507310410745864646868623563833459644692366481702643777889143149821952.000000,18299335537875212400937482208514567988395227878271711966843125425436738397804527273867865583222107332628303548964862852286085161781520400848783259840549580265521074660025925886778924772029678297056463158634267300055500764812145957414782970953203712.000000,32516938351171445194500068963141963624311283087700685103335512666775178972325347473683654638906241259309715693327431923974292773128647977050006853536790618440310123743069855500475758304370848739984611288382441277198082897705487810585945964544.000000,177455381990909204610591324367393594213955105323947847589941108326097320948816340818555917698719330056346560414524425600715883572327544096919782020369037946621171506910323361828346028485068379660466170172251485389026924226407007518720.000000,47162776932455239780080751423745352578048071062898260370254934025178562971059226149142944134035405977116311758114836355924411446363230311995272226614921643046706866301820166353613047420117591825024652245777660535925163026786191795011190784.000000,15210833412485836997438751438500188109343081930023147850398218263237432575992143974054374211305834398508981689768267190739511827711364494470747151117139646251704646291898163991138893762571291748355771673595031102558662731881413524393558016.000000,22195005740995258604585326496973094411823136829436144159630021835848691405065733346949002442357562446318793051196061249797664097832529573183943534472721778132959938681099994679265795624343277974438116024249568065301047710023390183962024336741629952.000000,148001786194459724885722725855819437688801597786893390697900145247292787970032473586369764156515318890951054435999483649931141156076552182796923557797110974167749043663120818708568867968216528585027395438990281700246520783175680.000000
1439,559879058935577259511152827602684115836918603697491896690562781720909414100079529993193851313866213114504794968692494025351912367443436317509613944333987898168567932839908399936407041756183848609828253047901732732928.000000,32443148433203101421298756534572020229402625042806100147084695676296907611037233273334490637126630181233451566585760072654753723343621995190336741379071778133543098818743084564214924617474505769118108641657638259963621225169960375014599729916936192.000000,57979719605785964151288365232411171671200297802511600816483176200819275359941940211013329487824414545630143387223328378061964467040226137231681623127694817065151209005372342466983447517193380865355935081239199083791187408776731813102070267904.000000,135912232594135052523049079917132130250587658283086459077814642979536051659222600496335190933789087756437403207273680856700951483077510420432562835755976050033572446405960848225688176003759979558993555921936496048046759851628488032256.000000,27137072786112620274400808474512118346849237645234704695408707378184692049789134674265717981403615263189878451723851768635816763618158563200429723822126051335196998047119466065889464991773197786740555345721714880599268299508402171037089792.000000,11182967166473432768723570975523813258879748871806814091766987201064859026045518825069272266086153674893670124777513808646911771015165978031875515292655262715375223631540298106645959661219383918940338677456543099674322882548380298706419712.000000,21761702447050768099584035421899863897806185166750529895936399671264732079605167473472349495512716941994562590332684850591483792499452965369905328052993350808187338615158591195133007097370411786952362104196457336607254602197089463816904780743180288.000000,154784030472634169206947977861226065295914100822646341312490233918019042885387407019539374322561024364173664288066860057474332933413687397878387472993120755682546321681702824353352274464933841306641809163610485880236927860342784.000000
1440,708498864550899007285638175454258095306318065220914337726083166371300433492722034118718462393418880742512977627399313725193075839724977009521588095727670975969158403502803402231432294261361604405566857742663553122304.000000,57518912535392765661506701023328166994732852361012217312601029844188959555980721026978198213795434324321907483327266991069788915584791325768146821370657668958366048484506593033079117654008818362569131018184589210282898787878747609135886074898284544.000000,103381439213647732806575556769321261373038940410977927702045751549752357885941701995835830439752480497273676602246958172166587961034276790608935124706779861787697757376556751926573456387180625265680280965499799304092393248759667698130581716992.000000,104094532166224019947145086948913250603737270975111826088529885385440067446449314635780560790159282073948076897828459352421404733403785108098248562269861624270977997038051365149835716588016394914698141388089164838631203169841048453120.000000,15614447818741637587124671218108071758078641677853550340566899689100290085098992462129540600391061540570990593198219902310987508782716689149081941877050330915506030760501145996051598587134794998353195944674985043296935467151115178022535168.000000,8221689847958504471784925134292675626633563900806695636489907755766352929753954736332414392744536285318236543568221617012150053341989708313429366715419692429282630684773661741413459618897927270140316036494609544249065306902247866714030080.000000,17327703430549584178768866026640726372927398026251282505333516988039003245467338413995668285636952086095104535196204927570711012275425005285820336726791804113627124963738281025867123101376530234071008897320017487894316587669511667051500346317733888.000000,161877073955545196196060004029517156273256358543523160025584287863825102456522531246315964861775340884786471917951152128959808760875244710784366970810033135875584043906242118918035959074660843054285515117398975460554010980777984.000000
1441,896569773522593240325715296973521088830591815968954481587828495984708917713342701679536381354182577342608852707332165324512570940312493892918354225857621388656999991518888441347144788743906848370423073482906961707008.000000,101976086139292231944968943588095474197029021268572222735704580030885061535582712130469846369849264363819420119664117946804418564299486341286630850045764341383296868754779511409592538862098567655768631641790718617613471067379002927022855193010110464.000000,184335523637451019746204360981382315039381754753866209304353134382403768263672771986554404161652218262095499614939032011262920697791497801091289298241580363583907389550640989660137242456026423141393400341942042028433529584922258913969506877440.000000,79725506822206608491275478291690001062130489001526428876712593406311681348567420720252172164214230747609489566514212150720006653141987683070700311552006245694583890437471979470654775715145337335079063124144969313957743667214184087552.000000,11608866640505853825804882732706488061351562636227311568106935389474021170297145155920121778562373807870832351558092377425224625407767131634026076753529547908794833099543592388807849480428787543421136014423152140014887288484237580911509504.000000,6044566075332626805672943128117425735285770803002830012480613352403534965258731244685546129827053208443674953447782030813161627006174563215211617521000155214995511438258709047452476205812404840786301683659780884232077776472601522195136512.000000,13797142337904301982081403997630384015578295878066545872734390535158056623384283725505733909025196115628410466054701514681374258841808341355043661999982169087235656900711470906219258658614126528783467559044199312852497835332772093376898451569115136.000000,169295159147842135397683848104327389223761892298785337679369073394777374026098322256905574897002757340261898779936899551182043113721906807548642545075566400073954188154962459380540701293398415965061590739248584951236646934675456.000000
1442,1049752275192209478334276340161054003836792330923953879782584055215537414922219240994235436908654282632439725557587026076938541376542254661236841592406324964881454755695760795707441197893707126333257578038779801763840.000000,180794832271724879903209815312893763382864229202287650016655932376864332835651998775872590697100512224825650912995285102607140956125295296492168133314927887171495259588987554047626204762329245314739153296493070298449524223393681958905837976530452480.000000,427471965675924185640265126237165851017108272662559492553420482926416928841948724122331624240717092682582132473094657752176594990768797426614245694597846919441882710091180655958332185950832842695060446150204281155653165624802603125883447279616.000000,61061386278271024899449719830419897998575281374384854523957803261240123031713080448039815755030122687450206934850350280532514600869583175893537355994893150083597725269561307918281721910405997103202481307439378609158187348267735449600.000000,8779765417431154409996898704581146369259361593087702462687968129072972940724082192095346403859287117027557384367112072872800964306681008667768487932364169527664608961105886719856186345491769468884017344489389226404576940442429513139224576.000000,4443950053422944472438356564645700658132694579243394167967720713312709198219521122314569977505670067134524832694298489535517110984027433472074372125856541700447893251353079430100423554314009558700885825041534000204574551996181731554099200.000000,10985941527414155645897394549456591130497340140165869498754156451546044896474733250869158756194698159064680856200612613574528753872983991466800361699321567234345390375126909690239894085064947339994131887439711337537551188725321813863371629337247744.000000,177053181222957239860507492006272450675641442120968259787501987111940479746972573098990663337405061188026471956070123196143272725779807613041197743539272249419491741589814304152487674343687209039876189624638808673956639335776256.000000
1443,1229106614805424137683633891030502950570580220462452532375302947027464020705483676097011948757624889793793867168282544527923259631049967115970248557783999353910522479257812015705189005142928138463842062829300666597376.000000,320533691904132092893608484185540949877010877558679340680637287586095443108650269682767282399785039179334421882139518415187629064767168072438540109067820384861712406387508335493673192009064716362363930746116197777208738818686689976084192519073562624.000000,935895222040203670369417653577400921307387849076172621453656802046240492328274232522933845507296993840490864543174789916348981938335501036210715381491697202616928739488143584976684795506322231852316036269256335340728033548155768334467414884352.000000,46766625172280457333213037654860018036703579451868069969181347362947147432477415659803269214722852080281094524364614608240108154963696451836855831883141222679884879820957115548647907122085911476135858798399877169546342485843461013504.000000,6640121139488008604913818937640032327531050091293752652366836227876803547149139701483515427203931220617104571139729421927118926189172189191656879228008706622995285315134711295733618682945117797079331543616892914078403825082925140037074944.000000,3267181106334591023780850870338721829130324543692944540933278954475006552048206641041417983329917815085082781266838211743177901996585069599236354502583020479193676841163197139372259696874019568308258923180817067199591898869421273662881792.000000,9566723838571734213173738112271509231062354936553891111868396416651637511846841284847591719530385835665445515398298741598738867193054771788231275398283205992649031290438110640188412252587029609905889856495595809103842934058301462984867232857718784.000000,185166717931927969120424233000820145915906973851272544332514997293414882892112306639185049706648115130857654562392069502460950867259601658621922085513288783167605339554112249814464429692222493478707179203435878403954176740556800.000000
1444,1439104354674382152266527906964148161106361095102850967579624272931009457670722828357394519795999197576121475461788161154036637993675138990524442444354460581119641583222359352180605104496272844139514417818785401536512.000000,568278674532453637088406240958822052998053393389409639259237938710379186525025209991009508745326662657538136509229074473021136834709182768037553465574205404241587273454951078495630270414602529021355901858957830224655416981873873974381760023009165312.000000,2049022946458483841670042577753189227405540605958030846587545614494597879309731650778739152573880071649127596751319868548879161050163644646926374319767323203180602153575958985325364738112234250107833949066606757149397480297984476449288054898688.000000,35818335666952777993323965318746542347367966799562584475349142795698850300978113314479662781659210657036483603162431886470661720618922391992024347840135435332377117506243343864842471579681966026527042514415246575592109369661004447744.000000,5021911936227567687385048875013606500195750233327480429802134754595238879937783735873961994803980779748881704279486773289831807293420058804526554891453706499309144326320900999178951286216757161969674569110192653500866466455075321276268544.000000,2402023482097358406541548357046015335253608485406845604198968526081902372053281756713651315690062812112128002722177970207262545256410438606211003030697675804699984610148153569181422890008844941542070073631013377554409010143432182889185280.000000,8330847636055001571839504631704568328473038698493103574679109047161018084927746174865720624818271012666637994596395015665859133666936033820605564918948874464517630569935024210152507870481273474660008124532606858787851304567642852075168296092041216.000000,193652060882803586056465434291436381048788460081553884200220939064430351188501665611929132547781873867353905332423007767245439709800600493105659029518502941894837948055679319480983874735496591135051856984567457056410576168681472.000000
1445,1684981041266812173064501675541975364055632720094337503318610730455870037608515969680698567403418893416235198607922902539852816017762215330660877568300781504069657067072607126077019999578562363609080418711491112337408.000000,1310331465554835570527288950773373882021839837515235342444314552839111987011842121747599330397942839617032462644534106871117819528696489319251907337424947509460542494021976287096148064251602086810322055193602607239033150707575668799143655638627778560.000000,4486073799971863223374055327164401120329541513422968766603427626801398816126276706137627107766796927661297216309533995541280697764052250527919574960598279713267704895261510078816231650216957084492148212310966082267170694368097010892811349786624.000000,27433092835420893811394969770692725935272131338009993863332979063725413021042422373935841482819042055482243924920480028691505748764390124746508454879190678825884191075069724694319183789093720758458485686395449754503989054885309972480.000000,3798063162620176772951861907730099489345694809064335038743968459853547471801420384304944064134219826028227624203430457032713293710229367735740717635606333632757492440401513382211748537714579208999373569202261048876399597189461585870979072.000000,1765961732993764339446361364289737677650849090049475103174896577527592149727786191113853439773970316406348673439629592314133795415300140606772004869830335804214505939977402609447204476144928290893460707878534153896495992897153136548904960.000000,7254627969435015544609117366187281687409607059790597569007195442763822693029036253182339222533381535041412392917258193360788223066516721042929760881812190408274162555388751114466911599410056077223460251568944694107465376711201032687386856028897280.000000,202526248253443920811304967548443955345111413464358063015082241698407836559440709796922225804976914916586998086327283986663870648253192288868216673025612888456281234098499257846247424854597512057680302356096800253035145706078208.000000
1446,1972866734929025374841334133233561875956956097850086761469092978925522590524694965787896881631912945701886635907748217624532132823421568839774224952756110275424654049285041441369827720295144395789472551441101366493184.000000,2852475821325136667740655946588658977261824086568622223832707747898781232921123229798647451702303666042776445591043624167462863503746389536022932317745934801348571109366924198963879544837406661754705686202520826920776191290908044105136655974365396992.000000,9821685098050096534152440791884302286636571271464854144870306983527929737358730656074146936545678752299849300831862139893269127503370527853573668009503116506920600114279044502548432496519620233346630847349432919280979870614631529610021059952640.000000,21010875254351148039098982094465231864177730386140104659923104851520983400014641442667578448811703786248060328932865595721384661378556561117917649230683346483892729938103364737893959048504924079495857925376480626833952616032766001152.000000,2872468488184715284706080375281584915371653166298131147666889434692230993548808247831120553105847895470500198088836064919054394208901815869521671711091196292882462309976337173422466453346135129664255255481923328645131916412154534229442560.000000,1298330705607954620089994111748707274785383850410001373486489869505954583872860076537785500354464495040736625299356724110969821517792244352596827163790056299656421684054519084907149325811123371962975798807995456819123105493120151640342528.000000,6317439626087208198831461094730752235319481268432133488507419546599711460528584932540590577268392242367269317413068190361879215505461747545875694496098675688730774243665067113629297779050967145581934652328788278733918350051327193320236264877719552.000000,211807099003395743873874112901409329910072022609709119831675400594784042217339218503589997428502971476715504221965263278416687879781974353452015417386728053371141003396131092802456353428400775896554086977640802205764569488424960.000000
1447,2309938841129782036264950977655415904016266952937916576670311961560182088578181121890063641326056212918600136135963342172643931623496532205205464040832787025415713593820890711723352370320051019361769396573804123127808.000000,6209587821963210295965264651258090912296519061700234300133707481453203520824080051833254621884425274607036688298969919423439536209740802853559699399575909476608138392470464449674574140742455056224996971486084847637196442919281311298155345155853385728.000000,21503323945732762392032082504042689450665132724854209839142086295165414327974039205254578046506315475974571375392927538807082062972754056809019191570948389325166871546445321794569990125073413479083754133218373984067446681569275870777935252160512.000000,16092129370987577216865941102884636286227949771511377440949719883329307781762308002038876710849703358960853776575193095474837956264762338408330825884447548598999875923907352642715154837251548281411475317988919688134064737339769356288.000000,2172442864252420731396621459194694046355206692384625914934709715740243701838480270695103009347346413650173064010606415072231257360092974969054877313886825096809294892559173397363682407796891643619403950616122833077507892838310451542491136.000000,954529528942177439802011150850873963800710420428699756160589291718942809427371733842746214201767134816830522372178118214145664518527378255050204321773286267091469833830342497883087181468573477989756153293770535783176726086791923698237440.000000,5501321859288264713971161979681839606200526890680640692299161748773729932567335246426664064254288671932715441637133490771917621052767836886084749989295903292135870339287107213973998231205894056384435156267580916889164157790242054112637656762417152.000000,221513248653542923887323121370465049594131074271402355029646800855006260093037240626775706005326510365374472110689678707271663554987993763428220034502675312399399560738467394984611808972169158151542800827115477930382724077453312.000000
