universe,window,bar,equity
Base5,0,70,2.910275962659211
Base5,0,71,2.910275962659211
Base5,0,72,2.910275962659211
Base5,0,73,2.910275962659211
Base5,0,74,2.910275962659211
Base5,0,75,2.910275962659211
Base5,0,76,2.910275962659211
Base5,0,77,3.5699674725625625
Base5,0,78,3.5699674725625625
Base5,0,79,3.5699674725625625
Base5,0,80,3.5699674725625625
Base5,0,81,3.5699674725625625
Base5,0,82,3.5699674725625625
Base5,0,83,3.5699674725625625
Base5,0,84,3.5699674725625625
Base5,0,85,3.5699674725625625
Base5,0,86,3.5699674725625625
Base5,0,87,3.84115016205825
Base5,0,88,3.84115016205825
Base5,0,89,4.5231181959484426
Base5,0,90,4.5231181959484426
Base5,0,91,4.5231181959484426
Base5,0,92,4.5231181959484426
Base5,0,93,4.5231181959484426
Base5,0,94,4.5231181959484426
Base5,0,95,4.3297423693927035
Base5,0,96,4.3297423693927035
Base5,0,97,4.3297423693927035
Base5,0,98,4.3297423693927035
Base5,0,99,4.3297423693927035
Base5,0,100,4.3297423693927035
Base5,0,101,4.3297423693927035
Base5,0,102,5.206424270152569
Base5,0,103,5.206424270152569
Base5,0,104,5.206424270152569
Base5,0,105,5.206424270152569
Base5,0,106,5.206424270152569
Base5,0,107,5.206424270152569
Base5,1,0,1
Base5,1,1,1
Base5,1,2,1
Base5,1,3,1
Base5,1,4,1
Base5,1,5,1
Base5,1,6,1
Base5,1,7,1
Base5,1,8,1
Base5,1,9,1
Base5,1,10,1
Base5,1,11,1
Base5,1,12,1
Base5,1,13,1
Base5,1,14,1
Base5,1,15,1
Base5,1,16,1
Base5,1,17,1
Base5,1,18,1
Base5,1,19,1
Base5,1,20,1
Base5,1,21,1
Base5,1,22,1
Base5,1,23,1
Base5,1,24,1
Base5,1,25,1
Base5,1,26,1
Base5,1,27,1
Base5,1,28,1
Base5,1,29,1
Base5,1,30,1
Base5,1,31,1
Base5,1,32,1
Base5,1,33,0.9483917985809005
Base5,1,34,0.9483917985809005
Base5,1,35,0.9483917985809005
Base5,1,36,0.9483917985809005
Base5,1,37,0.9483917985809005
Base5,1,38,0.9483917985809005
Base5,1,39,0.9483917985809005
Base5,1,40,0.9483917985809005
Base5,1,41,0.9483917985809005
Base5,1,42,0.9483917985809005
Base5,1,43,0.9483917985809005
Base5,1,44,0.9483917985809005
Base5,1,45,0.9483917985809005
Base5,1,46,0.9483917985809005
Base5,1,47,0.9483917985809005
Base5,1,48,0.9483917985809005
Base5,1,49,0.9483917985809005
Base5,1,50,0.9483917985809005
Base5,1,51,0.9483917985809005
Base5,1,52,0.9483917985809005
Base5,1,53,0.9483917985809005
Base5,1,54,0.9483917985809005
Base5,1,55,0.9483917985809005
Base5,1,56,0.9483917985809005
Base5,1,57,0.9483917985809005
Base5,1,58,0.9483917985809005
Base5,1,59,0.9483917985809005
Base5,1,60,0.9483917985809005
Base5,1,61,0.9483917985809005
Base5,1,62,0.9483917985809005
Base5,1,63,0.9483917985809005
Base5,1,64,0.9483917985809005
Base5,1,65,0.9483917985809005
Base5,1,66,0.9483917985809005
