atr_period,universe,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate,universe_pass
20,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,38.5,false
21,Base5,0,13,0.0,0.000,-105.5,105.5,3,42.3,false
21,NoDOGE,0,13,0.0,0.000,-105.5,105.6,4,38.6,false
21,Legacy4,0,13,0.0,0.000,-100.3,100.3,4,41.9,false
21,Legacy5BNB,0,13,0.0,0.000,-100.4,100.4,4,41.9,false
21,OldGuardNoBNB,0,13,0.0,0.000,-100.3,100.4,5,46.3,false
21,LargeCaps5,0,13,0.0,0.000,-105.3,105.4,4,37.2,false
21,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
21,LowVolume5,0,13,0.0,0.000,-104.4,104.8,3,36.9,false
21,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,38.5,false
22,Base5,0,13,0.0,0.000,-102.6,102.7,4,53.4,false
22,NoDOGE,0,13,0.0,0.000,-102.7,102.7,4,49.7,false
22,Legacy4,0,13,0.0,0.000,-100.3,100.3,4,43.6,false
22,Legacy5BNB,0,13,0.0,0.000,-100.4,100.4,4,43.6,false
22,OldGuardNoBNB,0,13,0.0,0.000,-100.3,100.3,5,48.0,false
22,LargeCaps5,0,13,0.0,0.000,-102.5,102.5,4,48.3,false
22,Legacy3,0,13,0.0,0.000,-103.1,103.2,3,25.7,false
22,LowVolume5,0,13,0.0,0.000,-101.5,101.9,4,48.6,false
22,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,38.5,false
24,Base5,0,13,0.0,0.000,-102.7,102.7,4,53.4,false
24,NoDOGE,0,13,0.0,0.000,-102.7,102.7,5,49.7,false
24,Legacy4,0,13,0.0,0.000,-100.4,100.4,5,43.6,false
24,Legacy5BNB,0,13,0.0,0.000,-101.2,101.3,4,43.6,false
24,OldGuardNoBNB,0,13,0.0,0.000,-100.4,100.4,5,48.0,false
24,LargeCaps5,0,13,0.0,0.000,-103.3,103.4,4,48.3,false
24,Legacy3,0,13,0.0,0.000,-104.7,104.8,3,20.1,false
24,LowVolume5,0,13,0.0,0.000,-101.4,101.8,4,48.6,false
24,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,38.5,false
28,Base5,0,13,0.0,0.000,-104.0,104.0,4,42.3,false
28,NoDOGE,0,13,0.0,0.000,-104.0,104.0,4,38.6,false
28,Legacy4,0,13,0.0,0.000,-101.9,101.9,4,38.0,false
28,Legacy5BNB,0,13,0.0,0.000,-102.8,102.8,4,38.0,false
28,OldGuardNoBNB,0,13,0.0,0.000,-101.9,101.9,5,42.4,false
28,LargeCaps5,0,13,0.0,0.000,-104.7,104.7,4,37.2,false
28,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
28,LowVolume5,0,13,0.0,0.000,-104.3,104.6,3,28.6,false
