atr_period,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
14,NoDOGE,1,414.9531,28.7291,15.7209,52,53.85,true
14,NoDOGE,2,538317.0385,9.4341,17.6030,76,76.32,true
14,NoDOGE,3,3754310.4694,10.0225,35.6043,118,66.10,true
14,NoDOGE,4,4300.5876,27.6358,21.1238,75,66.67,true
14,NoDOGE,5,215.0516,48.6332,23.1647,55,41.82,true
14,NoDOGE,6,1107.4263,45.0034,23.8547,74,52.70,true
14,Legacy4,0,33895.7500,13.1589,21.2203,88,73.86,true
14,Legacy4,1,1715.1299,18.4749,22.9280,72,58.33,true
14,Legacy4,2,197484.2886,9.2197,17.6030,76,76.32,true
14,Legacy4,3,451896.4452,12.5211,33.8207,99,69.70,true
14,Legacy4,4,1801.1553,33.9465,11.4933,53,71.70,true
14,Legacy4,5,74.6292,64.9251,34.8435,46,41.30,true
14,Legacy4,6,1525.9263,31.8759,22.8737,72,59.72,true
14,Legacy5BNB,0,88969.5334,12.6822,34.3703,104,73.08,true
14,Legacy5BNB,1,771.7443,21.0148,28.7384,65,60.00,true
14,Legacy5BNB,2,135904.8485,9.2287,17.6030,76,75.00,true
14,Legacy5BNB,3,7081505.0480,10.7040,33.8207,99,70.71,true
14,Legacy5BNB,4,3417.2547,27.6240,16.2011,56,73.21,true
14,Legacy5BNB,5,256.6160,38.0969,22.8270,47,48.94,true
14,Legacy5BNB,6,1454.0538,32.3885,26.2830,73,58.90,true
14,OldGuardNoBNB,0,91669.9361,9.8961,22.5037,98,72.45,true
14,OldGuardNoBNB,1,587.5472,21.3648,40.3895,67,55.22,true
14,OldGuardNoBNB,2,197484.2886,9.2197,17.6030,76,76.32,true
14,OldGuardNoBNB,3,451896.4452,12.5211,33.8207,99,69.70,true
14,OldGuardNoBNB,4,1783.5845,34.2973,11.4933,54,70.37,true
14,OldGuardNoBNB,5,1623.0994,30.6119,34.8435,55,45.45,true
14,OldGuardNoBNB,6,2053.4696,30.3984,24.3108,79,59.49,true
14,LargeCaps5,0,28906984.1057,11.4806,27.2580,96,70.83,true
14,LargeCaps5,1,417.0419,28.7786,15.3790,53,54.72,true
14,LargeCaps5,2,558862.5023,9.3580,17.6030,77,76.62,true
14,LargeCaps5,3,8035984.6341,11.8698,35.6043,113,65.49,true
14,LargeCaps5,4,5274.2178,26.4308,21.4590,74,67.57,true
14,LargeCaps5,5,199.0888,47.9917,27.0577,56,41.07,true
14,LargeCaps5,6,1107.4263,45.0034,23.8547,74,52.70,true
14,Legacy3,0,43402.5466,12.9261,16.7298,87,77.01,true
14,Legacy3,1,2232.9397,19.7455,19.6146,74,62.16,true
14,Legacy3,2,392802.3278,8.8323,15.5567,75,74.67,true
14,Legacy3,3,314130.1422,12.1654,31.2845,86,74.42,true
14,Legacy3,4,372.3111,49.3921,27.1769,48,62.50,true
14,Legacy3,5,-8.4148,118.5713,51.2229,49,36.73,true
14,Legacy3,6,1302.1290,37.5031,23.0722,75,57.33,true
14,LowVolume5,0,74286.0994,12.6984,19.3629,96,73.96,true
14,LowVolume5,1,1758.0115,26.1023,26.2336,76,57.89,true
14,LowVolume5,2,1288751.4216,7.7162,25.9518,89,64.04,true
14,LowVolume5,3,1570526778.1954,7.5138,31.4542,107,68.22,true
14,LowVolume5,4,459.4943,42.2387,29.4624,51,52.94,true
14,LowVolume5,5,662.1569,28.3841,62.0754,79,44.30,true
14,LowVolume5,6,502.7514,40.2301,20.2099,80,57.50,true
14,OldGuard4,0,285859.9396,9.6023,19.3629,102,76.47,true
14,OldGuard4,1,1107.4246,24.6382,34.2984,77,58.44,true
14,OldGuard4,2,334377.4710,8.7658,21.0022,78,73.08,true
14,OldGuard4,3,314130.1422,12.1654,31.2845,86,74.42,true
14,OldGuard4,4,973.4718,31.0702,31.0976,54,62.96,true
14,OldGuard4,5,581.8054,34.7888,58.3017,63,38.10,true
14,OldGuard4,6,1663.2500,39.3969,29.1829,92,56.52,true
16,Base5,0,16371438.7153,11.3364,22.5037,86,69.77,true
16,Base5,1,5951.1642,19.6245,32.7921,56,62.50,true
16,Base5,2,256027.1176,7.8239,21.2392,77,74.03,true
16,Base5,3,1338102.0116,12.4086,26.9612,116,66.38,true
16,Base5,4,4369.8502,27.9558,21.1238,76,67.11,true
16,Base5,5,1238.9675,18.8101,27.8529,64,46.88,true
16,Base5,6,12880.0239,13.5326,31.9175,83,54.22,true
16,NoDOGE,0,16371438.7153,11.3364,22.5037,86,69.77,true
16,NoDOGE,1,414.9531,28.7291,15.7209,52,53.85,true
16,NoDOGE,2,1040685.8247,7.6101,17.6030,76,76.32,true
16,NoDOGE,3,5459478.9502,10.0069,26.9612,118,67.80,true
16,NoDOGE,4,4777.4462,27.5104,21.1238,75,68.00,true
16,NoDOGE,5,237.2541,46.2298,23.1647,55,43.64,true
16,NoDOGE,6,979.5750,46.4720,31.9175,74,52.70,true
16,Legacy4,0,29382.4542,13.3491,21.2203,88,71.59,true
16,Legacy4,1,1733.5950,18.4530,22.9280,72,58.33,true
16,Legacy4,2,392821.6374,7.4705,17.6030,76,77.63,true
16,Legacy4,3,596042.9592,12.4003,15.7923,99,70.71,true
16,Legacy4,4,1945.0414,33.3036,13.1824,53,71.70,true
16,Legacy4,5,57.9814,70.3089,37.9039,46,39.13,true
16,Legacy4,6,1353.7610,32.8823,31.0404,72,59.72,true
16,Legacy5BNB,0,77144.6098,12.7986,34.3703,104,71.15,true
16,Legacy5BNB,1,780.6125,20.9888,28.0135,65,60.00,true
16,Legacy5BNB,2,270363.0421,7.4752,17.8090,76,76.32,true
16,Legacy5BNB,3,9339904.8473,10.6975,25.5565,99,71.72,true
16,Legacy5BNB,4,3948.9990,27.1839,16.2011,56,75.00,true
16,Legacy5BNB,5,238.9897,38.6768,26.6414,47,48.94,true
16,Legacy5BNB,6,1289.4990,33.4822,34.0887,73,58.90,true
16,OldGuardNoBNB,0,93110.2374,9.9087,22.5037,98,71.43,true
16,OldGuardNoBNB,1,752.6104,21.0349,28.0135,67,56.72,true
16,OldGuardNoBNB,2,392821.6374,7.4705,17.6030,76,77.63,true
16,OldGuardNoBNB,3,596042.9592,12.4003,15.7923,99,70.71,true
16,OldGuardNoBNB,4,1926.1408,33.6859,13.1824,54,70.37,true
16,OldGuardNoBNB,5,1537.9326,31.0673,34.8435,55,45.45,true
16,OldGuardNoBNB,6,1825.4441,31.1173,31.2291,79,59.49,true
16,LargeCaps5,0,27414668.5828,11.5230,27.2580,96,69.79,true
16,LargeCaps5,1,417.0419,28.7786,15.3790,53,54.72,true
16,LargeCaps5,2,1080401.1866,7.5529,17.6030,77,76.62,true
16,LargeCaps5,3,11685792.8634,11.8630,26.9612,113,67.26,true
16,LargeCaps5,4,5856.5814,26.3502,21.4590,74,68.92,true
16,LargeCaps5,5,220.1663,45.6107,27.0577,56,42.86,true
16,LargeCaps5,6,979.5750,46.4720,31.9175,74,52.70,true
16,Legacy3,0,36107.4529,13.2188,20.0840,87,74.71,true
16,Legacy3,1,2256.6725,19.7295,19.6146,74,62.16,true
16,Legacy3,2,781236.5480,7.2862,17.7442,75,76.00,true
16,Legacy3,3,414341.5047,11.9062,13.6456,86,75.58,true
16,Legacy3,4,408.0573,46.5498,29.4580,48,62.50,true
16,Legacy3,5,-14.7657,107.4922,53.6338,49,34.69,true
16,Legacy3,6,1414.5908,36.4017,21.2524,75,57.33,true
16,LowVolume5,0,83510.3905,12.6786,19.3629,96,75.00,true
16,LowVolume5,1,2427.3878,25.5729,16.6411,76,60.53,true
16,LowVolume5,2,1501156.9656,6.3854,23.8407,89,66.29,true
16,LowVolume5,3,2373117304.0943,7.5123,20.9500,107,70.09,true
16,LowVolume5,4,506.8218,42.0889,30.6785,51,52.94,true
16,LowVolume5,5,556.2395,29.8369,64.4606,79,43.04,true
16,LowVolume5,6,458.4154,40.3886,21.6131,80,56.25,true
16,OldGuard4,0,290347.9943,9.6133,19.3629,102,75.49,true
16,OldGuard4,1,1397.2975,24.3093,19.3455,77,59.74,true
16,OldGuard4,2,665051.2450,7.2037,23.0487,78,74.36,true
16,OldGuard4,3,414341.5047,11.9062,13.6456,86,75.58,true
16,OldGuard4,4,1054.7159,30.5360,35.6164,54,62.96,true
16,OldGuard4,5,524.1701,35.1970,60.9243,63,36.51,true
16,OldGuard4,6,1664.5761,38.0770,29.1829,92,55.43,true
18,Base5,0,16008161.6922,11.3610,22.5037,86,68.60,true
18,Base5,1,5763.5765,19.6459,32.7921,56,64.29,true
18,Base5,2,256027.1176,7.8239,21.2392,77,74.03,true
18,Base5,3,1331506.5586,12.4015,25.7839,116,68.10,true
18,Base5,4,4493.9351,27.7417,20.2479,76,67.11,true
18,Base5,5,1098.6525,19.0523,25.1595,64,45.31,true
18,Base5,6,14859.9918,13.3799,26.6360,83,55.42,true
18,NoDOGE,0,16008161.6922,11.3610,22.5037,86,68.60,true
18,NoDOGE,1,381.5652,29.3047,18.0392,52,55.77,true
18,NoDOGE,2,1088310.3634,7.6101,17.6030,76,77.63,true
18,NoDOGE,3,5371576.9257,10.0188,25.7839,118,69.49,true
18,NoDOGE,4,4912.8462,27.2867,18.9341,75,68.00,true
18,NoDOGE,5,175.0287,52.3205,25.1595,55,41.82,true
18,NoDOGE,6,1077.4756,45.2492,26.6360,74,54.05,true
18,Legacy4,0,30269.5337,13.4089,21.2203,88,71.59,true
18,Legacy4,1,1652.1762,18.6190,26.6866,72,59.72,true
18,Legacy4,2,402262.5877,7.4718,17.6030,76,78.95,true
18,Legacy4,3,544220.5413,12.3835,15.7923,99,71.72,true
18,Legacy4,4,1945.0414,33.3036,13.1824,53,71.70,true
18,Legacy4,5,18.0424,96.3136,33.0456,46,36.96,true
18,Legacy4,6,1473.0405,32.1227,25.6909,72,61.11,true
18,Legacy5BNB,0,79468.7756,12.8538,34.3703,104,71.15,true
18,Legacy5BNB,1,741.5098,21.1741,30.1238,65,61.54,true
18,Legacy5BNB,2,276861.6105,7.4766,19.5169,76,77.63,true
18,Legacy5BNB,3,8527982.7630,10.6966,25.5565,99,72.73,true
18,Legacy5BNB,4,3948.9990,27.1839,16.2011,56,75.00,true
18,Legacy5BNB,5,176.4441,42.7938,26.6414,47,46.81,true
18,Legacy5BNB,6,1403.5058,32.6673,28.9756,73,60.27,true
18,OldGuardNoBNB,0,95914.7831,9.9264,22.5037,98,71.43,true
18,OldGuardNoBNB,1,791.3681,20.2011,30.1238,67,59.70,true
18,OldGuardNoBNB,2,402262.5877,7.4718,17.6030,76,78.95,true
18,OldGuardNoBNB,3,544220.5413,12.3835,15.7923,99,71.72,true
18,OldGuardNoBNB,4,1926.1408,33.6859,13.1824,54,70.37,true
18,OldGuardNoBNB,5,1123.8504,34.7200,30.3682,55,43.64,true
18,OldGuardNoBNB,6,1983.4246,30.4263,25.8942,79,60.76,true
18,LargeCaps5,0,26806347.2947,11.5520,27.2580,96,68.75,true
18,LargeCaps5,1,383.5185,29.3365,18.0392,53,56.60,true
18,LargeCaps5,2,1129843.0307,7.5528,17.6030,77,77.92,true
18,LargeCaps5,3,11620600.1554,11.8621,25.7839,113,69.03,true
18,LargeCaps5,4,6021.9386,26.1914,19.2786,74,68.92,true
18,LargeCaps5,5,161.0938,51.6525,28.9514,56,41.07,true
18,LargeCaps5,6,1077.4756,45.2492,26.6360,74,54.05,true
18,Legacy3,0,37196.8767,13.2771,20.0840,87,74.71,true
18,Legacy3,1,2152.0270,19.8653,23.5347,74,63.51,true
18,Legacy3,2,800010.1629,7.2867,19.4535,75,77.33,true
18,Legacy3,3,378314.3060,11.8740,13.6456,86,76.74,true
18,Legacy3,4,408.0573,46.5498,29.4580,48,62.50,true
18,Legacy3,5,-25.4438,97.6284,57.2273,49,34.69,true
18,Legacy3,6,1438.7585,36.3395,21.2524,75,58.67,true
18,LowVolume5,0,64485.0300,12.7649,19.3629,96,75.00,true
18,LowVolume5,1,2620.0888,24.6944,16.9535,76,61.84,true
18,LowVolume5,2,2834948.4870,6.3742,25.4233,89,67.42,true
18,LowVolume5,3,2342888966.4790,7.5305,20.9500,107,70.09,true
18,LowVolume5,4,416.9689,47.2305,30.6785,51,52.94,true
18,LowVolume5,5,497.7963,31.8146,63.9499,79,43.04,true
18,LowVolume5,6,490.2200,39.8694,21.6131,80,58.75,true
18,OldGuard4,0,299087.1060,9.6286,19.3629,102,75.49,true
18,OldGuard4,1,1467.5092,23.4680,23.2788,77,62.34,true
18,OldGuard4,2,696713.9745,7.1962,24.6477,78,75.64,true
18,OldGuard4,3,378314.3060,11.8740,13.6456,86,76.74,true
18,OldGuard4,4,823.3528,32.6391,35.6164,54,62.96,true
18,OldGuard4,5,453.8213,35.6001,60.3627,63,36.51,true
18,OldGuard4,6,1787.0033,37.6647,29.1829,92,57.61,true
20,Base5,0,16802465.2343,11.3250,22.5037,86,69.77,true
20,Base5,1,8116.9322,20.0308,32.7921,56,60.71,true
20,Base5,2,270969.8265,7.6277,21.8618,77,75.32,true
20,Base5,3,1411138.5207,12.4120,25.7839,116,68.10,true
20,Base5,4,4493.9351,27.7417,20.2479,76,67.11,true
20,Base5,5,1119.9751,19.5920,22.2423,64,45.31,true
20,Base5,6,9715.1132,14.1899,31.1172,83,53.01,true
20,NoDOGE,0,16802465.2343,11.3250,22.5037,86,69.77,true
20,NoDOGE,1,283.9148,35.0391,19.8144,52,51.92,true
20,NoDOGE,2,1151809.2984,7.4254,21.8618,76,78.95,true
20,NoDOGE,3,5692810.8296,10.0229,25.7839,118,69.49,true
20,NoDOGE,4,4912.8462,27.2867,18.9341,75,68.00,true
20,NoDOGE,5,206.0609,49.5786,22.2423,55,41.82,true
