universe,window,bar_idx,equity_HM12
,equity_HM17,equity_HM16,equity_HM18,equity_HM15,equity_HM23
OldGuard4,0,0,0.893225
OldGuard4,0,0,0.895269
OldGuard4,0,0,0.873801
OldGuard4,0,0,0.895600
OldGuard4,0,0,0.789515
OldGuard4,1,0,0.854304
OldGuard4,1,0,0.886123
OldGuard4,1,0,0.881084
OldGuard4,1,0,0.887332
OldGuard4,1,0,0.869055
OldGuard4,1,0,0.881704
OldGuard4,2,0,0.196177
OldGuard4,2,0,0.196177
OldGuard4,2,0,0.196177
OldGuard4,2,0,0.196177
OldGuard4,2,0,0.196177
OldGuard4,2,0,0.196177
OldGuard4,3,0,0.740026
OldGuard4,3,0,0.730912
OldGuard4,3,0,0.730912
OldGuard4,3,0,0.730912
OldGuard4,3,0,0.730912
OldGuard4,3,0,0.730912
OldGuard4,4,0,0.780295
OldGuard4,4,0,0.780295
OldGuard4,4,0,0.780295
OldGuard4,4,0,0.780295
OldGuard4,4,0,0.780295
OldGuard4,4,0,0.780295
OldGuard4,5,0,0.624649
OldGuard4,5,0,0.679053
OldGuard4,5,0,0.679053
OldGuard4,5,0,0.679053
OldGuard4,5,0,0.679053
OldGuard4,5,0,0.679053
OldGuard4,6,0,0.684776
OldGuard4,6,0,0.685498
OldGuard4,6,0,0.684591
OldGuard4,6,0,0.687707
OldGuard4,6,0,0.684451
OldGuard4,6,0,0.710793
