atr_t,period_label,equity,sharpe,dd_pct,trades
5,P1-2019 (Pre-COVID bear/chop) W6,0.291257,-3.9673,80.69,52
5,P1-2019 (Pre-COVID bear/chop) W7,0.791569,0.4158,91.25,96
5,P1-2019 (Pre-COVID bear/chop) W8,2.356525,2.2927,80.54,119
5,P1-2019 (Pre-COVID bear/chop) W9,0.204038,-2.0925,86.74,95
5,P1-2019 (Pre-COVID bear/chop) W10,17.923378,6.3957,46.39,69
5,P2-2020 (COVID crash/recovery) W0,0.253621,-4.9680,88.65,35
5,P2-2020 (COVID crash/recovery) W1,39.377936,4.8893,66.14,94
5,P2-2020 (COVID crash/recovery) W2,0.133122,-4.5550,86.69,48
5,P2-2020 (COVID crash/recovery) W3,2.074696,2.4384,74.28,88
5,P2-2020 (COVID crash/recovery) W4,0.987586,1.7444,96.60,105
5,P2-2020 (COVID crash/recovery) W5,9.792593,4.7137,72.08,99
5,P2-2020 (COVID crash/recovery) W6,0.291257,-3.9673,80.69,52
5,P2-2020 (COVID crash/recovery) W7,0.791569,0.4158,91.25,96
5,P2-2020 (COVID crash/recovery) W8,2.356525,2.2927,80.54,119
5,P2-2020 (COVID crash/recovery) W9,0.204038,-2.0925,86.74,95
5,P2-2020 (COVID crash/recovery) W10,17.923378,6.3957,46.39,69
24,P1-2019 (Pre-COVID bear/chop) W0,0.276547,-9.6092,80.20,23
24,P1-2019 (Pre-COVID bear/chop) W1,3.342425,3.0571,56.20,76
24,P1-2019 (Pre-COVID bear/chop) W2,0.163397,-9.6263,83.66,37
24,P1-2019 (Pre-COVID bear/chop) W3,0.359117,-1.9599,85.86,70
24,P1-2019 (Pre-COVID bear/chop) W4,1.681737,2.2473,94.98,98
24,P1-2019 (Pre-COVID bear/chop) W5,39.636931,8.6367,40.42,77
24,P1-2019 (Pre-COVID bear/chop) W6,0.499683,-3.0506,66.44,34
24,P1-2019 (Pre-COVID bear/chop) W7,0.294004,-3.9517,82.06,74
24,P1-2019 (Pre-COVID bear/chop) W8,1.853773,2.0504,76.23,103
24,P1-2019 (Pre-COVID bear/chop) W9,0.389916,-1.8527,76.12,69
24,P1-2019 (Pre-COVID bear/chop) W10,2.302361,3.4571,46.39,48
24,P2-2020 (COVID crash/recovery) W0,0.276547,-9.6092,80.20,23
24,P2-2020 (COVID crash/recovery) W1,3.342425,3.0571,56.20,76
24,P2-2020 (COVID crash/recovery) W2,0.163397,-9.6263,83.66,37
24,P2-2020 (COVID crash/recovery) W3,0.359117,-1.9599,85.86,70
24,P2-2020 (COVID crash/recovery) W4,1.681737,2.2473,94.98,98
24,P2-2020 (COVID crash/recovery) W5,39.636931,8.6367,40.42,77
24,P2-2020 (COVID crash/recovery) W6,0.499683,-3.0506,66.44,34
24,P2-2020 (COVID crash/recovery) W7,0.294004,-3.9517,82.06,74
24,P2-2020 (COVID crash/recovery) W8,1.853773,2.0504,76.23,103
24,P2-2020 (COVID crash/recovery) W9,0.389916,-1.8527,76.12,69
24,P2-2020 (COVID crash/recovery) W10,2.302361,3.4571,46.39,48
50,P1-2019 (Pre-COVID bear/chop) W0,0.303014,-32.0489,69.70,14
50,P1-2019 (Pre-COVID bear/chop) W1,2.577562,3.1682,67.16,55
50,P1-2019 (Pre-COVID bear/chop) W2,0.328796,-7.1946,69.14,32
50,P1-2019 (Pre-COVID bear/chop) W3,0.434147,-2.4270,78.53,52
50,P1-2019 (Pre-COVID bear/chop) W4,0.863815,1.7187,97.99,83
50,P1-2019 (Pre-COVID bear/chop) W5,61.263571,11.5830,26.96,64
50,P1-2019 (Pre-COVID bear/chop) W6,0.746443,-1.1284,47.70,23
50,P1-2019 (Pre-COVID bear/chop) W7,0.313845,-4.5403,80.81,62
50,P1-2019 (Pre-COVID bear/chop) W8,1.586098,1.9176,73.63,87
50,P1-2019 (Pre-COVID bear/chop) W9,0.398305,-2.6938,71.06,56
50,P1-2019 (Pre-COVID bear/chop) W10,0.993589,0.8507,24.48,24
50,P2-2020 (COVID crash/recovery) W0,0.303014,-32.0489,69.70,14
50,P2-2020 (COVID crash/recovery) W1,2.577562,3.1682,67.16,55
50,P2-2020 (COVID crash/recovery) W2,0.328796,-7.1946,69.14,32
50,P2-2020 (COVID crash/recovery) W3,0.434147,-2.4270,78.53,52
50,P2-2020 (COVID crash/recovery) W4,0.863815,1.7187,97.99,83
50,P2-2020 (COVID crash/recovery) W5,61.263571,11.5830,26.96,64
50,P2-2020 (COVID crash/recovery) W6,0.746443,-1.1284,47.70,23
50,P2-2020 (COVID crash/recovery) W7,0.313845,-4.5403,80.81,62
50,P2-2020 (COVID crash/recovery) W8,1.586098,1.9176,73.63,87
50,P2-2020 (COVID crash/recovery) W9,0.398305,-2.6938,71.06,56
50,P2-2020 (COVID crash/recovery) W10,0.993589,0.8507,24.48,24
80,P1-2019 (Pre-COVID bear/chop) W0,0.801998,-258.2835,19.80,3
80,P1-2019 (Pre-COVID bear/chop) W1,0.862377,1.0032,58.49,23
80,P1-2019 (Pre-COVID bear/chop) W2,0.476668,-21.9796,52.33,12
80,P1-2019 (Pre-COVID bear/chop) W3,0.708254,-1.1024,59.88,38
80,P1-2019 (Pre-COVID bear/chop) W4,4.501679,4.5141,83.33,45
80,P1-2019 (Pre-COVID bear/chop) W5,5.047895,9.7352,30.60,33
80,P1-2019 (Pre-COVID bear/chop) W6,1.076798,2.0061,35.58,13
80,P1-2019 (Pre-COVID bear/chop) W7,0.421264,-4.1679,72.37,48
80,P1-2019 (Pre-COVID bear/chop) W8,0.333952,-4.1102,82.81,50
80,P1-2019 (Pre-COVID bear/chop) W9,0.710763,-1.2079,51.07,34
80,P1-2019 (Pre-COVID bear/chop) W10,0.900754,-3.2779,19.18,8
80,P2-2020 (COVID crash/recovery) W0,0.801998,-258.2835,19.80,3
80,P2-2020 (COVID crash/recovery) W1,0.862377,1.0032,58.49,23
80,P2-2020 (COVID crash/recovery) W2,0.476668,-21.9796,52.33,12
80,P2-2020 (COVID crash/recovery) W3,0.708254,-1.1024,59.88,38
80,P2-2020 (COVID crash/recovery) W4,4.501679,4.5141,83.33,45
80,P2-2020 (COVID crash/recovery) W5,5.047895,9.7352,30.60,33
80,P2-2020 (COVID crash/recovery) W6,1.076798,2.0061,35.58,13
80,P2-2020 (COVID crash/recovery) W7,0.421264,-4.1679,72.37,48
80,P2-2020 (COVID crash/recovery) W8,0.333952,-4.1102,82.81,50
80,P2-2020 (COVID crash/recovery) W9,0.710763,-1.2079,51.07,34
80,P2-2020 (COVID crash/recovery) W10,0.900754,-3.2779,19.18,8
