bar,equity,btc_buyhold,drawdown,bh_drawdown
86,7587.423810614856,6479.626574033869,24.12576189385144,35.20373425966131
87,7587.423810614856,6405.523230568823,24.12576189385144,35.94476769431177
88,7587.423810614856,6500.225792444638,24.12576189385144,34.997742075553624
89,7587.423810614856,6531.489361702127,24.12576189385144,34.68510638297873
90,7587.423810614856,6634.850195397307,24.12576189385144,33.65149804602693
91,7587.423810614856,6699.313938341294,24.12576189385144,33.00686061658706
92,7587.423810614856,6501.953973078594,24.12576189385144,34.98046026921406
93,7587.423810614856,6621.797655232305,24.12576189385144,33.78202344767695
94,7587.423810614856,6651.185410334347,24.12576189385144,33.48814589665653
95,7587.423810614856,6679.183673469388,24.12576189385144,33.208163265306126
96,7587.423810614856,6603.074250976986,24.12576189385144,33.969257490230135
97,7587.423810614856,6506.061658706035,24.12576189385144,34.93938341293965
98,7587.423810614856,5874.937038645245,24.12576189385144,41.25062961354755
99,7587.423810614856,5967.867998263136,24.12576189385144,40.32132001736864
100,7587.423810614856,5670.864090316978,24.12576189385144,43.29135909683022
101,7587.423810614856,5464.854537559705,24.12576189385144,45.35145462440295
102,7587.423810614856,5762.900564481111,24.12576189385144,42.370994355188884
103,7587.423810614856,5548.328267477204,24.12576189385144,44.516717325227965
104,7587.423810614856,5630.898827616152,24.12576189385144,43.691011723838486
105,7587.423810614856,5601.050803300042,24.12576189385144,43.98949196699958
106,7587.423810614856,5829.318280503691,24.12576189385144,41.70681719496309
107,7587.423810614856,5854.285714285714,24.12576189385144,41.45714285714286
108,7587.423810614856,5871.914893617022,24.12576189385144,41.28085106382978
109,7587.423810614856,5834.858879722101,24.12576189385144,41.651411202778995
110,7587.423810614856,5249.6743378202345,24.12576189385144,47.503256621797654
111,9539.277656241207,5340.842379504993,4.607223437587927,46.59157620495007
112,9692.44401720696,5329.544072948329,3.0755598279303924,46.70455927051671
113,9652.71300180676,5429.439861050803,3.472869981932399,45.70560138949197
114,9652.71300180676,5272.062527138514,3.472869981932399,47.27937472861486
115,9652.71300180676,5326.730351715154,3.472869981932399,46.73269648284845
116,9652.71300180676,5083.7863656100735,3.472869981932399,49.16213634389926
117,9652.71300180676,5382.475032566219,3.472869981932399,46.175249674337806
118,9652.71300180676,5549.344333478072,3.472869981932399,44.50655666521928
119,9652.71300180676,5520.460269214069,3.472869981932399,44.79539730785931
120,9652.71300180676,5744.932696482849,3.472869981932399,42.55067303517151
121,9652.71300180676,5656.847590099869,3.472869981932399,43.43152409900131
122,9652.71300180676,5720.34737299175,3.472869981932399,42.7965262700825
123,9652.71300180676,5670.169344333478,3.472869981932399,43.298306556665224
124,9652.71300180676,5740.147633521493,3.472869981932399,42.59852366478507
125,9652.71300180676,5867.980894485454,3.472869981932399,41.32019105514546
126,8104.829294001848,5829.005644811116,18.95170705998152,41.70994355188884
127,8104.829294001848,5785.601389491967,18.95170705998152,42.14398610508033
