hold_max,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
55,OldGuard4,6,0.96609643,-3.3904,-0.304969,14.4625,52,40.3846,false
60,Base5,0,1.69420791,69.4208,2.234131,10.5994,53,47.1698,true
60,Base5,1,1.38090209,38.0902,1.936775,18.8945,77,48.0519,true
60,Base5,2,2.35453873,135.4539,3.965125,8.2277,65,64.6154,true
60,Base5,3,1.14942983,14.9430,1.144174,13.9419,36,55.5556,true
60,Base5,4,0.92183807,-7.8162,-0.198369,23.0275,60,46.6667,false
60,Base5,5,1.29337816,29.3378,2.079003,8.0043,51,49.0196,true
60,NoDOGE,0,1.35167148,35.1671,1.952981,10.3272,42,47.6190,true
60,NoDOGE,1,1.37947364,37.9474,1.969277,16.7456,71,49.2958,true
60,NoDOGE,2,1.98763413,98.7634,3.383097,7.8243,58,62.0690,true
60,NoDOGE,3,1.08375311,8.3753,0.724451,15.7244,31,54.8387,true
60,NoDOGE,4,0.86241238,-13.7588,-0.596594,26.8726,49,44.8980,false
60,NoDOGE,5,1.21197727,21.1977,1.760507,7.4288,38,47.3684,true
60,Legacy4,0,1.50113670,50.1137,2.549133,6.8028,38,52.6316,true
60,Legacy4,1,1.66825869,66.8259,3.528556,9.4180,64,59.3750,true
60,Legacy4,2,1.82831546,82.8315,2.903919,9.7315,41,56.0976,true
