bar,date,equity
466,2021-11-20 00:00:00,1.1175160782
467,2021-11-21 00:00:00,1.1175160782
468,2021-11-22 00:00:00,1.1175160782
469,2021-11-23 00:00:00,1.1175160782
470,2021-11-24 00:00:00,1.1175160782
471,2021-11-25 00:00:00,1.1175160782
472,2021-11-26 00:00:00,1.1175160782
473,2021-11-27 00:00:00,1.1175160782
474,2021-11-28 00:00:00,1.1175160782
475,2021-11-29 00:00:00,1.1175160782
476,2021-11-30 00:00:00,1.1175160782
477,2021-12-01 00:00:00,1.1175160782
478,2021-12-02 00:00:00,1.1175160782
479,2021-12-03 00:00:00,1.1175160782
480,2021-12-04 00:00:00,1.1175160782
481,2021-12-05 00:00:00,1.1175160782
482,2021-12-06 00:00:00,1.1175160782
483,2021-12-07 00:00:00,1.1175160782
484,2021-12-08 00:00:00,1.1175160782
485,2021-12-09 00:00:00,1.1175160782
486,2021-12-10 00:00:00,1.1175160782
487,2021-12-11 00:00:00,1.1175160782
488,2021-12-12 00:00:00,1.1175160782
489,2021-12-13 00:00:00,1.1175160782
490,2021-12-14 00:00:00,1.1175160782
491,2021-12-15 00:00:00,1.1175160782
492,2021-12-16 00:00:00,1.1175160782
493,2021-12-17 00:00:00,1.1175160782
494,2021-12-18 00:00:00,1.1175160782
495,2021-12-19 00:00:00,1.1175160782
496,2021-12-20 00:00:00,1.1175160782
497,2021-12-21 00:00:00,1.1175160782
498,2021-12-22 00:00:00,1.1175160782
499,2021-12-23 00:00:00,1.1175160782
500,2021-12-24 00:00:00,1.1175160782
501,2021-12-25 00:00:00,1.1175160782
502,2021-12-26 00:00:00,1.1175160782
503,2021-12-27 00:00:00,1.1175160782
504,2021-12-28 00:00:00,1.1175160782
505,2021-12-29 00:00:00,1.1175160782
506,2021-12-30 00:00:00,1.1175160782
507,2021-12-31 00:00:00,1.1175160782
508,2022-01-01 00:00:00,1.1175160782
509,2022-01-02 00:00:00,1.1175160782
510,2022-01-03 00:00:00,1.1175160782
511,2022-01-04 00:00:00,1.1175160782
512,2022-01-05 00:00:00,1.1175160782
513,2022-01-06 00:00:00,1.1175160782
514,2022-01-07 00:00:00,1.1175160782
515,2022-01-08 00:00:00,1.1175160782
516,2022-01-09 00:00:00,1.1175160782
517,2022-01-10 00:00:00,1.1175160782
518,2022-01-11 00:00:00,1.1175160782
519,2022-01-12 00:00:00,1.1175160782
520,2022-01-13 00:00:00,1.1175160782
521,2022-01-14 00:00:00,1.1175160782
522,2022-01-15 00:00:00,1.1175160782
523,2022-01-16 00:00:00,1.1175160782
524,2022-01-17 00:00:00,1.1175160782
525,2022-01-18 00:00:00,1.1175160782
526,2022-01-19 00:00:00,1.1175160782
527,2022-01-20 00:00:00,1.1175160782
528,2022-01-21 00:00:00,1.1175160782
529,2022-01-22 00:00:00,1.1175160782
530,2022-01-23 00:00:00,1.1175160782
531,2022-01-24 00:00:00,1.1175160782
532,2022-01-25 00:00:00,1.1175160782
533,2022-01-26 00:00:00,1.1175160782
534,2022-01-27 00:00:00,1.1175160782
535,2022-01-28 00:00:00,1.1175160782
536,2022-01-29 00:00:00,1.1175160782
537,2022-01-30 00:00:00,1.1175160782
538,2022-01-31 00:00:00,1.1175160782
539,2022-02-01 00:00:00,1.1175160782
540,2022-02-02 00:00:00,1.1175160782
541,2022-02-03 00:00:00,1.1175160782
542,2022-02-04 00:00:00,1.1175160782
543,2022-02-05 00:00:00,1.1175160782
544,2022-02-06 00:00:00,1.1173969242
545,2022-02-07 00:00:00,1.1224036240
546,2022-02-08 00:00:00,1.1311977716
547,2022-02-09 00:00:00,1.1322443173
548,2022-02-10 00:00:00,1.1212160088
549,2022-02-11 00:00:00,1.1105477948
550,2022-02-12 00:00:00,1.1095961070
551,2022-02-13 00:00:00,1.1068277950
552,2022-02-14 00:00:00,1.1085077360
553,2022-02-15 00:00:00,1.1085077360
554,2022-02-16 00:00:00,1.1085077360
