universe,window,atr_mult,vol_label,bar_idx,equity
Base5,W0,0.30,SMA10_1.00,150,0.876425
Base5,W0,0.30,SMA10_1.00,160,0.876425
Base5,W0,0.30,SMA10_1.00,170,0.876425
Base5,W0,0.30,SMA10_1.00,180,1.006620
Base5,W0,0.30,SMA10_1.00,190,0.997826
Base5,W0,0.30,SMA10_1.00,200,0.946522
Base5,W0,0.30,SMA10_1.00,210,0.946522
Base5,W0,0.30,SMA10_1.00,220,0.946522
Base5,W0,0.30,SMA10_1.00,230,0.946522
Base5,W0,0.30,SMA10_1.00,240,0.946522
Base5,W0,0.30,SMA10_1.00,250,1.008758
Base5,W0,0.50,none,0,1.000000
Base5,W0,0.50,none,10,0.876754
Base5,W0,0.50,none,20,0.876754
Base5,W0,0.50,none,30,0.876754
Base5,W0,0.50,none,40,0.876754
Base5,W0,0.50,none,50,0.843506
Base5,W0,0.50,none,60,0.843506
Base5,W0,0.50,none,70,0.843506
Base5,W0,0.50,none,80,0.843506
Base5,W0,0.50,none,90,0.724854
Base5,W0,0.50,none,100,0.724854
Base5,W0,0.50,none,110,0.870684
Base5,W0,0.50,none,120,0.870684
Base5,W0,0.50,none,130,0.723730
Base5,W0,0.50,none,140,0.754717
Base5,W0,0.50,none,150,0.754717
Base5,W0,0.50,none,160,0.740417
Base5,W0,0.50,none,170,0.740417
Base5,W0,0.50,none,180,0.831875
Base5,W0,0.50,none,190,0.831875
Base5,W0,0.50,none,200,0.789103
Base5,W0,0.50,none,210,0.701097
Base5,W0,0.50,none,220,0.701097
Base5,W0,0.50,none,230,0.670648
Base5,W0,0.50,none,240,0.670648
Base5,W0,0.50,none,250,0.670648
Base5,W0,0.50,SMA20_1.00,0,1.000000
Base5,W0,0.50,SMA20_1.00,10,0.876754
Base5,W0,0.50,SMA20_1.00,20,0.876754
Base5,W0,0.50,SMA20_1.00,30,0.876754
Base5,W0,0.50,SMA20_1.00,40,0.876754
Base5,W0,0.50,SMA20_1.00,50,0.843506
Base5,W0,0.50,SMA20_1.00,60,0.843506
Base5,W0,0.50,SMA20_1.00,70,0.843506
Base5,W0,0.50,SMA20_1.00,80,0.843506
Base5,W0,0.50,SMA20_1.00,90,0.724854
Base5,W0,0.50,SMA20_1.00,100,0.724854
Base5,W0,0.50,SMA20_1.00,110,0.870684
Base5,W0,0.50,SMA20_1.00,120,0.870684
Base5,W0,0.50,SMA20_1.00,130,0.723730
Base5,W0,0.50,SMA20_1.00,140,0.754717
Base5,W0,0.50,SMA20_1.00,150,0.754717
Base5,W0,0.50,SMA20_1.00,160,0.754717
Base5,W0,0.50,SMA20_1.00,170,0.754717
Base5,W0,0.50,SMA20_1.00,180,0.866833
Base5,W0,0.50,SMA20_1.00,190,0.866833
Base5,W0,0.50,SMA20_1.00,200,0.822264
Base5,W0,0.50,SMA20_1.00,210,0.822264
Base5,W0,0.50,SMA20_1.00,220,0.822264
Base5,W0,0.50,SMA20_1.00,230,0.822264
Base5,W0,0.50,SMA20_1.00,240,0.822264
Base5,W0,0.50,SMA20_1.00,250,0.822264
Base5,W0,0.50,SMA20_1.25,0,1.000000
Base5,W0,0.50,SMA20_1.25,10,0.876754
Base5,W0,0.50,SMA20_1.25,20,0.876754
Base5,W0,0.50,SMA20_1.25,30,0.876754
Base5,W0,0.50,SMA20_1.25,40,0.876754
Base5,W0,0.50,SMA20_1.25,50,0.843506
Base5,W0,0.50,SMA20_1.25,60,0.843506
Base5,W0,0.50,SMA20_1.25,70,0.843506
Base5,W0,0.50,SMA20_1.25,80,0.843506
Base5,W0,0.50,SMA20_1.25,90,0.724854
Base5,W0,0.50,SMA20_1.25,100,0.724854
Base5,W0,0.50,SMA20_1.25,110,0.703744
Base5,W0,0.50,SMA20_1.25,120,0.703744
Base5,W0,0.50,SMA20_1.25,130,0.667492
Base5,W0,0.50,SMA20_1.25,140,0.696072
Base5,W0,0.50,SMA20_1.25,150,0.696072
Base5,W0,0.50,SMA20_1.25,160,0.696072
Base5,W0,0.50,SMA20_1.25,170,0.696072
Base5,W0,0.50,SMA20_1.25,180,0.696072
Base5,W0,0.50,SMA20_1.25,190,0.696072
Base5,W0,0.50,SMA20_1.25,200,0.660283
Base5,W0,0.50,SMA20_1.25,210,0.660283
Base5,W0,0.50,SMA20_1.25,220,0.660283
Base5,W0,0.50,SMA20_1.25,230,0.660283
Base5,W0,0.50,SMA20_1.25,240,0.660283
Base5,W0,0.50,SMA20_1.25,250,0.660283
Base5,W0,0.50,SMA10_1.00,0,1.000000
Base5,W0,0.50,SMA10_1.00,10,0.876754
Base5,W0,0.50,SMA10_1.00,20,0.876754
Base5,W0,0.50,SMA10_1.00,30,0.876754
Base5,W0,0.50,SMA10_1.00,40,0.876754
Base5,W0,0.50,SMA10_1.00,50,0.843506
Base5,W0,0.50,SMA10_1.00,60,0.843506
Base5,W0,0.50,SMA10_1.00,70,0.843506
Base5,W0,0.50,SMA10_1.00,80,0.843506
Base5,W0,0.50,SMA10_1.00,90,0.724854
Base5,W0,0.50,SMA10_1.00,100,0.724854
Base5,W0,0.50,SMA10_1.00,110,0.870684
Base5,W0,0.50,SMA10_1.00,120,0.870684
Base5,W0,0.50,SMA10_1.00,130,0.825832
Base5,W0,0.50,SMA10_1.00,140,0.861192
Base5,W0,0.50,SMA10_1.00,150,0.861192
Base5,W0,0.50,SMA10_1.00,160,0.861192
Base5,W0,0.50,SMA10_1.00,170,0.861192
Base5,W0,0.50,SMA10_1.00,180,0.989124
Base5,W0,0.50,SMA10_1.00,190,0.989124
Base5,W0,0.50,SMA10_1.00,200,0.938268
Base5,W0,0.50,SMA10_1.00,210,0.938268
Base5,W0,0.50,SMA10_1.00,220,0.938268
Base5,W0,0.50,SMA10_1.00,230,0.938268
Base5,W0,0.50,SMA10_1.00,240,0.938268
Base5,W0,0.50,SMA10_1.00,250,0.938268
Base5,W0,0.75,none,0,1.000000
Base5,W0,0.75,none,10,0.876754
Base5,W0,0.75,none,20,0.876754
Base5,W0,0.75,none,30,0.876754
Base5,W0,0.75,none,40,0.876754
Base5,W0,0.75,none,50,0.876754
Base5,W0,0.75,none,60,0.876754
Base5,W0,0.75,none,70,0.876754
Base5,W0,0.75,none,80,0.876754
Base5,W0,0.75,none,90,0.753425
Base5,W0,0.75,none,100,0.753425
Base5,W0,0.75,none,110,0.731483
Base5,W0,0.75,none,120,0.731483
Base5,W0,0.75,none,130,0.608023
Base5,W0,0.75,none,140,0.634057
Base5,W0,0.75,none,150,0.634057
Base5,W0,0.75,none,160,0.634057
Base5,W0,0.75,none,170,0.634057
Base5,W0,0.75,none,180,0.620239
Base5,W0,0.75,none,190,0.620239
Base5,W0,0.75,none,200,0.588349
Base5,W0,0.75,none,210,0.588349
Base5,W0,0.75,none,220,0.588349
Base5,W0,0.75,none,230,0.562796
Base5,W0,0.75,none,240,0.562796
Base5,W0,0.75,none,250,0.562796
Base5,W0,0.75,SMA20_1.00,0,1.000000
Base5,W0,0.75,SMA20_1.00,10,0.876754
Base5,W0,0.75,SMA20_1.00,20,0.876754
Base5,W0,0.75,SMA20_1.00,30,0.876754
Base5,W0,0.75,SMA20_1.00,40,0.876754
Base5,W0,0.75,SMA20_1.00,50,0.876754
Base5,W0,0.75,SMA20_1.00,60,0.876754
Base5,W0,0.75,SMA20_1.00,70,0.876754
Base5,W0,0.75,SMA20_1.00,80,0.876754
Base5,W0,0.75,SMA20_1.00,90,0.753425
