atr_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1.1,NoDOGE,0,379.5913,9.479158,54.5961,14,57.1429,true
1.1,NoDOGE,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.1,NoDOGE,2,142.8462,5.830218,25.0490,13,53.8462,true
1.1,NoDOGE,3,185.3008,9.482533,31.9082,14,78.5714,true
1.1,NoDOGE,4,3.3715,1.331435,29.6144,13,53.8462,true
1.1,NoDOGE,5,3.1592,1.487378,27.0976,13,38.4615,true
1.1,Legacy4,0,129.0441,9.738935,10.7657,14,57.1429,true
1.1,Legacy4,1,18.6460,2.960657,27.9749,13,46.1538,true
1.1,Legacy4,2,133.1082,5.664092,25.0490,12,50.0000,true
1.1,Legacy4,3,74.5326,5.809872,42.1582,14,57.1429,true
1.1,Legacy4,4,31.5061,4.134200,27.0521,12,58.3333,true
1.1,Legacy4,5,-31.7390,-3.052461,35.3237,14,21.4286,false
1.1,Legacy5BNB,0,245.7301,13.019370,10.5314,14,64.2857,true
1.1,Legacy5BNB,1,18.6499,3.397832,22.7093,11,36.3636,true
1.1,Legacy5BNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.1,Legacy5BNB,3,154.1722,10.473935,17.5780,13,61.5385,true
1.1,Legacy5BNB,4,50.1173,6.537078,14.8356,10,60.0000,true
1.1,Legacy5BNB,5,-57.0628,-9.440296,57.6435,12,25.0000,false
1.1,OldGuardNoBNB,0,238.1288,8.333382,39.1195,15,53.3333,true
1.1,OldGuardNoBNB,1,-56.9111,-10.201784,57.6645,13,30.7692,false
1.1,OldGuardNoBNB,2,133.1082,5.664092,25.0490,12,50.0000,true
1.1,OldGuardNoBNB,3,74.5326,5.809872,42.1582,14,57.1429,true
1.1,OldGuardNoBNB,4,31.5061,4.134200,27.0521,12,58.3333,true
1.1,OldGuardNoBNB,5,-60.8128,-10.092329,60.8128,15,20.0000,false
1.1,LargeCaps5,0,379.5913,9.479158,54.5961,14,57.1429,true
1.1,LargeCaps5,1,-18.2889,-3.816044,26.6123,9,44.4444,false
1.1,LargeCaps5,2,142.8462,5.830218,25.0490,13,53.8462,true
1.1,LargeCaps5,3,72.2119,5.628118,39.5741,13,69.2308,true
1.1,LargeCaps5,4,15.6487,2.689620,23.4937,12,58.3333,true
1.1,LargeCaps5,5,3.1592,1.487378,27.0976,13,38.4615,true
1.1,Legacy3,0,298.3227,14.604846,9.0386,13,69.2308,true
