cooldown,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
84,41,60,68.3333,0.798995,7.6120,5.4097,819,53.8462
85,42,60,70.0000,0.843561,7.6006,5.4123,813,53.5055
86,40,60,66.6667,0.733667,6.6804,5.6740,791,50.5689
87,39,60,65.0000,0.658928,6.4385,5.7441,783,50.3193
88,42,60,70.0000,0.654832,6.5368,5.4195,779,49.4223
89,46,60,76.6667,0.757471,7.0083,5.1881,772,50.6477
90,48,60,80.0000,0.850189,7.1890,5.2155,770,51.9481
91,50,60,83.3333,0.907913,7.4002,5.3182,754,54.2440
92,50,60,83.3333,1.001458,8.6612,5.2549,750,53.6000
93,52,60,86.6667,1.016973,8.6165,5.1622,747,54.2169
94,50,60,83.3333,0.951757,8.1816,5.3292,747,53.2798
95,47,60,78.3333,0.938041,8.2587,5.0102,735,54.6939
96,48,60,80.0000,0.921472,8.0884,5.1698,735,54.8299
97,48,60,80.0000,0.798108,7.6954,5.4382,724,54.0055
98,47,60,78.3333,0.840150,7.6229,5.2683,718,54.1783
99,52,60,86.6667,0.969627,8.1823,4.8197,714,55.3221
100,48,60,80.0000,0.821863,7.3354,4.9889,714,53.9216
