universe,window,atr_mult,vol_lb,vol_mult,vol_label,ret_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W1,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W2,0.00,0,0.00,none,-4.59,0.0819,39.53,28,46.4,true
Base5,W2,0.00,20,1.00,SMA20_1.00,-16.86,-0.8222,27.25,17,41.2,false
Base5,W2,0.00,20,1.25,SMA20_1.25,-26.54,-1.5863,29.50,11,36.4,false
Base5,W2,0.00,10,1.00,SMA10_1.00,-21.38,-0.8856,30.50,18,44.4,false
Base5,W2,0.10,0,0.00,none,-27.30,-1.0646,39.84,22,40.9,false
Base5,W2,0.10,20,1.00,SMA20_1.00,-16.86,-0.8222,27.25,17,41.2,false
Base5,W2,0.10,20,1.25,SMA20_1.25,-26.54,-1.5863,29.50,11,36.4,false
Base5,W2,0.10,10,1.00,SMA10_1.00,-21.56,-0.8995,30.50,17,41.2,false
Base5,W2,0.20,0,0.00,none,-25.31,-1.1177,32.02,18,44.4,false
Base5,W2,0.20,20,1.00,SMA20_1.00,-5.89,-0.2198,18.31,14,50.0,false
Base5,W2,0.20,20,1.25,SMA20_1.25,-18.99,-1.1788,22.87,10,40.0,false
Base5,W2,0.20,10,1.00,SMA10_1.00,-20.60,-1.0284,22.49,14,42.9,false
Base5,W2,0.30,0,0.00,none,-25.31,-1.1177,32.02,18,44.4,false
Base5,W2,0.30,20,1.00,SMA20_1.00,-5.89,-0.2198,18.31,14,50.0,false
Base5,W2,0.30,20,1.25,SMA20_1.25,-18.99,-1.1788,22.87,10,40.0,false
Base5,W2,0.30,10,1.00,SMA10_1.00,-20.60,-1.0284,22.49,14,42.9,false
Base5,W2,0.50,0,0.00,none,-32.30,-2.0220,33.92,13,38.5,false
Base5,W2,0.50,20,1.00,SMA20_1.00,-20.55,-1.7755,22.44,10,40.0,false
Base5,W2,0.50,20,1.25,SMA20_1.25,-24.41,-2.1913,24.41,8,37.5,false
Base5,W2,0.50,10,1.00,SMA10_1.00,-22.95,-1.5908,24.79,10,40.0,false
Base5,W2,0.75,0,0.00,none,-26.68,-1.9258,26.68,7,28.6,false
Base5,W2,0.75,20,1.00,SMA20_1.00,-21.08,-1.9263,21.08,6,33.3,false
Base5,W2,0.75,20,1.25,SMA20_1.25,-21.08,-1.9263,21.08,6,33.3,false
Base5,W2,0.75,10,1.00,SMA10_1.00,-26.68,-1.9258,26.68,7,28.6,false
Base5,W2,1.00,0,0.00,none,-17.90,-1.6566,17.90,5,40.0,false
Base5,W2,1.00,20,1.00,SMA20_1.00,-17.90,-1.6566,17.90,5,40.0,false
Base5,W2,1.00,20,1.25,SMA20_1.25,-17.90,-1.6566,17.90,5,40.0,false
Base5,W2,1.00,10,1.00,SMA10_1.00,-17.90,-1.6566,17.90,5,40.0,false
Base5,W2,1.50,0,0.00,none,-13.39,-1.2912,15.78,4,50.0,false
Base5,W2,1.50,20,1.00,SMA20_1.00,-13.39,-1.2912,15.78,4,50.0,false
Base5,W2,1.50,20,1.25,SMA20_1.25,-13.39,-1.2912,15.78,4,50.0,false
Base5,W2,1.50,10,1.00,SMA10_1.00,-13.39,-1.2912,15.78,4,50.0,false
Base5,W2,2.00,0,0.00,none,-14.09,-1.3713,16.45,3,33.3,false
Base5,W2,2.00,20,1.00,SMA20_1.00,-14.09,-1.3713,16.45,3,33.3,false
Base5,W2,2.00,20,1.25,SMA20_1.25,-14.09,-1.3713,16.45,3,33.3,false
Base5,W2,2.00,10,1.00,SMA10_1.00,-14.09,-1.3713,16.45,3,33.3,false
Base5,W2,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W2,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W2,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W2,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W3,0.00,0,0.00,none,562.61,3.1606,23.04,46,63.0,true
Base5,W3,0.00,20,1.00,SMA20_1.00,162.40,2.1017,23.56,26,53.8,true
Base5,W3,0.00,20,1.25,SMA20_1.25,89.07,1.6437,21.74,16,56.2,true
Base5,W3,0.00,10,1.00,SMA10_1.00,67.41,1.3611,24.87,21,52.4,true
Base5,W3,0.10,0,0.00,none,223.83,2.3157,23.04,38,57.9,true
Base5,W3,0.10,20,1.00,SMA20_1.00,59.04,1.2678,23.56,21,47.6,true
Base5,W3,0.10,20,1.25,SMA20_1.25,92.68,1.6961,21.74,14,57.1,true
Base5,W3,0.10,10,1.00,SMA10_1.00,54.98,1.2189,24.87,18,50.0,true
Base5,W3,0.20,0,0.00,none,227.45,2.3399,19.46,28,64.3,true
Base5,W3,0.20,20,1.00,SMA20_1.00,70.48,1.4236,20.00,17,52.9,true
Base5,W3,0.20,20,1.25,SMA20_1.25,101.64,1.7972,18.10,12,66.7,true
Base5,W3,0.20,10,1.00,SMA10_1.00,62.19,1.3149,21.38,16,56.2,true
Base5,W3,0.30,0,0.00,none,192.90,2.1715,19.46,27,63.0,true
Base5,W3,0.30,20,1.00,SMA20_1.00,70.48,1.4236,20.00,17,52.9,true
Base5,W3,0.30,20,1.25,SMA20_1.25,101.64,1.7972,18.10,12,66.7,true
Base5,W3,0.30,10,1.00,SMA10_1.00,62.19,1.3149,21.38,16,56.2,true
Base5,W3,0.50,0,0.00,none,85.97,1.7634,12.52,15,60.0,true
Base5,W3,0.50,20,1.00,SMA20_1.00,85.52,1.8970,12.52,11,63.6,true
Base5,W3,0.50,20,1.25,SMA20_1.25,83.56,1.8695,12.52,9,66.7,true
Base5,W3,0.50,10,1.00,SMA10_1.00,64.59,1.5403,12.52,11,63.6,true
Base5,W3,0.75,0,0.00,none,12.21,0.6034,12.52,10,50.0,true
Base5,W3,0.75,20,1.00,SMA20_1.00,37.78,1.4392,12.52,8,62.5,true
Base5,W3,0.75,20,1.25,SMA20_1.25,37.78,1.4392,12.52,8,62.5,true
Base5,W3,0.75,10,1.00,SMA10_1.00,21.28,0.8953,12.52,9,55.6,true
Base5,W3,1.00,0,0.00,none,11.76,0.6012,12.73,8,50.0,true
Base5,W3,1.00,20,1.00,SMA20_1.00,26.96,1.1452,12.52,7,57.1,true
Base5,W3,1.00,20,1.25,SMA20_1.25,26.96,1.1452,12.52,7,57.1,true
Base5,W3,1.00,10,1.00,SMA10_1.00,11.76,0.6012,12.73,8,50.0,true
Base5,W3,1.50,0,0.00,none,11.65,1.1106,4.69,3,66.7,true
Base5,W3,1.50,20,1.00,SMA20_1.00,11.65,1.1106,4.69,3,66.7,true
Base5,W3,1.50,20,1.25,SMA20_1.25,11.65,1.1106,4.69,3,66.7,true
Base5,W3,1.50,10,1.00,SMA10_1.00,11.65,1.1106,4.69,3,66.7,true
Base5,W3,2.00,0,0.00,none,5.02,0.5925,4.69,2,50.0,false
Base5,W3,2.00,20,1.00,SMA20_1.00,5.02,0.5925,4.69,2,50.0,false
Base5,W3,2.00,20,1.25,SMA20_1.25,5.02,0.5925,4.69,2,50.0,false
Base5,W3,2.00,10,1.00,SMA10_1.00,5.02,0.5925,4.69,2,50.0,false
Base5,W3,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W3,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W3,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W3,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W4,0.00,0,0.00,none,-1.21,0.2017,34.18,36,44.4,true
Base5,W4,0.00,20,1.00,SMA20_1.00,17.98,0.7994,17.05,22,45.5,true
Base5,W4,0.00,20,1.25,SMA20_1.25,13.12,0.8733,7.35,8,50.0,true
Base5,W4,0.00,10,1.00,SMA10_1.00,-9.23,-0.2930,17.05,19,36.8,false
Base5,W4,0.10,0,0.00,none,-7.87,-0.0941,30.08,26,42.3,false
Base5,W4,0.10,20,1.00,SMA20_1.00,14.42,0.7440,13.48,19,47.4,true
Base5,W4,0.10,20,1.25,SMA20_1.25,13.12,0.8733,7.35,8,50.0,true
Base5,W4,0.10,10,1.00,SMA10_1.00,1.70,0.2283,13.48,17,41.2,true
Base5,W4,0.20,0,0.00,none,-7.87,-0.0941,30.08,26,42.3,false
Base5,W4,0.20,20,1.00,SMA20_1.00,14.42,0.7440,13.48,19,47.4,true
Base5,W4,0.20,20,1.25,SMA20_1.25,13.12,0.8733,7.35,8,50.0,true
Base5,W4,0.20,10,1.00,SMA10_1.00,1.70,0.2283,13.48,17,41.2,true
Base5,W4,0.30,0,0.00,none,-8.59,-0.1485,30.08,22,40.9,false
Base5,W4,0.30,20,1.00,SMA20_1.00,13.52,0.7369,11.88,15,46.7,true
Base5,W4,0.30,20,1.25,SMA20_1.25,7.55,0.5727,7.35,7,42.9,true
Base5,W4,0.30,10,1.00,SMA10_1.00,0.91,0.1805,11.88,13,38.5,true
Base5,W4,0.50,0,0.00,none,-13.20,-0.4143,30.08,19,42.1,false
Base5,W4,0.50,20,1.00,SMA20_1.00,7.80,0.5328,11.88,12,50.0,true
Base5,W4,0.50,20,1.25,SMA20_1.25,14.78,1.0163,7.35,5,60.0,true
Base5,W4,0.50,10,1.00,SMA10_1.00,7.70,0.5279,11.88,11,45.5,true
Base5,W4,0.75,0,0.00,none,5.21,0.4132,16.25,7,57.1,true
Base5,W4,0.75,20,1.00,SMA20_1.00,15.86,1.0721,6.48,5,60.0,true
Base5,W4,0.75,20,1.25,SMA20_1.25,16.63,1.1258,5.86,4,75.0,true
Base5,W4,0.75,10,1.00,SMA10_1.00,15.86,1.0721,6.48,5,60.0,true
Base5,W4,1.00,0,0.00,none,16.63,1.1258,5.86,4,75.0,true
Base5,W4,1.00,20,1.00,SMA20_1.00,16.63,1.1258,5.86,4,75.0,true
Base5,W4,1.00,20,1.25,SMA20_1.25,16.63,1.1258,5.86,4,75.0,true
Base5,W4,1.00,10,1.00,SMA10_1.00,16.63,1.1258,5.86,4,75.0,true
Base5,W4,1.50,0,0.00,none,-5.86,-1.2107,5.86,1,0.0,false
Base5,W4,1.50,20,1.00,SMA20_1.00,-5.86,-1.2107,5.86,1,0.0,false
Base5,W4,1.50,20,1.25,SMA20_1.25,-5.86,-1.2107,5.86,1,0.0,false
Base5,W4,1.50,10,1.00,SMA10_1.00,-5.86,-1.2107,5.86,1,0.0,false
Base5,W4,2.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W4,2.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W4,2.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W4,2.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W4,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W4,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W4,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W4,4.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W5,0.00,0,0.00,none,-65.84,-3.2611,72.21,32,18.8,false
Base5,W5,0.00,20,1.00,SMA20_1.00,-54.12,-3.0694,57.69,20,15.0,false
Base5,W5,0.00,20,1.25,SMA20_1.25,-41.24,-2.5540,45.03,10,20.0,false
Base5,W5,0.00,10,1.00,SMA10_1.00,-55.28,-3.2551,58.77,21,14.3,false
Base5,W5,0.10,0,0.00,none,-56.08,-2.8893,64.27,28,21.4,false
Base5,W5,0.10,20,1.00,SMA20_1.00,-52.15,-2.9996,55.88,18,16.7,false
Base5,W5,0.10,20,1.25,SMA20_1.25,-41.24,-2.5540,45.03,10,20.0,false
Base5,W5,0.10,10,1.00,SMA10_1.00,-55.06,-3.2326,58.57,20,15.0,false
Base5,W5,0.20,0,0.00,none,-53.16,-2.8425,60.51,25,20.0,false
Base5,W5,0.20,20,1.00,SMA20_1.00,-52.15,-2.9996,55.88,18,16.7,false
Base5,W5,0.20,20,1.25,SMA20_1.25,-41.24,-2.5540,45.03,10,20.0,false
Base5,W5,0.20,10,1.00,SMA10_1.00,-55.06,-3.2326,58.57,20,15.0,false
Base5,W5,0.30,0,0.00,none,-50.57,-2.7153,56.61,21,19.0,false
Base5,W5,0.30,20,1.00,SMA20_1.00,-49.43,-2.8010,53.37,16,18.8,false
Base5,W5,0.30,20,1.25,SMA20_1.25,-41.24,-2.5540,45.03,10,20.0,false
Base5,W5,0.30,10,1.00,SMA10_1.00,-50.61,-2.8955,54.47,17,17.6,false
Base5,W5,0.50,0,0.00,none,-47.18,-2.9997,48.94,15,13.3,false
Base5,W5,0.50,20,1.00,SMA20_1.00,-41.71,-2.5868,45.13,11,18.2,false
Base5,W5,0.50,20,1.25,SMA20_1.25,-35.60,-2.2607,39.76,9,22.2,false
Base5,W5,0.50,10,1.00,SMA10_1.00,-43.07,-2.6952,46.42,12,16.7,false
Base5,W5,0.75,0,0.00,none,-36.01,-2.9090,36.01,10,0.0,false
Base5,W5,0.75,20,1.00,SMA20_1.00,-32.70,-2.6161,32.70,7,0.0,false
Base5,W5,0.75,20,1.25,SMA20_1.25,-32.28,-2.5747,32.28,6,0.0,false
Base5,W5,0.75,10,1.00,SMA10_1.00,-34.28,-2.7566,34.28,8,0.0,false
Base5,W5,1.00,0,0.00,none,-30.14,-2.4977,30.14,8,0.0,false
Base5,W5,1.00,20,1.00,SMA20_1.00,-28.25,-2.3325,28.25,6,0.0,false
Base5,W5,1.00,20,1.25,SMA20_1.25,-27.81,-2.2885,27.81,5,0.0,false
