fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1.0,Legacy4,5,-20.79,-1.5701,30.60,13,23.08,false
1.0,Legacy5BNB,0,256.19,12.2237,19.66,15,66.67,true
1.0,Legacy5BNB,1,-33.86,-3.0695,38.93,12,25.00,false
1.0,Legacy5BNB,2,26.32,2.6330,17.80,13,53.85,true
1.0,Legacy5BNB,3,591.99,10.5093,17.61,13,69.23,true
1.0,Legacy5BNB,4,40.25,4.7471,32.31,11,63.64,true
1.0,Legacy5BNB,5,-39.21,-4.5341,47.42,13,30.77,false
1.0,OldGuardNoBNB,0,165.69,7.7793,36.31,15,46.67,true
1.0,OldGuardNoBNB,1,-53.06,-10.8759,53.06,12,16.67,false
1.0,OldGuardNoBNB,2,145.10,6.4165,16.39,13,53.85,true
1.0,OldGuardNoBNB,3,378.59,8.3777,34.87,14,64.29,true
1.0,OldGuardNoBNB,4,6.62,1.6185,28.55,12,58.33,true
1.0,OldGuardNoBNB,5,27.71,3.7073,25.27,12,41.67,true
1.0,LargeCaps5,0,260.27,8.1238,58.60,14,57.14,true
1.0,LargeCaps5,1,-32.15,-4.8676,32.15,11,36.36,false
1.0,LargeCaps5,2,154.56,6.5085,16.39,14,64.29,true
1.0,LargeCaps5,3,210.65,11.9938,24.93,13,69.23,true
1.0,LargeCaps5,4,109.38,9.8823,14.85,12,75.00,true
1.0,LargeCaps5,5,-14.08,-1.0059,37.03,13,38.46,false
1.0,Legacy3,0,294.61,12.0047,12.05,15,66.67,true
1.0,Legacy3,1,28.33,3.2161,25.89,13,53.85,true
1.0,Legacy3,2,-39.53,-3.1076,49.35,16,31.25,false
1.0,Legacy3,3,45.85,3.7970,70.33,15,33.33,true
1.0,Legacy3,4,-32.89,-3.4719,51.66,13,46.15,false
1.0,Legacy3,5,-46.64,-4.1846,52.97,17,23.53,false
1.0,LowVolume5,0,205.91,8.2737,24.40,16,56.25,true
1.0,LowVolume5,1,-8.91,0.1634,40.03,14,50.00,false
1.0,LowVolume5,2,462.46,10.7711,31.72,15,60.00,true
1.0,LowVolume5,3,447.02,9.5908,46.44,14,50.00,true
1.0,LowVolume5,4,-48.69,-4.6123,49.55,13,30.77,false
1.0,LowVolume5,5,-71.46,-6.4763,79.39,18,22.22,false
1.0,OldGuard4,0,210.46,8.2932,29.01,17,58.82,true
1.0,OldGuard4,1,-26.66,-2.6018,33.42,13,38.46,false
1.0,OldGuard4,2,-37.21,-2.8010,48.59,16,37.50,false
1.0,OldGuard4,3,45.85,3.7970,70.33,15,33.33,true
1.0,OldGuard4,4,-12.89,-0.7143,34.54,14,50.00,false
1.0,OldGuard4,5,-41.64,-1.9917,59.78,19,26.32,false
2.0,Base5,0,259.26,8.1121,58.64,14,57.14,true
2.0,Base5,1,762.51,7.2903,19.02,11,63.64,true
2.0,Base5,2,44.71,2.6892,29.75,15,60.00,true
2.0,Base5,3,148.23,8.8596,31.94,14,71.43,true
2.0,Base5,4,94.42,9.0117,14.87,12,75.00,true
2.0,Base5,5,-33.19,-4.7333,49.50,13,23.08,false
2.0,NoDOGE,0,259.26,8.1121,58.64,14,57.14,true
2.0,NoDOGE,1,-22.04,-3.3091,24.62,10,40.00,false
2.0,NoDOGE,2,153.85,6.4917,16.41,14,64.29,true
2.0,NoDOGE,3,173.39,9.4994,31.94,14,71.43,true
2.0,NoDOGE,4,94.42,9.0117,14.87,12,75.00,true
2.0,NoDOGE,5,-14.30,-1.0376,37.14,13,38.46,false
2.0,Legacy4,0,114.81,7.9794,19.70,16,62.50,true
2.0,Legacy4,1,-27.61,-1.2878,36.14,14,35.71,false
2.0,Legacy4,2,144.46,6.4013,16.41,13,53.85,true
2.0,Legacy4,3,377.25,8.3672,34.90,14,64.29,true
2.0,Legacy4,4,6.36,1.5879,28.67,12,58.33,true
2.0,Legacy4,5,-20.99,-1.5978,30.73,13,23.08,false
2.0,Legacy5BNB,0,255.13,12.1970,19.70,15,66.67,true
2.0,Legacy5BNB,1,-34.02,-3.0939,39.02,12,25.00,false
2.0,Legacy5BNB,2,25.99,2.6076,17.89,13,53.85,true
2.0,Legacy5BNB,3,590.19,10.4987,17.64,13,69.23,true
2.0,Legacy5BNB,4,39.94,4.7212,32.33,11,63.64,true
2.0,Legacy5BNB,5,-39.37,-4.5602,47.50,13,30.77,false
2.0,OldGuardNoBNB,0,164.89,7.7606,36.39,15,46.67,true
