cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
28,LargeCaps5,2,1.42584885,42.5849,3.434114,4.9101,27,66.6667,true
28,LargeCaps5,3,1.17094127,17.0941,1.503190,7.4482,22,63.6364,true
28,LargeCaps5,4,1.12511498,12.5115,0.988378,14.9264,29,55.1724,true
28,LargeCaps5,5,1.14716527,14.7165,1.812247,4.9021,25,48.0000,true
28,Legacy3,0,1.12517910,12.5179,1.304431,5.5639,18,66.6667,true
28,Legacy3,1,1.14246871,14.2469,2.207139,2.4367,20,65.0000,true
28,Legacy3,2,1.27295719,27.2957,2.482681,7.2106,19,63.1579,true
28,Legacy3,3,1.11899604,11.8996,1.187384,8.1814,14,71.4286,true
28,Legacy3,4,0.95159291,-4.8407,-0.623366,12.5706,20,35.0000,false
28,Legacy3,5,1.02930523,2.9305,0.905406,3.9959,15,46.6667,true
28,Legacy3,6,0.95989711,-4.0103,-1.143886,5.5729,20,35.0000,false
28,LowVolume5,0,1.13328548,13.3285,1.204805,9.0450,22,63.6364,true
28,LowVolume5,1,1.08879409,8.8794,1.317259,7.9206,23,56.5217,true
28,LowVolume5,2,1.26671013,26.6710,2.384680,6.9862,22,54.5455,true
28,LowVolume5,3,1.04881605,4.8816,0.438908,13.3681,21,52.3810,true
28,LowVolume5,4,0.92066773,-7.9332,-0.635062,22.7386,25,40.0000,false
28,LowVolume5,5,1.15559775,15.5598,1.896486,4.8580,23,47.8261,true
28,LowVolume5,6,0.91118934,-8.8811,-2.114725,10.4063,23,30.4348,false
28,OldGuard4,0,1.07035048,7.0350,0.760153,10.2873,21,61.9048,true
28,OldGuard4,1,1.08616305,8.6163,1.328705,3.0603,23,56.5217,true
28,OldGuard4,2,1.27455883,27.4559,2.498835,7.8954,24,54.1667,true
28,OldGuard4,3,1.17711380,17.7114,1.307680,8.1814,20,60.0000,true
28,OldGuard4,4,0.95115907,-4.8841,-0.396720,20.3560,25,32.0000,false
28,OldGuard4,5,1.01618325,1.6183,0.443229,5.9215,20,45.0000,true
28,OldGuard4,6,0.95279574,-4.7204,-1.134865,7.7265,25,36.0000,false
29,Base5,0,1.17320568,17.3206,1.367611,6.3690,23,60.8696,true
29,Base5,1,1.11211958,11.2120,1.286486,6.9139,28,53.5714,true
29,Base5,2,1.33928353,33.9284,3.189060,2.5839,25,64.0000,true
29,Base5,3,1.28279360,28.2794,2.384523,7.9999,22,63.6364,true
29,Base5,4,1.12175796,12.1758,0.878766,11.8431,29,58.6207,true
29,Base5,5,1.11705285,11.7053,1.434871,5.9145,28,53.5714,true
29,NoDOGE,0,1.25102599,25.1026,2.192280,3.9782,20,70.0000,true
29,NoDOGE,1,1.12122674,12.1227,1.388451,6.9139,25,56.0000,true
29,NoDOGE,2,1.27984172,27.9842,2.749476,4.2320,22,63.6364,true
29,NoDOGE,3,1.25146511,25.1465,2.216292,7.9999,19,68.4211,true
29,NoDOGE,4,1.10024712,10.0247,0.840615,12.9725,25,56.0000,true
29,NoDOGE,5,1.12419190,12.4192,1.627353,4.3218,22,54.5455,true
29,Legacy4,0,1.21435568,21.4356,1.839660,6.0982,22,63.6364,true
29,Legacy4,1,1.09992087,9.9921,1.515624,4.8133,26,53.8462,true
29,Legacy4,2,1.49754276,49.7543,4.002138,3.9394,21,71.4286,true
29,Legacy4,3,1.13595831,13.5958,1.278455,8.1814,17,70.5882,true
29,Legacy4,4,1.03117981,3.1180,0.374501,9.5194,25,44.0000,true
29,Legacy4,5,1.00652949,0.6529,0.204528,3.6324,19,47.3684,true
29,Legacy4,6,0.95742175,-4.2578,-1.042158,8.0694,25,40.0000,false
29,Legacy5BNB,0,1.25228031,25.2280,1.922414,6.0982,26,61.5385,true
29,Legacy5BNB,1,1.05313690,5.3137,0.829665,4.8089,32,46.8750,true
29,Legacy5BNB,2,1.70614034,70.6140,4.554329,3.9394,25,76.0000,true
29,Legacy5BNB,3,1.11220980,11.2210,0.879593,13.3995,20,70.0000,true
29,Legacy5BNB,4,1.07871208,7.8712,0.765935,13.4399,29,44.8276,true
29,Legacy5BNB,5,0.99354232,-0.6458,-0.133480,4.3303,22,40.9091,false
29,Legacy5BNB,6,0.94416310,-5.5837,-1.189183,9.3242,32,40.6250,false
29,OldGuardNoBNB,0,1.17752398,17.7524,1.487698,7.2048,24,62.5000,true
29,OldGuardNoBNB,1,1.04571215,4.5712,0.710962,5.2078,29,48.2759,true
29,OldGuardNoBNB,2,1.49942698,49.9427,4.020123,4.6484,26,61.5385,true
29,OldGuardNoBNB,3,1.17942618,17.9426,1.326198,8.1814,22,63.6364,true
29,OldGuardNoBNB,4,1.06464265,6.4643,0.583953,17.4567,30,43.3333,true
29,OldGuardNoBNB,5,0.99369786,-0.6302,-0.113862,5.4892,24,45.8333,false
