universe,window,bar,equity
Base5_2,2,25,0.914123
Base5_2,2,26,0.914123
Base5_2,2,27,0.914123
Base5_2,2,28,0.914123
Base5_2,2,29,0.914123
Base5_2,2,30,0.914123
Base5_2,2,31,0.914123
Base5_2,2,32,1.159794
Base5_2,2,33,1.085852
Base5_2,2,34,0.856870
Base5_2,2,35,0.856870
Base5_2,2,36,0.856870
Base5_2,2,37,0.856870
Base5_2,2,38,0.856870
Base5_2,2,39,0.856870
Base5_2,2,40,0.856870
Base5_2,2,41,0.856870
Base5_2,2,42,0.856870
Base5_2,2,43,0.856870
Base5_2,2,44,0.856870
Base5_2,2,45,0.856870
Base5_2,2,46,0.856870
Base5_2,2,47,0.856870
Base5_2,2,48,0.856870
Base5_2,2,49,0.856870
Base5_2,2,50,1.096266
Base5_2,2,51,1.096266
Base5_2,2,52,0.880107
Base5_2,2,53,0.877793
Base5_2,2,54,0.877793
Base5_2,2,55,0.874099
Base5_2,2,56,0.874099
Base5_2,2,57,0.874099
Base5_2,2,58,0.874099
Base5_2,2,59,0.874099
Base5_2,2,60,0.874099
Base5_2,2,61,0.874099
Base5_2,2,62,0.874099
Base5_2,2,63,0.874099
Base5_2,2,64,0.874099
Base5_2,2,65,0.874099
Base5_2,2,66,0.701265
Base5_2,2,67,0.701265
Base5_2,2,68,0.701265
Base5_2,2,69,0.701265
Base5_2,2,70,0.701265
Base5_2,2,71,0.701265
Base5_2,2,72,0.701265
Base5_2,2,73,0.701265
Base5_2,2,74,0.701265
Base5_2,2,75,0.701265
Base5_2,2,76,0.701265
Base5_2,2,77,0.701265
Base5_2,2,78,0.701265
Base5_2,2,79,0.701265
Base5_2,2,80,0.701265
Base5_2,2,81,0.701265
Base5_2,2,82,0.701265
Base5_2,2,83,0.701265
Base5_2,2,84,0.701265
Base5_2,2,85,0.701265
Base5_2,2,86,0.701265
Base5_2,2,87,0.701265
Base5_2,2,88,0.701265
Base5_2,2,89,0.701265
Base5_2,2,90,0.701265
Base5_2,2,91,0.701265
Base5_2,2,92,0.701265
Base5_2,2,93,0.701265
Base5_2,2,94,0.701265
Base5_2,2,95,0.701265
Base5_2,2,96,0.701265
Base5_2,2,97,0.701265
Base5_2,2,98,0.701265
Base5_2,2,99,0.701265
Base5_2,2,100,0.701265
Base5_2,2,101,0.701265
Base5_2,2,102,0.701265
Base5_2,2,103,1.162383
Base5_3,3,0,1.000000
Base5_3,3,1,1.000000
Base5_3,3,2,1.000000
Base5_3,3,3,1.222907
Base5_3,3,4,1.222907
Base5_3,3,5,1.222907
Base5_3,3,6,1.222907
Base5_3,3,7,2.198246
Base5_3,3,8,2.198246
Base5_3,3,9,2.198246
Base5_3,3,10,2.198246
Base5_3,3,11,2.198246
Base5_3,3,12,2.198246
Base5_3,3,13,2.198246
Base5_3,3,14,2.198246
Base5_3,3,15,1.788659
Base5_3,3,16,1.788659
Base5_3,3,17,1.788659
Base5_3,3,18,2.026777
Base5_3,3,19,2.050813
Base5_3,3,20,2.050813
Base5_3,3,21,2.050813
Base5_3,3,22,2.050813
Base5_3,3,23,2.050813
Base5_3,3,24,2.050813
Base5_3,3,25,2.050813
Base5_3,3,26,2.050813
Base5_3,3,27,2.050813
Base5_3,3,28,2.050813
Base5_3,3,29,2.050813
Base5_3,3,30,2.050813
Base5_3,3,31,1.919829
Base5_3,3,32,1.919829
Base5_3,3,33,1.919829
Base5_3,3,34,1.919829
Base5_3,3,35,1.919829
Base5_3,3,36,1.919829
Base5_3,3,37,1.919829
Base5_3,3,38,1.919829
Base5_3,3,39,1.919829
Base5_3,3,40,1.919829
Base5_3,3,41,2.180863
Base5_3,3,42,2.090767
Base5_3,3,43,2.777500
Base5_3,3,44,3.724723
Base5_3,3,45,3.724723
Base5_3,3,46,3.724723
Base5_3,3,47,3.724723
Base5_3,3,48,3.724723
Base5_3,3,49,3.724723
Base5_3,3,50,3.724723
Base5_3,3,51,3.724723
Base5_3,3,52,3.724723
Base5_3,3,53,3.724723
Base5_3,3,54,3.724723
Base5_3,3,55,3.601442
Base5_3,3,56,3.239883
Base5_3,3,57,3.239883
Base5_3,3,58,3.355219
Base5_3,3,59,2.863211
Base5_3,3,60,2.863211
Base5_3,3,61,2.863211
Base5_3,3,62,2.863211
Base5_3,3,63,2.863211
Base5_3,3,64,2.863211
Base5_3,3,65,2.863211
Base5_3,3,66,2.863211
Base5_3,3,67,2.863211
Base5_3,3,68,2.863211
Base5_3,3,69,2.863211
Base5_3,3,70,2.863211
Base5_3,3,71,2.863211
Base5_3,3,72,2.863211
Base5_3,3,73,2.863211
Base5_3,3,74,2.685803
Base5_4,4,0,1.000000
Base5_4,4,1,1.000000
Base5_4,4,2,1.000000
Base5_4,4,3,1.000000
Base5_4,4,4,1.000000
Base5_4,4,5,1.000000
Base5_4,4,6,1.000000
Base5_4,4,7,1.000000
Base5_4,4,8,1.000000
Base5_4,4,9,1.000000
Base5_4,4,10,1.000000
Base5_4,4,11,1.000000
Base5_4,4,12,1.000000
Base5_4,4,13,1.000000
Base5_4,4,14,1.000000
Base5_4,4,15,1.079874
Base5_4,4,16,1.361175
Base5_4,4,17,1.361175
Base5_4,4,18,1.361175
Base5_4,4,19,1.361175
Base5_4,4,20,1.361175
Base5_4,4,21,1.361175
Base5_4,4,22,1.361175
Base5_4,4,23,1.361175
Base5_4,4,24,1.361175
Base5_4,4,25,1.361175
Base5_4,4,26,1.159268
Base5_4,4,27,1.159268
Base5_4,4,28,1.159268
Base5_4,4,29,1.159268
Base5_4,4,30,1.159268
Base5_4,4,31,1.159268
Base5_4,4,32,1.159268
Base5_4,4,33,1.159268
Base5_4,4,34,1.429233
Base5_4,4,35,1.443858
Base5_4,4,36,1.443858
Base5_4,4,37,1.443858
Base5_4,4,38,1.443858
Base5_4,4,39,1.443858
Base5_4,4,40,1.443858
Base5_4,4,41,1.443858
Base5_4,4,42,1.443858
Base5_4,4,43,1.443858
Base5_4,4,44,1.443858
Base5_4,4,45,1.443858
Base5_4,4,46,1.443858
Base5_4,4,47,1.443858
Base5_4,4,48,1.443858
Base5_4,4,49,1.443858
Base5_4,4,50,1.443858
Base5_4,4,51,1.443858
Base5_4,4,52,1.443858
Base5_4,4,53,1.443858
Base5_4,4,54,1.443858
Base5_4,4,55,1.443858
Base5_4,4,56,1.443858
Base5_4,4,57,1.443858
Base5_4,4,58,1.443858
Base5_4,4,59,1.443858
Base5_4,4,60,1.443858
Base5_4,4,61,1.443858
Base5_4,4,62,1.443858
Base5_4,4,63,1.443858
Base5_4,4,64,1.443858
Base5_4,4,65,1.443858
Base5_4,4,66,1.443858
