em,universe,window,bar_idx,equity
1.26,OldGuardNoBNB,1,30,0.51381166
1.26,OldGuardNoBNB,1,40,0.51381166
1.26,OldGuardNoBNB,1,50,0.51381166
1.26,OldGuardNoBNB,1,60,0.51381166
1.26,OldGuardNoBNB,1,70,0.51381166
1.26,OldGuardNoBNB,1,80,0.47173574
1.26,OldGuardNoBNB,1,90,0.47173574
1.26,OldGuardNoBNB,1,100,0.47103044
1.26,OldGuardNoBNB,1,110,0.42522313
1.26,OldGuardNoBNB,1,120,0.42522313
1.26,OldGuardNoBNB,1,130,0.42522313
1.26,OldGuardNoBNB,1,140,0.42522313
1.26,OldGuardNoBNB,1,150,0.40992674
1.26,OldGuardNoBNB,1,160,0.56850228
1.26,OldGuardNoBNB,2,0,1.00000000
1.26,OldGuardNoBNB,2,10,1.00000000
1.26,OldGuardNoBNB,2,20,1.00000000
1.26,OldGuardNoBNB,2,30,1.00000000
1.26,OldGuardNoBNB,2,40,1.00861060
1.26,OldGuardNoBNB,2,50,0.96063938
1.26,OldGuardNoBNB,2,60,0.93655046
1.26,OldGuardNoBNB,2,70,0.93655046
1.26,OldGuardNoBNB,2,80,0.93655046
1.26,OldGuardNoBNB,2,90,0.93655046
1.26,OldGuardNoBNB,2,100,1.38351947
1.26,OldGuardNoBNB,2,110,1.38351947
1.26,OldGuardNoBNB,2,120,2.64391406
1.26,OldGuardNoBNB,2,130,2.64391406
1.26,OldGuardNoBNB,2,140,2.64391406
1.26,OldGuardNoBNB,2,150,2.64391406
1.26,OldGuardNoBNB,3,0,1.00000000
1.26,OldGuardNoBNB,3,10,1.02695755
1.26,OldGuardNoBNB,3,20,1.02695755
1.26,OldGuardNoBNB,3,30,1.08180034
1.26,OldGuardNoBNB,3,40,1.08180034
1.26,OldGuardNoBNB,3,50,1.33918673
1.26,OldGuardNoBNB,3,60,1.33918673
1.26,OldGuardNoBNB,3,70,1.33918673
1.26,OldGuardNoBNB,3,80,1.33918673
1.26,OldGuardNoBNB,3,90,1.57790917
1.26,OldGuardNoBNB,3,100,1.64738051
1.26,OldGuardNoBNB,3,110,1.37962161
1.26,OldGuardNoBNB,3,120,1.37962161
1.26,OldGuardNoBNB,3,130,1.37962161
1.26,OldGuardNoBNB,3,140,1.37962161
1.26,OldGuardNoBNB,3,150,1.37962161
1.26,OldGuardNoBNB,4,0,1.00000000
1.26,OldGuardNoBNB,4,10,1.00000000
1.26,OldGuardNoBNB,4,20,1.03939803
1.26,OldGuardNoBNB,4,30,0.87155465
1.26,OldGuardNoBNB,4,40,0.87155465
1.26,OldGuardNoBNB,4,50,0.87155465
1.26,OldGuardNoBNB,4,60,1.11717310
1.26,OldGuardNoBNB,4,70,1.12010019
1.26,OldGuardNoBNB,4,80,1.12010019
1.26,OldGuardNoBNB,4,90,1.12010019
1.26,OldGuardNoBNB,4,100,1.12010019
1.26,OldGuardNoBNB,4,110,1.12010019
1.26,OldGuardNoBNB,4,120,1.12010019
1.26,OldGuardNoBNB,4,130,1.12010019
1.26,OldGuardNoBNB,4,140,1.12010019
1.26,OldGuardNoBNB,4,150,1.12010019
1.26,OldGuardNoBNB,4,160,1.12010019
1.26,OldGuardNoBNB,4,170,1.12010019
1.26,OldGuardNoBNB,4,180,1.12010019
1.26,OldGuardNoBNB,4,190,1.12010019
1.26,OldGuardNoBNB,5,0,1.00000000
1.26,OldGuardNoBNB,5,10,1.00000000
1.26,OldGuardNoBNB,5,20,1.00000000
1.26,OldGuardNoBNB,5,30,1.00000000
1.26,OldGuardNoBNB,5,40,1.00000000
1.26,OldGuardNoBNB,5,50,0.83157054
1.26,OldGuardNoBNB,5,60,0.83157054
1.26,OldGuardNoBNB,5,70,0.83157054
1.26,OldGuardNoBNB,5,80,0.90086809
1.26,OldGuardNoBNB,5,90,1.14393670
1.26,OldGuardNoBNB,5,100,1.14393670
1.26,OldGuardNoBNB,5,110,1.14393670
1.26,OldGuardNoBNB,5,120,1.14393670
1.26,OldGuardNoBNB,5,130,1.14393670
1.26,OldGuardNoBNB,5,140,1.14393670
1.26,OldGuardNoBNB,5,150,1.14393670
1.26,OldGuardNoBNB,5,160,1.14393670
1.26,OldGuardNoBNB,5,170,1.14393670
1.26,OldGuardNoBNB,5,180,1.22885386
1.26,OldGuardNoBNB,5,190,1.22885386
1.26,LargeCaps5,0,0,1.00000000
1.26,LargeCaps5,0,10,1.15629820
1.26,LargeCaps5,0,20,1.15629820
1.26,LargeCaps5,0,30,1.15629820
1.26,LargeCaps5,0,40,1.15629820
1.26,LargeCaps5,0,50,1.15629820
1.26,LargeCaps5,0,60,1.01981504
1.26,LargeCaps5,0,70,1.01981504
1.26,LargeCaps5,0,80,1.01981504
