ap,universe,window,equity,sharpe,dd_pct,trades
11,LargeCaps5,2,1.614881,6.4829,0.00,11
11,LargeCaps5,3,1.861828,7.0884,0.00,12
11,LargeCaps5,4,1.257956,5.5822,0.00,8
11,LargeCaps5,5,0.900683,-0.6799,9.93,7
11,LargeCaps5,6,1.729319,20.3490,0.00,8
11,Legacy3,0,1.757162,11.7363,0.00,9
11,Legacy3,1,1.661283,7.4325,0.00,12
11,Legacy3,2,4.293231,8.4204,0.00,11
11,Legacy3,3,1.699291,7.4512,0.00,10
11,Legacy3,4,0.663945,-11.9451,33.61,6
11,Legacy3,5,1.495478,7.4394,0.00,8
11,Legacy3,6,0.950023,0.3522,5.00,12
11,LowVolume5,0,0.752227,-1.9640,24.78,10
11,LowVolume5,1,1.054945,1.9669,0.00,12
11,LowVolume5,2,10.401292,14.4007,0.00,12
11,LowVolume5,3,1.304586,4.3984,0.00,10
11,LowVolume5,4,0.432362,-11.5478,56.76,10
11,LowVolume5,5,0.975645,1.4107,2.44,10
11,LowVolume5,6,0.775848,-1.1017,22.42,12
11,OldGuard4,0,1.608811,8.9909,0.00,9
11,OldGuard4,1,1.431825,7.1287,0.00,12
11,OldGuard4,2,4.293231,8.4204,0.00,11
11,OldGuard4,3,1.699291,7.4512,0.00,10
11,OldGuard4,4,1.293958,4.7378,0.00,8
11,OldGuard4,5,1.433097,6.6757,0.00,8
11,OldGuard4,6,0.931610,0.0603,6.84,12
12,Base5,0,5.918847,16.4946,0.00,7
12,Base5,1,3.781693,5.5597,0.00,11
12,Base5,2,2.026307,10.1970,0.00,10
12,Base5,3,2.349222,8.4033,0.00,13
12,Base5,4,1.450536,9.5325,0.00,8
12,Base5,5,1.291022,9.1420,0.00,6
12,Base5,6,1.261789,6.0792,0.00,8
12,NoDOGE,0,5.918847,16.4946,0.00,7
12,NoDOGE,1,1.051336,2.5535,0.00,8
12,NoDOGE,2,1.614881,6.4829,0.00,11
12,NoDOGE,3,2.349222,8.4033,0.00,13
12,NoDOGE,4,1.450536,9.5325,0.00,8
12,NoDOGE,5,1.291022,9.1420,0.00,6
12,NoDOGE,6,1.595010,18.6549,0.00,7
12,Legacy4,0,1.848535,16.3461,0.00,7
12,Legacy4,1,1.188412,4.0684,0.00,11
12,Legacy4,2,12.633940,15.3754,0.00,10
12,Legacy4,3,1.847944,8.0017,0.00,10
12,Legacy4,4,0.896121,-1.9751,10.39,6
12,Legacy4,5,1.793360,14.5069,0.00,6
12,Legacy4,6,1.335040,7.0892,0.00,9
12,Legacy5BNB,0,1.544205,12.1322,0.00,6
12,Legacy5BNB,1,0.933506,-0.9511,6.65,10
12,Legacy5BNB,2,12.633940,15.3754,0.00,10
12,Legacy5BNB,3,1.397313,5.6425,0.00,9
12,Legacy5BNB,4,1.191252,16.4581,0.00,3
12,Legacy5BNB,5,1.318700,11.2303,0.00,5
12,Legacy5BNB,6,1.335040,7.0892,0.00,9
12,OldGuardNoBNB,0,1.505980,7.5663,0.00,9
12,OldGuardNoBNB,1,0.947078,-1.2114,5.29,8
12,OldGuardNoBNB,2,12.633940,15.3754,0.00,10
12,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
12,OldGuardNoBNB,4,0.885108,-2.1520,11.49,7
12,OldGuardNoBNB,5,0.904309,-0.0997,9.57,6
12,OldGuardNoBNB,6,1.335040,7.0892,0.00,9
12,LargeCaps5,0,5.416588,15.4613,0.00,7
12,LargeCaps5,1,1.051336,2.5535,0.00,8
12,LargeCaps5,2,1.614881,6.4829,0.00,11
12,LargeCaps5,3,1.783089,7.0272,0.00,11
12,LargeCaps5,4,1.450536,9.5325,0.00,8
12,LargeCaps5,5,1.291022,9.1420,0.00,6
12,LargeCaps5,6,1.595010,18.6549,0.00,7
12,Legacy3,0,1.880261,15.1349,0.00,8
12,Legacy3,1,1.826318,9.6119,0.00,11
12,Legacy3,2,3.794862,7.9094,0.00,12
12,Legacy3,3,1.699291,7.4512,0.00,10
12,Legacy3,4,0.821560,-8.0585,17.84,6
12,Legacy3,5,2.031166,16.0697,0.00,7
12,Legacy3,6,0.989560,0.9757,1.04,11
12,LowVolume5,0,0.804924,-1.2231,19.51,9
12,LowVolume5,1,1.053624,2.0520,0.00,11
12,LowVolume5,2,9.321866,13.6162,0.00,12
12,LowVolume5,3,1.119474,2.9502,0.00,10
12,LowVolume5,4,0.678747,-6.8949,32.13,9
12,LowVolume5,5,0.903103,0.5300,9.69,9
12,LowVolume5,6,0.780783,-1.0566,21.92,12
12,OldGuard4,0,1.608811,8.9909,0.00,9
12,OldGuard4,1,1.162970,3.7699,0.00,11
12,OldGuard4,2,3.794862,7.9094,0.00,12
12,OldGuard4,3,1.699291,7.4512,0.00,10
12,OldGuard4,4,1.630101,7.6527,0.00,8
12,OldGuard4,5,2.031166,16.0697,0.00,7
12,OldGuard4,6,0.970381,0.6737,2.96,11
13,Base5,0,2.645137,10.1391,0.00,8
13,Base5,1,2.163631,5.0348,0.00,11
13,Base5,2,2.026307,10.1970,0.00,10
13,Base5,3,2.011511,7.0324,0.00,13
13,Base5,4,1.363801,7.5891,0.00,8
13,Base5,5,1.070503,2.7137,0.00,7
13,Base5,6,1.261789,6.0792,0.00,8
13,NoDOGE,0,2.645137,10.1391,0.00,8
13,NoDOGE,1,1.051336,2.5535,0.00,8
13,NoDOGE,2,1.614881,6.4829,0.00,11
13,NoDOGE,3,2.011511,7.0324,0.00,13
13,NoDOGE,4,1.363801,7.5891,0.00,8
13,NoDOGE,5,1.070503,2.7137,0.00,7
13,NoDOGE,6,1.595010,18.6549,0.00,7
13,Legacy4,0,1.821666,15.7169,0.00,7
13,Legacy4,1,1.188412,4.0684,0.00,11
13,Legacy4,2,13.063815,14.1960,0.00,10
13,Legacy4,3,1.847944,8.0017,0.00,10
13,Legacy4,4,0.765809,-5.1858,23.42,7
13,Legacy4,5,1.584375,10.0657,0.00,7
13,Legacy4,6,1.335040,7.0892,0.00,9
13,Legacy5BNB,0,1.922752,16.2202,0.00,6
13,Legacy5BNB,1,0.933506,-0.9511,6.65,10
13,Legacy5BNB,2,13.063815,14.1960,0.00,10
13,Legacy5BNB,3,1.397313,5.6425,0.00,9
13,Legacy5BNB,4,1.032711,2.4752,0.00,4
13,Legacy5BNB,5,1.165028,5.8934,0.00,6
13,Legacy5BNB,6,1.335040,7.0892,0.00,9
13,OldGuardNoBNB,0,1.831261,9.8058,0.00,9
13,OldGuardNoBNB,1,0.947078,-1.2114,5.29,8
13,OldGuardNoBNB,2,13.063815,14.1960,0.00,10
13,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
13,OldGuardNoBNB,4,0.756397,-5.1191,24.36,8
13,OldGuardNoBNB,5,0.798927,-2.4101,20.11,7
13,OldGuardNoBNB,6,1.335040,7.0892,0.00,9
13,LargeCaps5,0,2.420677,9.2917,0.00,8
13,LargeCaps5,1,1.051336,2.5535,0.00,8
13,LargeCaps5,2,1.614881,6.4829,0.00,11
13,LargeCaps5,3,1.783089,7.0272,0.00,11
13,LargeCaps5,4,1.363801,7.5891,0.00,8
13,LargeCaps5,5,1.070503,2.7137,0.00,7
13,LargeCaps5,6,1.595010,18.6549,0.00,7
13,Legacy3,0,1.757162,11.7363,0.00,9
13,Legacy3,1,1.259373,4.7201,0.00,11
13,Legacy3,2,3.923984,7.6802,0.00,12
13,Legacy3,3,2.056956,11.0673,0.00,9
13,Legacy3,4,0.647306,-11.9370,35.27,7
13,Legacy3,5,1.827297,11.9642,0.00,8
13,Legacy3,6,1.268667,5.6688,0.00,10
13,LowVolume5,0,0.752227,-1.9640,24.78,10
13,LowVolume5,1,0.785395,-1.4747,21.46,11
13,LowVolume5,2,9.321866,13.6162,0.00,12
13,LowVolume5,3,1.481026,5.5314,0.00,10
13,LowVolume5,4,0.419034,-13.0183,58.10,10
13,LowVolume5,5,1.125003,2.9856,0.00,10
13,LowVolume5,6,1.131138,2.6820,0.00,11
13,OldGuard4,0,1.608811,8.9909,0.00,9
13,OldGuard4,1,1.162970,3.7699,0.00,11
13,OldGuard4,2,3.923984,7.6802,0.00,12
13,OldGuard4,3,2.056956,11.0673,0.00,9
13,OldGuard4,4,1.261530,4.1724,0.00,9
13,OldGuard4,5,1.827297,11.9642,0.00,8
13,OldGuard4,6,1.244078,5.2834,0.00,10
14,Base5,0,2.645137,10.1391,0.00,8
14,Base5,1,2.163631,5.0348,0.00,11
14,Base5,2,1.812149,8.8747,0.00,10
14,Base5,3,2.462264,8.8175,0.00,13
14,Base5,4,1.573170,13.6653,0.00,7
14,Base5,5,0.889813,-1.5289,11.02,7
14,Base5,6,1.261789,6.0792,0.00,8
14,NoDOGE,0,2.645137,10.1391,0.00,8
14,NoDOGE,1,1.051336,2.5535,0.00,8
14,NoDOGE,2,1.444206,5.3623,0.00,11
14,NoDOGE,3,2.462264,8.8175,0.00,13
14,NoDOGE,4,1.573170,13.6653,0.00,7
14,NoDOGE,5,0.889813,-1.5289,11.02,7
14,NoDOGE,6,1.595010,18.6549,0.00,7
14,Legacy4,0,1.821666,15.7169,0.00,7
14,Legacy4,1,1.188412,4.0684,0.00,11
14,Legacy4,2,11.683114,13.5308,0.00,10
14,Legacy4,3,1.847944,8.0017,0.00,10
14,Legacy4,4,1.020360,1.5607,0.00,6
14,Legacy4,5,1.316949,6.1185,0.00,7
14,Legacy4,6,1.327410,8.2338,0.00,8
14,Legacy5BNB,0,1.521760,11.6140,0.00,6
14,Legacy5BNB,1,0.933506,-0.9511,6.65,10
14,Legacy5BNB,2,11.683114,13.5308,0.00,10
14,Legacy5BNB,3,1.397313,5.6425,0.00,9
14,Legacy5BNB,4,1.191252,16.4581,0.00,3
14,Legacy5BNB,5,0.968384,0.0043,3.16,6
14,Legacy5BNB,6,1.327410,8.2338,0.00,8
14,OldGuardNoBNB,0,1.831261,9.8058,0.00,9
14,OldGuardNoBNB,1,0.947078,-1.2114,5.29,8
14,OldGuardNoBNB,2,11.683114,13.5308,0.00,10
14,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
14,OldGuardNoBNB,4,1.007819,1.0275,0.00,7
14,OldGuardNoBNB,5,0.664077,-5.7754,33.59,7
14,OldGuardNoBNB,6,1.327410,8.2338,0.00,8
14,LargeCaps5,0,2.420677,9.2917,0.00,8
14,LargeCaps5,1,1.051336,2.5535,0.00,8
14,LargeCaps5,2,1.444206,5.3623,0.00,11
14,LargeCaps5,3,1.861828,7.0884,0.00,12
14,LargeCaps5,4,1.573170,13.6653,0.00,7
14,LargeCaps5,5,0.889813,-1.5289,11.02,7
14,LargeCaps5,6,1.595010,18.6549,0.00,7
14,Legacy3,0,1.639948,9.7667,0.00,9
14,Legacy3,1,1.259373,4.7201,0.00,11
14,Legacy3,2,3.438535,7.2066,0.00,12
14,Legacy3,3,2.056956,11.0673,0.00,9
14,Legacy3,4,0.647306,-11.9370,35.27,7
14,Legacy3,5,1.491582,7.7089,0.00,8
14,Legacy3,6,1.261418,6.4654,0.00,9
14,LowVolume5,0,0.818858,-0.9808,18.11,9
14,LowVolume5,1,0.785395,-1.4747,21.46,11
14,LowVolume5,2,15.560987,16.6403,0.00,12
14,LowVolume5,3,1.812904,7.6077,0.00,10
14,LowVolume5,4,0.466921,-12.5658,53.31,10
14,LowVolume5,5,0.976799,1.4238,2.32,10
14,LowVolume5,6,1.034318,1.5840,0.00,10
14,OldGuard4,0,1.608811,8.9909,0.00,9
14,OldGuard4,1,1.162970,3.7699,0.00,11
14,OldGuard4,2,3.438535,7.2066,0.00,12
14,OldGuard4,3,2.056956,11.0673,0.00,9
14,OldGuard4,4,1.284354,4.3296,0.00,9
14,OldGuard4,5,1.491582,7.7089,0.00,8
14,OldGuard4,6,1.086694,3.4523,0.00,9
16,Base5,0,3.578884,12.8119,0.00,8
16,Base5,1,2.163631,5.0348,0.00,11
16,Base5,2,1.393734,4.9990,0.00,11
16,Base5,3,2.462264,8.8175,0.00,13
16,Base5,4,1.488769,10.7782,0.00,7
16,Base5,5,0.982664,0.6311,1.73,7
16,Base5,6,1.261789,6.0792,0.00,8
16,NoDOGE,0,3.578884,12.8119,0.00,8
16,NoDOGE,1,1.051336,2.5535,0.00,8
16,NoDOGE,2,1.403018,5.0759,0.00,11
16,NoDOGE,3,2.462264,8.8175,0.00,13
16,NoDOGE,4,1.488769,10.7782,0.00,7
16,NoDOGE,5,0.982664,0.6311,1.73,7
16,NoDOGE,6,1.595010,18.6549,0.00,7
16,Legacy4,0,1.826579,14.0543,0.00,8
16,Legacy4,1,1.188412,4.0684,0.00,11
16,Legacy4,2,11.349918,13.3639,0.00,10
16,Legacy4,3,1.847944,8.0017,0.00,10
16,Legacy4,4,0.900452,-1.8714,9.95,5
16,Legacy4,5,1.564347,9.8038,0.00,7
16,Legacy4,6,1.441100,9.9327,0.00,8
16,Legacy5BNB,0,1.525865,10.4598,0.00,7
16,Legacy5BNB,1,0.933506,-0.9511,6.65,10
16,Legacy5BNB,2,11.349918,13.3639,0.00,10
16,Legacy5BNB,3,1.397313,5.6425,0.00,9
16,Legacy5BNB,4,1.076545,5.2593,0.00,3
16,Legacy5BNB,5,1.219777,6.8723,0.00,7
16,Legacy5BNB,6,1.441100,9.9327,0.00,8
16,OldGuardNoBNB,0,1.447927,6.9914,0.00,9
16,OldGuardNoBNB,1,1.046186,2.3011,0.00,8
16,OldGuardNoBNB,2,11.349918,13.3639,0.00,10
16,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
16,OldGuardNoBNB,4,0.889386,-2.0472,11.06,6
16,OldGuardNoBNB,5,0.788828,-2.6749,21.12,7
16,OldGuardNoBNB,6,1.441100,9.9327,0.00,8
16,LargeCaps5,0,3.275189,11.8685,0.00,8
16,LargeCaps5,1,1.051336,2.5535,0.00,8
16,LargeCaps5,2,1.403018,5.0759,0.00,11
16,LargeCaps5,3,1.861828,7.0884,0.00,12
16,LargeCaps5,4,1.488769,10.7782,0.00,7
16,LargeCaps5,5,0.982664,0.6311,1.73,7
16,LargeCaps5,6,1.595010,18.6549,0.00,7
16,Legacy3,0,1.644371,9.1363,0.00,10
16,Legacy3,1,1.407860,5.4474,0.00,11
16,Legacy3,2,3.673385,9.9795,0.00,11
16,Legacy3,3,2.056956,11.0673,0.00,9
16,Legacy3,4,0.659820,-12.1286,34.02,6
16,Legacy3,5,1.771785,11.3685,0.00,8
16,Legacy3,6,1.369455,8.0375,0.00,9
16,LowVolume5,0,1.278023,4.8686,0.00,9
16,LowVolume5,1,1.277176,4.2936,0.00,10
16,LowVolume5,2,15.560987,16.6403,0.00,12
16,LowVolume5,3,1.812904,7.6077,0.00,10
16,LowVolume5,4,0.472646,-11.7544,52.74,9
16,LowVolume5,5,0.937072,0.9200,6.29,10
16,LowVolume5,6,1.122904,2.8865,0.00,10
16,OldGuard4,0,1.566058,8.4400,0.00,9
16,OldGuard4,1,1.284670,5.9634,0.00,11
16,OldGuard4,2,3.673385,9.9795,0.00,11
16,OldGuard4,3,2.056956,11.0673,0.00,9
16,OldGuard4,4,1.285917,4.6647,0.00,8
16,OldGuard4,5,1.771785,11.3685,0.00,8
16,OldGuard4,6,1.342912,7.5924,0.00,9
18,Base5,0,4.122885,14.1649,0.00,8
18,Base5,1,4.157491,6.7741,0.00,10
18,Base5,2,1.353761,4.6388,0.00,11
18,Base5,3,2.358131,8.8538,0.00,12
18,Base5,4,1.127768,3.3829,0.00,8
