chand_period,chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,2,LargeCaps5,2,164.72,11.7278,22.60,7,57.14,true
10,2,LargeCaps5,3,83.33,5.7891,47.37,10,40.00,true
10,2,LargeCaps5,4,8.11,2.4347,13.87,7,57.14,true
10,2,LargeCaps5,5,27.22,3.4326,21.77,11,45.45,true
10,2,Legacy3,0,134.99,7.1097,28.30,12,50.00,true
10,2,Legacy3,1,23.40,3.1783,31.26,10,60.00,true
10,2,Legacy3,2,24.90,2.6077,30.65,11,27.27,true
10,2,Legacy3,3,250.75,9.8705,31.05,9,55.56,true
10,2,Legacy3,4,-49.65,-6.6309,49.65,8,12.50,false
10,2,Legacy3,5,-12.71,-1.8883,19.10,8,25.00,false
10,2,LowVolume5,0,-7.68,1.0390,48.88,14,42.86,false
10,2,LowVolume5,1,78.57,6.8873,25.35,10,70.00,true
10,2,LowVolume5,2,314.82,10.1411,17.93,11,54.55,true
10,2,LowVolume5,3,663.88,16.1977,13.54,8,62.50,true
10,2,LowVolume5,4,-41.24,-5.1990,41.24,10,20.00,false
10,2,LowVolume5,5,-19.69,-3.0761,20.24,10,20.00,false
10,2,OldGuard4,0,413.27,14.1889,22.63,11,72.73,true
10,2,OldGuard4,1,-0.28,0.6672,33.46,12,33.33,false
10,2,OldGuard4,2,32.77,2.8572,30.65,11,27.27,true
10,2,OldGuard4,3,250.75,9.8705,31.05,9,55.56,true
10,2,OldGuard4,4,-35.13,-9.7219,35.13,9,22.22,false
10,2,OldGuard4,5,-11.04,-1.6765,19.10,9,33.33,false
10,2.5,Base5,0,1.20,2.2162,56.02,8,37.50,true
10,2.5,Base5,1,-5.92,0.4402,32.60,12,25.00,false
10,2.5,Base5,2,397.91,11.4541,28.23,9,55.56,true
10,2.5,Base5,3,8.19,2.7224,54.26,9,44.44,true
10,2.5,Base5,4,-37.32,-14.9889,37.32,8,12.50,false
10,2.5,Base5,5,73.84,6.6551,12.03,9,66.67,true
10,2.5,NoDOGE,0,85.38,7.0760,40.64,7,42.86,true
10,2.5,NoDOGE,1,35.26,5.9717,16.25,6,66.67,true
10,2.5,NoDOGE,2,807.96,14.6635,17.72,7,57.14,true
10,2.5,NoDOGE,3,125.09,6.7514,26.94,8,62.50,true
10,2.5,NoDOGE,4,-29.59,-12.3524,29.59,7,14.29,false
10,2.5,NoDOGE,5,6.48,1.7343,19.41,9,44.44,true
10,2.5,Legacy4,0,175.04,16.2015,9.48,9,55.56,true
10,2.5,Legacy4,1,44.05,5.2913,30.47,9,33.33,true
10,2.5,Legacy4,2,-8.02,-1.3814,20.24,6,33.33,false
10,2.5,Legacy4,3,-52.18,-9.4849,52.18,8,25.00,false
10,2.5,Legacy4,4,-33.85,-10.4378,33.85,6,16.67,false
10,2.5,Legacy4,5,29.38,7.0745,18.03,7,71.43,true
10,2.5,Legacy5BNB,0,162.58,14.6605,9.48,9,55.56,true
10,2.5,Legacy5BNB,1,38.08,6.4720,20.93,7,57.14,true
10,2.5,Legacy5BNB,2,-11.84,-2.9692,20.24,6,33.33,false
10,2.5,Legacy5BNB,3,-18.28,0.0216,42.06,7,28.57,false
10,2.5,Legacy5BNB,4,-22.38,-3.9295,24.69,5,40.00,false
10,2.5,Legacy5BNB,5,-10.70,0.0033,26.73,8,37.50,false
10,2.5,OldGuardNoBNB,0,73.23,7.6428,22.12,11,45.45,true
10,2.5,OldGuardNoBNB,1,-68.27,-10.8265,69.39,10,30.00,false
10,2.5,OldGuardNoBNB,2,-8.02,-1.3814,20.24,6,33.33,false
10,2.5,OldGuardNoBNB,3,-52.18,-9.4849,52.18,8,25.00,false
10,2.5,OldGuardNoBNB,4,-33.85,-10.4378,33.85,6,16.67,false
10,2.5,OldGuardNoBNB,5,55.22,13.5488,8.96,7,85.71,true
10,2.5,LargeCaps5,0,184.03,9.1431,40.64,7,42.86,true
10,2.5,LargeCaps5,1,40.31,7.2160,13.12,6,66.67,true
10,2.5,LargeCaps5,2,949.71,15.1536,13.86,6,66.67,true
10,2.5,LargeCaps5,3,119.65,6.5054,32.57,8,50.00,true
10,2.5,LargeCaps5,4,-24.13,-9.0750,24.13,7,42.86,false
10,2.5,LargeCaps5,5,6.48,1.7343,19.41,9,44.44,true
10,2.5,Legacy3,0,67.38,6.0233,34.38,10,40.00,true
10,2.5,Legacy3,1,13.10,2.7399,39.48,8,37.50,true
10,2.5,Legacy3,2,42.34,4.5674,26.12,8,25.00,true
10,2.5,Legacy3,3,33.93,4.5984,43.53,9,44.44,true
10,2.5,Legacy3,4,-22.95,-5.8990,28.06,5,20.00,false
10,2.5,Legacy3,5,11.12,4.3119,11.70,5,60.00,true
10,2.5,LowVolume5,0,-51.66,-3.1109,66.48,11,27.27,false
10,2.5,LowVolume5,1,67.65,6.2605,28.77,8,50.00,true
10,2.5,LowVolume5,2,1133.68,13.9766,26.87,8,50.00,true
10,2.5,LowVolume5,3,181.20,9.9946,15.15,8,62.50,true
10,2.5,LowVolume5,4,-31.98,-5.4678,31.98,7,28.57,false
10,2.5,LowVolume5,5,0.15,1.3684,13.90,7,42.86,true
10,2.5,OldGuard4,0,112.88,10.5179,20.49,10,50.00,true
10,2.5,OldGuard4,1,-31.08,-1.9738,37.79,9,22.22,false
10,2.5,OldGuard4,2,40.21,4.4576,25.29,8,25.00,true
10,2.5,OldGuard4,3,33.93,4.5984,43.53,9,44.44,true
10,2.5,OldGuard4,4,-29.82,-7.5122,29.82,6,16.67,false
10,2.5,OldGuard4,5,13.25,4.4231,11.70,6,66.67,true
10,3,Base5,0,14.66,3.3294,53.90,7,42.86,true
10,3,Base5,1,18.18,2.2262,35.87,10,40.00,true
10,3,Base5,2,698.11,13.1706,18.61,6,66.67,true
10,3,Base5,3,12.50,2.9076,45.51,8,50.00,true
10,3,Base5,4,113.17,16.2567,13.30,5,40.00,true
10,3,Base5,5,56.53,7.7464,16.32,7,71.43,true
10,3,NoDOGE,0,160.38,8.9662,36.31,6,50.00,true
