universe,window,bar_idx,equity
Base5,1,0,1.000000
Base5,1,1,1.000000
Base5,1,2,1.000000
Base5,1,3,1.000000
Base5,1,4,1.000000
Base5,1,5,1.000000
Base5,1,6,1.000000
Base5,1,7,1.000000
Base5,1,8,1.000000
Base5,1,9,1.000000
Base5,1,10,1.000000
Base5,1,11,1.000000
Base5,1,12,1.101684
Base5,1,13,1.101684
Base5,1,14,1.101684
Base5,1,15,1.101684
Base5,1,16,1.101684
Base5,1,17,1.101684
Base5,1,18,1.101684
Base5,1,19,1.101684
Base5,1,20,1.101684
Base5,1,21,1.101684
Base5,1,22,1.101684
Base5,1,23,1.101684
Base5,1,24,1.101684
Base5,1,25,1.101684
Base5,1,26,1.101684
Base5,1,27,1.170772
Base5,1,28,1.170772
Base5,1,29,1.170772
Base5,1,30,1.170772
Base5,1,31,1.170772
Base5,1,32,1.170772
Base5,1,33,1.170772
Base5,1,34,1.170772
Base5,1,35,1.170772
Base5,1,36,1.170772
Base5,1,37,1.170772
Base5,1,38,1.170772
Base5,1,39,1.170772
Base5,1,40,1.170772
Base5,1,41,1.170772
Base5,1,42,4.244274
Base5,1,43,4.244274
Base5,1,44,4.244274
Base5,1,45,4.244274
Base5,1,46,4.244274
Base5,1,47,4.244274
Base5,1,48,4.244274
Base5,1,49,4.244274
Base5,1,50,4.244274
Base5,1,51,4.244274
Base5,1,52,4.244274
Base5,1,53,4.244274
Base5,1,54,4.244274
Base5,1,55,4.244274
Base5,1,56,4.244274
Base5,1,57,4.244274
Base5,1,58,4.244274
Base5,1,59,4.244274
Base5,1,60,4.244274
Base5,1,61,4.244274
Base5,1,62,4.244274
Base5,1,63,4.244274
Base5,1,64,4.244274
Base5,1,65,4.244274
Base5,1,66,4.244274
Base5,1,67,4.244274
Base5,1,68,4.244274
Base5,1,69,4.244274
Base5,1,70,4.244274
Base5,1,71,4.244274
Base5,1,72,4.244274
Base5,1,73,4.244274
Base5,1,74,4.244274
Base5,1,75,4.244274
Base5,1,76,4.244274
Base5,1,77,4.244274
Base5,1,78,4.343019
Base5,1,79,4.343019
Base5,1,80,4.343019
Base5,1,81,4.343019
Base5,1,82,4.343019
Base5,1,83,4.555178
Base5,1,84,4.293961
Base5,1,85,4.293961
Base5,1,86,4.293961
Base5,1,87,4.293961
Base5,1,88,4.293961
Base5,1,89,4.293961
Base5,1,90,4.293961
Base5,1,91,4.293961
Base5,1,92,4.293961
Base5,1,93,4.293961
Base5,1,94,4.293961
Base5,1,95,4.293961
Base5,1,96,4.293961
Base5,1,97,4.293961
Base5,1,98,4.293961
Base5,1,99,4.293961
Base5,1,100,4.293961
Base5,1,101,4.293961
Base5,1,102,4.293961
Base5,1,103,4.293961
Base5,1,104,4.293961
Base5,1,105,4.293961
Base5,1,106,4.293961
Base5,1,107,4.293961
Base5,1,108,5.037525
Base5,1,109,4.940946
Base5,1,110,4.940946
Base5,1,111,4.940946
Base5,1,112,4.940946
Base5,1,113,4.940946
Base5,1,114,4.940946
Base5,1,115,4.940946
Base5,1,116,4.940946
Base5,1,117,4.940946
Base5,1,118,4.940946
Base5,1,119,4.940946
Base5,1,120,4.940946
Base5,1,121,4.940946
Base5,1,122,4.940946
Base5,1,123,4.949173
Base5,1,124,4.949173
Base5,1,125,4.949173
Base5,1,126,4.949173
Base5,1,127,4.949173
Base5,1,128,4.884534
Base5,1,0,1.000000
Base5,1,1,1.000000
Base5,1,2,1.000000
Base5,1,3,1.000000
Base5,1,4,1.000000
Base5,1,5,1.000000
Base5,1,6,1.000000
Base5,1,7,1.000000
Base5,1,8,1.000000
Base5,1,9,1.000000
Base5,1,10,1.000000
Base5,1,11,1.000000
Base5,1,12,1.000000
Base5,1,13,1.000000
Base5,1,14,1.000000
Base5,1,15,1.000000
Base5,1,16,1.000000
