hedge_threshold,size_mult,hedge_atr_p,pass_count,total_windows,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
35,0.80,20,65,63,103.17,8.1803,142.15,25.64,787
45,0.85,40,65,63,103.17,8.1802,147.76,26.62,787
45,0.75,25,65,63,103.17,8.1782,132.76,25.65,787
30,0.80,10,65,63,103.17,8.1759,139.90,25.25,787
35,0.80,55,65,63,103.17,8.1747,138.75,25.69,787
45,0.75,20,65,63,103.17,8.1732,132.70,25.64,787
25,0.80,10,65,63,103.17,8.1718,136.33,25.04,787
40,0.75,55,65,63,103.17,8.1712,130.87,25.25,787
40,0.85,45,65,63,103.17,8.1694,148.17,26.53,787
50,0.85,30,65,63,103.17,8.1690,148.88,26.94,787
40,0.80,40,65,63,103.17,8.1688,139.10,25.81,787
40,0.80,35,65,63,103.17,8.1687,138.73,25.77,787
40,0.85,25,65,63,103.17,8.1682,148.94,26.81,787
35,0.65,25,65,63,103.17,8.1681,124.05,24.36,787
40,0.75,30,65,63,103.17,8.1662,131.12,25.14,787
40,0.85,50,65,63,103.17,8.1661,148.53,26.56,787
35,0.80,40,65,63,103.17,8.1660,138.62,25.74,787
35,0.65,35,65,63,103.17,8.1637,121.95,24.08,787
15,0.80,5,65,63,103.17,8.1633,131.50,24.15,787
45,0.85,30,65,63,103.17,8.1631,148.57,26.81,787
40,0.80,20,65,63,103.17,8.1630,140.67,26.05,787
55,0.85,25,65,63,103.17,8.1630,150.07,27.19,787
35,0.85,45,65,63,103.17,8.1613,147.68,26.53,787
45,0.85,35,65,63,103.17,8.1591,146.95,26.62,787
35,0.85,50,65,63,103.17,8.1588,147.94,26.53,787
30,0.75,45,65,63,103.17,8.1579,129.28,24.81,787
50,0.85,35,65,63,103.17,8.1577,147.17,26.83,787
40,0.80,60,65,63,103.17,8.1565,141.91,26.11,787
50,0.85,40,65,63,103.17,8.1560,148.02,26.86,787
45,0.80,50,65,63,103.17,8.1510,140.68,26.15,787
55,0.85,30,65,63,103.17,8.1494,149.86,27.30,787
50,0.85,20,65,63,103.17,8.1492,148.99,27.06,787
35,0.75,25,65,63,103.17,8.1485,131.57,25.14,787
45,0.80,20,65,63,103.17,8.1468,140.29,26.31,787
35,0.85,20,65,63,103.17,8.1444,149.61,26.50,787
35,0.75,35,65,63,103.17,8.1433,129.81,24.91,787
40,0.80,55,65,63,103.17,8.1427,138.79,26.01,787
30,0.85,10,65,63,103.17,8.1418,147.88,26.24,787
40,0.80,30,65,63,103.17,8.1416,139.00,25.91,787
35,0.85,55,65,63,103.17,8.1391,146.97,26.53,787
25,0.85,10,65,63,103.17,8.1385,145.18,26.08,787
40,0.85,35,65,63,103.17,8.1351,146.98,26.59,787
40,0.85,40,65,63,103.17,8.1349,147.25,26.62,787
30,0.80,45,65,63,103.17,8.1336,137.51,25.65,787
35,0.85,40,65,63,103.17,8.1331,146.88,26.57,787
40,0.85,20,65,63,103.17,8.1320,148.45,26.80,787
35,0.80,25,65,63,103.17,8.1275,139.37,25.92,787
40,0.85,60,65,63,103.17,8.1252,149.38,26.85,787
35,0.80,35,65,63,103.17,8.1222,137.96,25.73,787
45,0.85,50,65,63,103.17,8.1216,148.45,26.87,787
30,0.55,60,65,63,103.17,8.1210,105.64,22.33,787
45,0.85,20,65,63,103.17,8.1197,148.15,26.99,787
40,0.85,30,65,63,103.17,8.1160,147.16,26.69,787
30,0.55,50,65,63,103.17,8.1160,105.43,22.28,787
40,0.85,55,65,63,103.17,8.1150,147.00,26.77,787
30,0.85,45,65,63,103.17,8.1091,146.03,26.51,787
30,0.65,60,65,63,103.17,8.1061,120.78,24.01,787
35,0.85,25,65,63,103.17,8.1054,147.45,26.70,787
30,0.65,50,65,63,103.17,8.1043,120.70,23.96,787
35,0.85,35,65,63,103.17,8.1008,146.38,26.57,787
30,0.75,60,65,63,103.17,8.0966,128.79,24.86,787
30,0.75,50,65,63,103.17,8.0956,128.75,24.81,787
30,0.80,60,65,63,103.17,8.0860,137.09,25.71,787
30,0.80,50,65,63,103.17,8.0854,137.08,25.65,787
30,0.55,55,65,63,103.17,8.0841,104.23,22.34,787
30,0.65,55,65,63,103.17,8.0806,119.67,24.00,787
30,0.65,25,65,63,103.17,8.0800,122.45,24.31,787
30,0.75,25,65,63,103.17,8.0772,130.22,25.10,787
30,0.75,55,65,63,103.17,8.0760,127.83,24.84,787
30,0.55,25,65,63,103.17,8.0757,107.72,22.70,787
30,0.85,60,65,63,103.17,8.0745,145.70,26.55,787
30,0.85,50,65,63,103.17,8.0742,145.71,26.51,787
30,0.80,25,65,63,103.17,8.0721,138.28,25.88,787
30,0.80,55,65,63,103.17,8.0701,136.30,25.68,787
30,0.85,25,65,63,103.17,8.0650,146.62,26.68,787
30,0.85,55,65,63,103.17,8.0629,145.09,26.52,787
35,0.55,60,65,63,103.17,8.0564,106.59,22.89,787
35,0.65,60,65,63,103.17,8.0560,121.58,24.43,787
35,0.75,60,65,63,103.17,8.0544,129.49,25.19,787
35,0.80,60,65,63,103.17,8.0521,137.68,25.96,787
35,0.85,60,65,63,103.17,8.0490,146.17,26.73,787
60,0.50,40,64,63,101.59,8.5951,102.86,23.41,787
65,0.50,50,64,63,101.59,8.5627,107.67,23.64,787
65,0.50,40,64,63,101.59,8.5301,102.73,24.23,787
70,0.50,5,64,63,101.59,8.5224,114.67,23.55,787
70,0.50,20,64,63,101.59,8.5136,109.47,24.57,787
60,0.50,35,64,63,101.59,8.5132,102.05,23.43,787
60,0.50,45,64,63,101.59,8.5070,103.78,23.54,787
70,0.50,35,64,63,101.59,8.4916,113.72,24.65,787
65,0.50,45,64,63,101.59,8.4851,103.81,23.93,787
65,0.50,35,64,63,101.59,8.4833,108.79,23.62,787
35,0.50,45,64,63,101.59,8.4629,97.02,20.67,787
65,0.55,10,64,63,101.59,8.4597,125.13,24.50,787
60,0.50,50,64,63,101.59,8.4583,104.93,23.61,787
75,0.50,40,64,63,101.59,8.4454,115.44,25.24,787
75,0.50,35,64,63,101.59,8.4122,113.52,25.34,787
70,0.50,45,64,63,101.59,8.4034,104.36,24.54,787
35,0.50,55,64,63,101.59,8.3923,95.22,20.67,787
70,0.50,50,64,63,101.59,8.3901,104.33,24.88,787
80,0.65,10,64,63,101.59,8.3900,136.89,26.60,787
10,0.50,5,64,63,101.59,8.3883,80.32,16.15,787
0,0.50,60,64,63,101.59,8.3793,79.72,15.61,787
65,0.50,30,64,63,101.59,8.3731,105.65,24.36,787
85,0.50,60,64,63,101.59,8.3692,130.55,25.54,787
55,0.65,20,64,63,101.59,8.3578,130.39,25.34,787
75,0.50,45,64,63,101.59,8.3538,112.15,25.23,787
65,0.50,25,64,63,101.59,8.3531,106.32,24.45,787
65,0.55,15,64,63,101.59,8.3502,120.70,25.01,787
75,0.55,10,64,63,101.59,8.3491,120.16,25.81,787
75,0.65,15,64,63,101.59,8.3478,132.50,26.54,787
40,0.50,60,64,63,101.59,8.3475,102.37,21.76,787
