hold_max,global_pass,global_total,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate_pct
54,34,54,62.9630,3.344216,77.1096,31.8856,536,42.0106
55,34,54,62.9630,3.378382,78.8515,31.9082,536,41.2867
56,34,54,62.9630,3.380786,79.3741,31.9082,536,41.2867
57,34,54,62.9630,3.445822,82.1180,31.9414,536,41.2867
58,34,54,62.9630,3.386626,82.2236,31.9861,536,41.2867
59,34,54,62.9630,3.508454,87.0284,31.9087,534,42.0098
60,34,54,62.9630,3.472070,85.5427,31.9087,534,42.1950
61,34,54,62.9630,3.390499,82.2696,31.9087,534,42.1950
62,34,54,62.9630,3.388891,83.3860,31.9087,534,42.1950
63,34,54,62.9630,3.470226,85.1375,31.9087,534,42.1950
64,34,54,62.9630,3.458392,85.5496,31.9087,534,42.1950
65,34,54,62.9630,3.431904,82.6734,31.9087,534,42.1950
66,34,54,62.9630,3.388660,80.1404,31.9087,534,42.1950
67,34,54,62.9630,3.411138,80.5915,31.9087,534,42.1950
68,34,54,62.9630,3.322826,79.1895,32.0687,534,41.6394
69,34,54,62.9630,3.329376,79.2996,32.0687,534,41.6394
70,34,54,62.9630,3.364955,80.1163,32.0933,534,41.6394
71,34,54,62.9630,3.381714,80.4670,32.1292,534,41.6394
72,34,54,62.9630,3.559797,82.8996,31.8782,530,41.9743
73,34,54,62.9630,3.556466,82.7537,31.8782,530,41.9743
74,34,54,62.9630,3.515625,81.7982,31.8782,530,41.9743
75,34,54,62.9630,3.527495,82.1378,31.8856,530,41.9743
76,34,54,62.9630,3.527742,82.1155,31.8856,530,41.9743
77,34,54,62.9630,3.544464,82.4860,31.8856,530,41.9743
78,34,54,62.9630,3.488907,81.2433,31.8856,530,41.9743
79,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
80,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
81,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
82,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
83,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
84,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
85,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
86,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
87,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
88,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
89,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
90,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
91,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
92,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
93,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
94,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
95,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
96,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
97,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
98,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
99,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
100,34,54,62.9630,3.442125,80.3700,31.8856,530,41.9743
