universe,cooldown,window,ret,sharpe,trades,max_dd,pass
Legacy3,5,2,-37.78,-0.180,27,57.75,false
Legacy3,5,3,97.03,1.294,28,49.22,true
Legacy3,5,4,-23.54,-0.332,16,46.25,false
Legacy3,5,5,-72.25,-3.342,24,76.11,false
Legacy3,5,6,1.87,0.370,21,38.35,true
Legacy3,5,7,-50.07,-0.876,28,50.07,false
Legacy3,5,8,128.89,1.350,25,33.08,true
Legacy3,5,9,78.28,1.473,13,26.98,true
Legacy3,10,0,67.69,1.063,21,40.43,true
Legacy3,10,1,-35.02,-0.876,23,46.42,false
Legacy3,10,2,-28.54,-0.027,24,53.48,false
Legacy3,10,3,115.28,1.434,24,49.22,true
Legacy3,10,4,-32.00,-0.730,15,42.58,false
Legacy3,10,5,-65.27,-2.962,21,69.58,false
Legacy3,10,6,23.48,0.703,18,30.01,true
Legacy3,10,7,-47.43,-0.982,22,52.25,false
Legacy3,10,8,84.85,1.274,24,33.08,true
Legacy3,10,9,78.28,1.473,13,26.98,true
Legacy3,15,0,244.39,1.791,17,22.30,true
Legacy3,15,1,-30.06,-0.689,18,45.67,false
Legacy3,15,2,-30.26,-0.085,23,49.28,false
Legacy3,15,3,-59.20,-0.960,24,67.79,false
Legacy3,15,4,-38.59,-0.933,15,45.42,false
Legacy3,15,5,-62.24,-2.807,19,66.32,false
Legacy3,15,6,35.20,0.867,16,23.84,true
Legacy3,15,7,-46.90,-0.917,21,51.44,false
Legacy3,15,8,14.11,0.586,22,31.37,true
Legacy3,15,9,36.29,0.941,12,35.26,true
Legacy3,20,0,219.43,1.713,16,22.30,true
Legacy3,20,1,-19.11,-0.219,17,36.93,false
Legacy3,20,2,-24.05,-0.252,18,48.40,false
Legacy3,20,3,-14.94,0.271,19,60.47,true
Legacy3,20,4,-10.52,-0.091,11,23.38,false
Legacy3,20,5,-56.04,-2.537,17,60.16,false
Legacy3,20,6,54.81,1.132,14,23.84,true
Legacy3,20,7,-39.43,-0.805,18,39.43,false
Legacy3,20,8,-39.04,-0.971,19,43.15,false
Legacy3,20,9,45.32,1.073,11,26.98,true
LowVolume5,0,0,7.91,0.657,37,43.26,true
LowVolume5,0,1,-69.10,-1.343,35,73.54,false
LowVolume5,0,2,-60.46,-0.187,42,78.72,false
LowVolume5,0,3,-20.73,0.634,39,74.73,true
LowVolume5,0,4,-81.35,-3.108,27,81.90,false
LowVolume5,0,5,-71.08,-1.289,36,81.83,false
LowVolume5,0,6,-74.97,-2.395,33,77.84,false
LowVolume5,0,7,-81.98,-2.895,42,82.87,false
LowVolume5,0,8,-34.27,0.139,35,53.28,true
LowVolume5,0,9,98.24,1.655,14,15.47,true
LowVolume5,3,0,40.41,0.936,34,38.05,true
LowVolume5,3,1,-60.15,-1.064,33,62.36,false
LowVolume5,3,2,-12.74,0.502,35,73.05,true
LowVolume5,3,3,70.47,1.161,34,62.35,true
LowVolume5,3,4,-67.99,-2.312,22,70.69,false
LowVolume5,3,5,-70.22,-1.252,33,81.29,false
LowVolume5,3,6,-65.86,-1.883,30,70.34,false
LowVolume5,3,7,-78.95,-2.722,38,79.26,false
LowVolume5,3,8,-32.40,0.192,31,53.91,true
LowVolume5,3,9,102.48,1.698,13,15.02,true
LowVolume5,5,0,62.92,1.100,31,38.05,true
LowVolume5,5,1,-62.52,-1.214,32,62.52,false
LowVolume5,5,2,39.53,0.928,31,66.25,true
LowVolume5,5,3,129.39,1.359,33,44.19,true
LowVolume5,5,4,-69.65,-2.618,20,72.21,false
LowVolume5,5,5,-35.14,-0.245,27,60.85,false
LowVolume5,5,6,-65.87,-1.862,29,70.35,false
LowVolume5,5,7,-78.16,-2.669,35,78.16,false
LowVolume5,5,8,-22.75,0.323,28,55.16,true
LowVolume5,5,9,102.48,1.698,13,15.02,true
LowVolume5,10,0,-48.13,-0.300,29,59.46,false
LowVolume5,10,1,-42.51,-0.856,28,46.07,false
LowVolume5,10,2,2.43,0.591,28,62.40,true
LowVolume5,10,3,217.85,1.633,27,39.31,true
LowVolume5,10,4,-72.30,-2.921,19,74.64,false
LowVolume5,10,5,-19.90,0.056,25,56.30,true
LowVolume5,10,6,-35.64,-0.662,24,50.01,false
LowVolume5,10,7,-69.33,-2.250,28,71.83,false
LowVolume5,10,8,9.17,0.582,24,49.19,true
LowVolume5,10,9,102.48,1.698,13,15.02,true
LowVolume5,15,0,23.00,0.757,26,38.77,true
LowVolume5,15,1,-37.41,-0.624,23,44.51,false
LowVolume5,15,2,12.44,0.681,26,55.75,true
LowVolume5,15,3,-75.35,-1.177,28,79.79,false
LowVolume5,15,4,-60.11,-2.248,16,63.48,false
LowVolume5,15,5,-61.04,-1.705,23,73.04,false
LowVolume5,15,6,-26.47,-0.403,22,45.20,false
LowVolume5,15,7,-72.20,-2.384,26,73.70,false
LowVolume5,15,8,-43.84,-0.528,22,53.19,false
LowVolume5,15,9,51.66,1.138,13,23.44,true
LowVolume5,20,0,52.52,1.027,22,29.59,true
LowVolume5,20,1,-41.73,-0.764,21,46.21,false
LowVolume5,20,2,-40.22,-0.293,23,62.95,false
LowVolume5,20,3,-39.93,-0.260,22,59.19,false
LowVolume5,20,4,-57.14,-2.277,15,58.32,false
LowVolume5,20,5,-54.32,-1.402,21,68.39,false
LowVolume5,20,6,-1.20,0.229,20,44.65,true
LowVolume5,20,7,-57.96,-1.915,20,62.34,false
LowVolume5,20,8,-62.36,-1.811,19,62.36,false
LowVolume5,20,9,61.71,1.269,12,15.02,true
OldGuard4,0,0,39.47,0.913,36,61.27,true
OldGuard4,0,1,-61.60,-1.114,34,67.48,false
OldGuard4,0,2,-73.75,-1.157,37,75.72,false
OldGuard4,0,3,-62.80,-0.342,41,69.77,false
OldGuard4,0,4,-68.57,-1.885,28,71.87,false
OldGuard4,0,5,-78.66,-1.925,38,83.63,false
OldGuard4,0,6,-45.52,-0.452,30,63.38,false
OldGuard4,0,7,-71.03,-1.452,40,71.45,false
OldGuard4,0,8,27.92,0.769,32,38.98,true
OldGuard4,0,9,74.54,1.430,14,28.51,true
OldGuard4,3,0,104.94,1.257,32,45.42,true
OldGuard4,3,1,-48.52,-0.725,31,57.45,false
OldGuard4,3,2,-63.82,-0.822,33,65.89,false
