cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
6,LowVolume5,2,490.4266,10.662184,28.91,15,53.33,5.904266,true
6,LowVolume5,3,833.3183,12.554944,27.06,14,64.29,9.333183,true
6,LowVolume5,4,-72.7277,-7.949598,74.61,15,20.00,0.272723,false
6,LowVolume5,5,-80.4620,-8.511400,80.95,19,15.79,0.195380,false
6,OldGuard4,0,392.8143,9.688678,28.08,20,65.00,4.928143,true
6,OldGuard4,1,61.7481,7.362831,17.54,12,66.67,1.617481,true
6,OldGuard4,2,166.0159,7.857903,29.72,13,53.85,2.660159,true
6,OldGuard4,3,29.8963,3.537444,35.77,14,42.86,1.298963,true
6,OldGuard4,4,-34.4983,-3.660634,43.82,13,30.77,0.655017,false
6,OldGuard4,5,-56.4668,-5.067898,61.64,17,17.65,0.435332,false
7,Base5,0,99.7040,5.310459,48.00,16,43.75,1.997040,true
7,Base5,1,1082.5159,7.237650,8.73,12,75.00,11.825159,true
7,Base5,2,799.2922,14.846088,10.71,12,83.33,8.992922,true
7,Base5,3,423.0398,11.041523,23.98,15,60.00,5.230398,true
7,Base5,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
7,Base5,5,-7.8534,0.660116,42.45,15,33.33,0.921466,false
7,NoDOGE,0,99.7040,5.310459,48.00,16,43.75,1.997040,true
7,NoDOGE,1,-23.0565,-2.192257,41.99,10,40.00,0.769435,false
7,NoDOGE,2,257.1164,8.225379,21.92,15,46.67,3.571164,true
7,NoDOGE,3,664.0103,12.872181,23.98,15,66.67,7.640103,true
7,NoDOGE,4,21.3935,3.790094,22.08,11,36.36,1.213935,true
7,NoDOGE,5,-36.0213,-4.049399,50.17,15,33.33,0.639787,false
7,Legacy4,0,117.4501,6.884222,27.25,18,55.56,2.174501,true
7,Legacy4,1,10.3152,2.327629,43.21,13,46.15,1.103152,true
7,Legacy4,2,298.9359,10.080905,11.43,11,72.73,3.989359,true
7,Legacy4,3,256.4799,11.104837,21.71,14,57.14,3.564799,true
7,Legacy4,4,46.5812,5.576067,27.05,11,54.55,1.465812,true
7,Legacy4,5,-6.3614,0.634640,21.68,14,35.71,0.936386,false
7,Legacy5BNB,0,103.3988,6.442754,27.25,18,55.56,2.033988,true
7,Legacy5BNB,1,-38.7803,-5.016822,43.77,14,35.71,0.612197,false
7,Legacy5BNB,2,336.0326,10.689891,11.43,11,72.73,4.360326,true
7,Legacy5BNB,3,211.0594,7.684347,49.06,14,50.00,3.110594,true
7,Legacy5BNB,4,72.0951,9.282721,14.84,9,66.67,1.720951,true
7,Legacy5BNB,5,-3.3865,0.606234,22.69,11,36.36,0.966135,false
7,OldGuardNoBNB,0,362.0814,10.510455,21.31,18,72.22,4.620814,true
7,OldGuardNoBNB,1,-38.7134,-3.743643,53.80,13,38.46,0.612866,false
7,OldGuardNoBNB,2,298.9359,10.080905,11.43,11,72.73,3.989359,true
7,OldGuardNoBNB,3,256.4799,11.104837,21.71,14,57.14,3.564799,true
7,OldGuardNoBNB,4,27.9402,3.742289,27.05,12,50.00,1.279402,true
7,OldGuardNoBNB,5,-42.1579,-3.834886,48.05,15,33.33,0.578421,false
7,LargeCaps5,0,44.9202,3.766826,48.00,16,43.75,1.449202,true
7,LargeCaps5,1,-23.0565,-2.192257,41.99,10,40.00,0.769435,false
7,LargeCaps5,2,272.0777,8.448469,21.92,15,46.67,3.720777,true
7,LargeCaps5,3,259.6119,8.191841,41.80,14,57.14,3.596119,true
7,LargeCaps5,4,35.1777,5.241441,13.00,11,45.45,1.351777,true
7,LargeCaps5,5,-38.9041,-4.621071,50.17,15,26.67,0.610959,false
7,Legacy3,0,155.2507,8.609355,20.88,17,58.82,2.552507,true
7,Legacy3,1,74.9404,6.722238,19.50,14,57.14,1.749404,true
7,Legacy3,2,138.8476,6.988347,26.40,14,42.86,2.388476,true
7,Legacy3,3,25.5556,3.348813,32.66,14,42.86,1.255556,true
