atr_period,bar,equity
100,26,0.942804
100,27,1.252742
100,28,1.171649
100,29,1.171649
100,30,1.171649
100,31,1.076580
100,32,1.076580
100,33,1.076580
100,34,1.076456
100,35,1.076456
100,36,1.076456
100,37,1.076456
100,38,1.075608
100,39,1.095769
100,40,1.144692
100,41,1.141814
100,42,1.141814
100,43,1.141814
100,44,1.141814
100,45,1.141814
100,46,1.141814
100,47,1.120212
100,48,1.055666
100,49,0.987001
100,50,0.913633
100,51,0.914607
100,52,0.904563
100,53,0.904563
100,54,0.904563
100,55,0.904563
100,56,1.179445
100,57,1.179445
100,58,1.132077
100,59,1.672027
100,60,1.672027
100,61,1.672027
100,62,2.714241
100,63,2.714241
100,64,2.725215
100,65,2.762030
100,66,4.755472
100,67,4.755472
100,68,5.919125
100,69,6.021153
100,70,5.678252
100,71,5.984021
100,72,3.677822
100,73,3.677822
100,74,3.677822
100,75,3.630733
100,76,3.880350
100,77,3.307983
100,78,2.917731
100,79,2.220520
100,80,2.998918
100,81,2.951019
100,82,2.320127
100,83,2.193462
100,84,2.084523
100,85,2.084523
100,86,2.103685
100,87,1.997571
100,88,1.847764
100,89,1.847764
100,90,1.944442
100,91,1.791284
100,92,2.169983
100,93,2.255899
100,94,2.292546
100,95,2.509668
100,96,2.469285
100,97,2.455726
100,98,2.367885
100,99,2.367885
100,100,3.201719
100,101,3.789583
100,102,3.789583
100,103,4.299988
100,104,4.122464
100,105,4.161768
100,106,3.912801
100,107,4.012082
100,108,3.862451
100,109,3.769232
100,110,3.454108
100,111,4.234173
100,112,4.234173
100,113,4.234173
100,114,4.332147
100,115,4.273794
100,116,4.428720
100,117,4.368110
100,118,7.902433
100,119,8.012517
100,120,8.207141
100,121,8.348523
100,122,8.066312
100,123,8.100289
100,124,7.852180
100,125,7.073166
100,126,8.093929
100,127,8.773109
100,128,9.311776
100,129,10.527801
100,130,11.577113
100,131,15.814612
100,132,14.394693
100,133,13.962731
100,134,16.933846
100,135,16.200690
100,136,16.286157
100,137,16.068940
100,138,16.082370
100,139,13.772770
100,140,12.753715
100,141,19.969718
100,142,20.236543
100,143,21.178251
100,144,21.430361
100,145,20.887743
100,146,20.887743
100,147,19.176286
100,148,18.979587
100,149,18.979587
100,150,18.979587
100,151,18.979587
100,152,19.176693
100,153,18.064661
100,154,18.064661
100,155,18.064661
100,156,18.064661
100,157,17.744563
100,158,17.744563
100,159,24.568851
100,160,24.568851
100,161,21.781276
100,162,21.271044
100,163,21.271044
100,164,20.689075
100,165,20.283529
100,166,32.647599
100,167,32.647599
100,168,35.192617
100,169,35.192617
100,170,40.662266
100,171,39.712508
100,172,40.964551
100,173,40.335745
100,174,40.076918
100,175,40.771270
100,176,50.552817
100,177,54.827090
100,178,56.812590
100,179,54.997651
100,180,74.083301
100,181,66.051704
100,182,66.051704
100,183,66.051704
100,184,65.705041
100,185,57.779369
100,186,57.779369
100,187,57.779369
100,188,57.779369
100,189,69.410099
100,190,71.361635
100,191,79.844151
100,192,80.063933
100,193,73.847651
100,194,91.968951
100,195,91.968951
100,196,91.968951
100,197,91.632864
