symbol,entry_bar,exit_bar,bars_held,entry_price,exit_price,gross_pct,net_pct,fee_pct,by_turtle,by_maxhold
BTCUSDT,491,494,3,10729.5,13093.8,22.035509576401502,21.79168238444067,0.24382719196083258,1,0
BTCUSDT,495,495,1,13093.8,11329.99,-13.470573859383828,-13.643459825698734,0.17288596631490627,1,0
SOLUSDT,503,505,2,197.81,170.63,-13.740458015267176,-13.912804752499397,0.17234673723222116,1,0
BTCUSDT,534,540,6,10929.23,11549.97,5.679631593442536,5.468483478370745,0.21114811507179088,1,0
SOLUSDT,591,596,5,102.32,120.82,18.080531665363566,17.844606527171038,0.23592513819252758,1,0
SOLUSDT,597,598,1,120.82,134.52,11.339182254593627,11.116726345993055,0.22245590860057263,1,0
SOLUSDT,599,601,2,134.52,132.14,-1.769253642581048,-1.9655188700683723,0.19626522748732445,1,0
BTCUSDT,616,616,1,8655.02,9230,6.643312204940011,6.430238654081033,0.2130735508589776,1,0
BTCUSDT,617,621,4,9230,9140.85,-0.9658721560129924,-1.16374254131566,0.19787038530266754,1,0
DOGEUSDT,647,648,1,0.07433,0.094402,27.003901520247563,26.750147471256057,0.25375404899150666,1,0
DOGEUSDT,649,649,1,0.094402,0.1214329,28.633821317344974,28.376810685342303,0.2570106320026717,1,0
DOGEUSDT,650,650,1,0.1214329,0.1823599,50.17338793687707,49.87334120773248,0.3000467291445901,1,0
DOGEUSDT,651,651,1,0.1823599,0.3654434,100.39679776091126,99.99640455859176,0.40039320231949205,1,0
DOGEUSDT,652,652,1,0.3654434,0.2822532,-22.764181813107033,-22.918499132161763,0.15431731905473,1,0
DOGEUSDT,655,655,1,0.408903,0.3173205,-22.39712107761499,-22.552171784752606,0.15505070713761526,1,0
DOGEUSDT,670,670,1,0.53854,0.654,21.439447394808187,21.196811136277095,0.2426362585310926,1,0
DOGEUSDT,671,672,1,0.654,0.68982,5.477064220183481,5.266320835128191,0.21074338505528978,1,0
BTCUSDT,693,696,3,8197.02,8810.01,7.478205494191781,7.263463824872729,0.2147416693190518,1,0
BTCUSDT,697,701,4,8810.01,8701.7,-1.229397015440381,-1.4267408775473833,0.19734386210700228,1,0
SOLUSDT,707,709,2,43.52,43.11,-0.9420955882353033,-1.1400134791678784,0.19791789093257517,1,0
BTCUSDT,711,723,12,9374.21,9851.83,5.095042675596129,4.885062570350218,0.2099801052459105,0,1
BTCUSDT,725,729,4,10223.08,9917.27,-2.9913685503781595,-3.1851919898379433,0.19382343945978375,1,0
SOLUSDT,732,736,4,45.48,40.54,-10.861917326297267,-11.040015393577384,0.1780980672801178,1,0
SOLUSDT,763,763,1,37.44,33,-11.85897435897435,-12.035080304311062,0.17610594533671176,1,0
DOGEUSDT,765,765,1,0.26189,0.23996,-8.373744701974118,-8.55681414312901,0.18306944115489188,1,0
DOGEUSDT,769,769,1,0.26445,0.26401,-0.1663830591794313,-0.3658508252949333,0.199467766115502,1,0
DOGEUSDT,771,772,1,0.28667,0.33984,18.54745875047965,18.310600691038136,0.23685805944151284,1,0
DOGEUSDT,773,774,1,0.33984,0.29933,-11.920315442561202,-12.096298828290342,0.17598338572913974,1,0
BTCUSDT,776,788,12,6794.09,6621.24,-2.5441229068204896,-2.7388399439696953,0.19471703714920574,1,0
BTCUSDT,805,810,5,8826.96,9986.4,13.135213029174263,12.909168647497605,0.2260443816766582,1,0
BTCUSDT,811,813,2,9986.4,8722.77,-12.653508771929822,-12.828027235921969,0.17451846399214688,1,0
DOGEUSDT,824,825,1,0.2516,0.2428,-3.497615262321141,-3.6904272198389654,0.19281195751782443,1,0
ETHUSDT,832,833,1,220.21,243.66,10.64892602515779,10.427849249882758,0.22107677527503178,1,0
ETHUSDT,834,836,2,243.66,237.71,-2.4419272757120525,-2.636848499936395,0.19492122422434255,1,0
DOGEUSDT,839,845,6,0.2548,0.2379,-6.632653061224502,-6.819201206956327,0.186548145731825,1,0
DOGEUSDT,847,849,2,0.2997,0.28,-6.573239906573236,-6.759906759906742,0.18666685333350586,1,0
BTCUSDT,892,892,1,11029.96,10906.27,-1.1214002589311156,-1.3189598987733864,0.19755963984227076,1,0
BTCUSDT,894,896,2,11100.53,11801.17,6.311770699236874,6.099359568968676,0.21241113026819747,1,0
BTCUSDT,897,897,1,11801.17,11071.35,-6.184302064964742,-6.371746016882884,0.18744395191814256,1,0
ETHUSDT,900,912,12,389.61,430.89,10.595210595210581,10.374241143471918,0.22096945173866267,0,1
BTCUSDT,913,917,4,12281.13,11662.96,-5.033494474856958,-5.223237742639453,0.18974326778249484,1,0
ETHUSDT,928,928,1,475.4,439.5,-7.551535549011357,-7.7362477656966355,0.18471221668527882,1,0
BTCUSDT,978,983,5,12780.96,13636.17,6.691281406091565,6.478112012672832,0.21316939341873287,1,0
BTCUSDT,984,984,1,13636.17,13266.4,-2.7116851725961233,-2.906067420003511,0.19438224740738752,1,0
BTCUSDT,988,992,4,13791,15590.02,13.044884344862595,12.819020440077654,0.22586390478494067,1,0
BTCUSDT,993,994,1,15590.02,14818.3,-4.950089865182994,-5.139999775542259,0.1899099103592654,1,0
BTCUSDT,999,1011,12,15684.24,19160.01,22.160908019770154,21.916830281468936,0.24407773830121826,0,1
BTCUSDT,1012,1013,1,19160.01,17149.47,-10.493418322850545,-10.672252651875825,0.17883432902528007,1,0
XRPUSDT,1014,1026,12,0.50429,0.47579,-5.651510043823993,-5.8400185152649,0.18850847144090643,1,0
ADAUSDT,1029,1030,1,0.67638,0.93966,38.92486472101482,38.6472925637301,0.2775721572847232,1,0
ADAUSDT,1031,1033,2,0.93966,0.91299,-2.838260647468238,-3.0323899968239365,0.19412934935569837,1,0
BTCUSDT,1034,1034,1,21335.52,22797.16,6.850735299631783,6.63724731701516,0.2134879826166225,1,0
BTCUSDT,1035,1038,3,22797.16,22719.71,-0.3397353003619763,-0.5388567083532636,0.1991214079912873,1,0
ADAUSDT,1041,1042,1,1.11568,1.09703,-1.671626272766391,-1.8680865599336682,0.19646028716727715,1,0
BTCUSDT,1043,1043,1,24712.47,26493.39,7.206564135434457,6.992365206092921,0.21419892934153584,1,0
BTCUSDT,1044,1044,1,26493.39,26281.66,-0.7991804748278653,-0.9973839104425841,0.19820343561471887,1,0
BTCUSDT,1046,1050,4,27079.41,32178.33,18.829509210134198,18.59208761331077,0.23742159682342745,1,0
BTCUSDT,1051,1052,1,32178.33,31988.71,-0.5892785610689066,-0.7879013811266988,0.1986228200577922,1,0
ETHUSDT,1053,1053,1,1041.43,1099.56,5.5817481731849306,5.370795629382363,0.21095254380256723,1,0
BTCUSDT,1054,1056,2,33949.53,40582.81,19.538650461434948,19.299811998974548,0.23883846246040008,1,0
BTCUSDT,1057,1058,1,40582.81,38150.02,-5.994631717222143,-6.182454630874035,0.18782291365189163,1,0
ADAUSDT,1066,1069,3,1.377,1.18561,-13.89905591866376,-14.071085776968118,0.17202985830435757,1,0
ETHUSDT,1073,1085,12,1392.51,1676.35,20.38333656490796,20.14281041792514,0.2405261469828197,0,1
BTCUSDT,1086,1087,1,39186.94,46374.87,18.3426672253562,18.10621833979107,0.23644888556513166,1,0
BTCUSDT,1088,1100,12,46374.87,57408.57,23.792411709186446,23.545074223254026,0.24733748593241955,0,1
BTCUSDT,1101,1101,1,57408.57,54087.67,-5.784676399359889,-5.9729188041563575,0.18824240479646814,1,0
ADAUSDT,1116,1119,3,1.6491,1.6423,-0.41234612819113226,-0.6113224596033362,0.19897633141220394,1,0
BTCUSDT,1121,1129,8,61188.39,54083.25,-11.611908729744314,-11.788508312701873,0.17659958295755906,1,0
ETHUSDT,1140,1152,12,1968.05,2432.6,23.604583216889807,23.357621012660278,0.2469622042295292,0,1
ETHUSDT,1165,1171,6,2532.6,3431.04,35.47500592276711,35.20432659025412,0.2706793325129908,1,0
ETHUSDT,1172,1178,6,3431.04,3945.88,15.005362805446754,14.775581860780541,0.22978094466621357,1,0
ETHUSDT,1179,1180,1,3945.88,3823.21,-3.1088122294646636,-3.30240101621897,0.19358878675430624,1,0
XRPUSDT,1192,1195,3,0.8162,1.0105,23.80543984317569,23.558076327005505,0.2473635161701857,1,0
XRPUSDT,1196,1197,1,1.0105,1.0901,7.877288471053956,7.661749433149745,0.21553903790421103,1,0
XRPUSDT,1198,1198,1,1.0901,1.2791,17.337858912026395,17.103417635478912,0.23444127654748215,1,0
XRPUSDT,1199,1200,1,1.2791,1.1855,-7.3176452192948105,-7.502824749326187,0.18517953003137677,1,0
