ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
21,18,0,27.1561,1.7873,34.50,30,43.33,1
21,18,1,1538.3297,7.5573,44.50,33,57.58,1
21,19,0,13.7609,1.4164,34.50,30,40.00,1
21,19,1,1601.8054,7.7111,42.83,33,57.58,1
21,20,0,49.6923,2.0753,39.12,31,35.48,1
21,20,1,1557.6265,8.3703,42.83,33,60.61,1
22,5,0,91.1025,3.7691,59.69,28,50.00,1
22,5,1,975.5414,8.3874,43.67,30,63.33,1
22,6,0,195.2903,5.2697,49.32,27,51.85,1
22,6,1,1297.9337,8.8512,44.20,30,66.67,1
22,7,0,103.8393,3.6802,49.32,29,48.28,1
22,7,1,2478.7086,9.7133,42.21,30,66.67,1
22,8,0,26.2190,2.0432,48.06,29,48.28,1
22,8,1,1963.1717,9.0794,48.69,30,63.33,1
22,9,0,9.1499,1.4499,50.84,29,48.28,1
22,9,1,2277.6329,9.5583,42.40,30,63.33,1
22,10,0,20.1600,1.7888,50.84,29,48.28,1
22,10,1,2096.5663,9.2682,48.69,30,63.33,1
22,11,0,38.4987,2.2883,40.43,29,48.28,1
22,11,1,2086.0922,8.9383,49.80,31,58.06,1
22,12,0,-0.1556,1.1141,40.43,29,44.83,0
22,12,1,1653.8255,8.2211,39.65,32,53.12,1
22,13,0,-38.2214,-0.8393,45.91,30,40.00,0
22,13,1,1715.5390,8.1204,42.83,32,53.12,1
22,14,0,-14.4859,0.3896,40.43,30,40.00,0
22,14,1,1082.8878,7.3089,42.83,33,54.55,1
22,15,0,0.4449,0.9881,40.43,30,40.00,1
22,15,1,1397.2049,7.9227,42.83,32,56.25,1
22,16,0,0.9770,1.1682,47.99,32,37.50,1
22,16,1,1805.3445,7.7769,44.50,32,59.38,1
22,17,0,-35.1882,-0.6149,49.10,32,37.50,0
22,17,1,1423.6907,7.3822,44.50,33,57.58,1
22,18,0,8.4778,1.2786,41.85,31,45.16,1
22,18,1,1538.3297,7.5573,44.50,33,57.58,1
22,19,0,-2.9498,0.9088,41.85,31,41.94,0
22,19,1,1601.8054,7.7111,42.83,33,57.58,1
22,20,0,27.7036,1.7675,46.25,32,37.50,1
22,20,1,1557.6265,8.3703,42.83,33,60.61,1
23,5,0,69.2369,3.4248,64.30,28,50.00,1
23,5,1,947.8939,8.3229,43.67,30,63.33,1
23,6,0,161.5037,4.8569,55.12,27,51.85,1
23,6,1,1261.9988,8.7878,44.20,30,66.67,1
23,7,0,80.5164,3.3341,55.12,29,48.28,1
23,7,1,2412.4210,9.6574,42.21,30,66.67,1
23,8,0,11.7773,1.6188,54.01,29,48.28,1
23,8,1,1910.1364,9.0255,48.69,30,63.33,1
23,9,0,-3.3388,1.0348,56.47,29,48.28,0
23,9,1,2216.5141,9.5027,42.40,30,63.33,1
23,10,0,6.4115,1.3847,56.47,29,48.28,1
23,10,1,2040.1020,9.2139,48.69,30,63.33,1
23,11,0,22.6519,1.8583,47.25,29,48.28,1
23,11,1,2029.8972,8.8856,49.80,31,58.06,1
23,12,0,-11.5796,0.6857,47.25,29,44.83,0
23,12,1,1331.8733,7.7726,39.65,32,53.12,1
23,13,0,-45.2900,-1.2561,52.10,30,40.00,0
23,13,1,1382.2579,7.6840,42.83,32,53.12,1
23,14,0,-24.2703,-0.0417,47.25,30,40.00,0
23,14,1,865.7434,6.8523,42.83,33,54.55,1
23,15,0,-11.0478,0.6185,47.25,30,40.00,0
23,15,1,1122.3609,7.4598,42.83,32,56.25,1
23,16,0,-10.5766,0.9294,53.94,32,37.50,0
23,16,1,1756.3663,7.7362,44.50,32,59.38,1
23,17,0,-42.6039,-0.9895,54.93,32,37.50,0
23,17,1,1384.5232,7.3409,44.50,33,57.58,1
23,18,0,-3.9340,0.8999,48.50,31,45.16,0
23,18,1,1496.2153,7.5158,44.50,33,57.58,1
23,19,0,-14.0541,0.5328,48.50,31,41.94,0
23,19,1,1558.0593,7.6679,42.83,33,57.58,1
23,20,0,13.0920,1.5304,52.40,32,37.50,1
23,20,1,1515.0160,8.3168,42.83,33,60.61,1
24,5,0,115.8290,4.1490,54.48,27,48.15,1
24,5,1,947.8939,8.3229,43.67,30,63.33,1
24,6,0,136.4681,4.5891,55.58,26,50.00,1
24,6,1,1261.9988,8.7878,44.20,30,66.67,1
24,7,0,63.2343,3.0730,55.58,28,46.43,1
24,7,1,2412.4210,9.6574,42.21,30,66.67,1
24,8,0,1.0761,1.2504,54.48,28,46.43,1
24,8,1,1910.1364,9.0255,48.69,30,63.33,1
24,9,0,-12.5928,0.6435,56.91,28,46.43,0
24,9,1,2216.5141,9.5027,42.40,30,63.33,1
24,10,0,-2.5399,1.0618,56.36,28,46.43,0
24,10,1,2040.1020,9.2139,48.69,30,63.33,1
24,11,0,0.7094,1.1456,52.59,28,46.43,1
24,11,1,2029.8972,8.8856,49.80,31,58.06,1
24,12,0,-27.3980,-0.0657,54.97,28,42.86,0
24,12,1,1331.8733,7.7726,39.65,32,53.12,1
24,13,0,-50.5278,-1.7239,54.97,29,37.93,0
24,13,1,1382.2579,7.6840,42.83,32,53.12,1
24,14,0,-37.8183,-0.8257,52.59,29,37.93,0
24,14,1,865.7434,6.8523,42.83,33,54.55,1
24,15,0,-26.9614,-0.0351,52.59,29,37.93,0
24,15,1,1122.3609,7.4598,42.83,32,56.25,1
24,16,0,-26.5745,0.5078,62.18,31,35.48,0
24,16,1,1756.3663,7.7362,44.50,32,59.38,1
24,17,0,-52.8720,-1.7021,62.99,31,35.48,0
24,17,1,1384.5232,7.3409,44.50,33,57.58,1
24,18,0,-21.1203,0.2379,53.72,30,43.33,0
24,18,1,1496.2153,7.5158,44.50,33,57.58,1
24,19,0,-29.4298,-0.1353,53.72,30,40.00,0
24,19,1,1558.0593,7.6679,42.83,33,57.58,1
24,20,0,6.4270,1.4158,55.20,30,36.67,1
24,20,1,1515.0160,8.3168,42.83,33,60.61,1
25,5,0,154.7121,4.6708,54.48,27,48.15,1
25,5,1,928.6066,8.2802,43.67,30,63.33,1
25,6,0,179.0695,5.1549,55.58,26,50.00,1
25,6,1,1236.9302,8.7462,44.20,30,66.67,1
25,7,0,92.6421,3.5837,55.58,28,46.43,1
25,7,1,2366.1781,9.6219,42.21,30,66.67,1
25,8,0,19.2856,1.8959,54.48,28,46.43,1
25,8,1,1873.1384,8.9912,48.69,30,63.33,1
25,9,0,3.1542,1.3120,56.91,28,46.43,1
25,9,1,2173.8770,9.4674,42.40,30,63.33,1
25,10,0,15.0182,1.7022,56.36,28,46.43,1
25,10,1,2000.7119,9.1793,48.69,30,63.33,1
25,11,0,18.8529,1.7907,52.59,28,46.43,1
25,11,1,1990.6949,8.8522,49.80,31,58.06,1
25,12,0,-14.3183,0.6166,54.97,28,42.86,0
25,12,1,1305.5186,7.7413,39.65,32,53.12,1
25,13,0,-41.6150,-0.9891,54.97,29,37.93,0
25,13,1,1354.9759,7.6542,42.83,32,53.12,1
25,14,0,-26.6159,-0.1121,52.59,29,37.93,0
25,14,1,847.9682,6.8198,42.83,33,54.55,1
25,15,0,-13.8030,0.5600,52.59,29,37.93,0
25,15,1,1099.8624,7.4265,42.83,32,56.25,1
25,16,0,-12.7634,0.9054,62.18,30,33.33,0
25,16,1,1722.1985,7.7112,44.50,32,59.38,1
25,17,0,-44.0075,-1.0228,62.99,30,33.33,0
25,17,1,1357.1994,7.3153,44.50,33,57.58,1
25,18,0,-6.2833,0.8584,52.59,29,41.38,0
25,18,1,1466.8358,7.4900,44.50,33,57.58,1
25,19,0,-16.1559,0.4929,52.59,29,37.93,0
25,19,1,1527.5415,7.6411,42.83,33,57.58,1
25,20,0,26.4455,1.8051,53.86,29,34.48,1
25,20,1,1485.2905,8.2827,42.83,33,60.61,1
26,5,0,112.4824,4.2651,54.48,26,38.46,1
26,5,1,1063.4704,8.7972,42.87,29,65.52,1
26,6,0,132.8015,4.7069,55.58,25,40.00,1
26,6,1,1426.5438,9.2960,38.19,29,68.97,1
26,7,0,60.7032,3.1523,55.58,27,37.04,1
26,7,1,2706.7398,10.1358,38.19,29,68.97,1
26,8,0,-0.4912,1.2714,54.48,27,37.04,0
26,8,1,2429.1665,9.8860,38.19,29,65.52,1
26,9,0,-13.9482,0.6514,56.91,27,37.04,0
26,9,1,2496.3755,9.9866,38.19,29,65.52,1
26,10,0,-4.0512,1.0797,56.36,27,37.04,0
26,10,1,2592.6900,10.0924,38.19,29,65.52,1
26,11,0,-0.8522,1.1658,52.59,27,37.04,0
26,11,1,2579.8503,9.7240,35.65,30,60.00,1
26,12,0,-28.5238,-0.0721,54.97,27,33.33,0
26,12,1,1701.5921,8.5065,32.26,31,54.84,1
26,13,0,-51.2949,-1.7654,54.97,28,28.57,0
26,13,1,1764.9864,8.3864,32.26,31,54.84,1
26,14,0,-38.7825,-0.8481,52.59,28,28.57,0
26,14,1,1115.1045,7.5566,32.26,32,56.25,1
26,15,0,-28.0939,-0.0403,52.59,28,28.57,0
26,15,1,1437.9823,8.2100,32.26,31,58.06,1
26,16,0,-27.6038,0.5098,62.18,30,26.67,0
26,16,1,2235.6919,8.3802,30.62,31,61.29,1
26,17,0,-53.5327,-1.7038,62.99,30,26.67,0
26,17,1,1767.8366,7.9742,30.62,32,59.38,1
26,18,0,-22.2260,0.2278,54.37,29,34.48,0
26,18,1,1908.3683,8.1617,30.62,32,59.38,1
26,19,0,-30.4191,-0.1448,54.37,29,31.03,0
26,19,1,1986.1808,8.3418,30.62,32,59.38,1
26,20,0,4.9351,1.4347,55.83,29,27.59,1
26,20,1,1932.0235,9.1498,30.62,32,62.50,1
27,5,0,93.6570,3.9742,58.51,26,38.46,1
27,5,1,1038.1793,8.7675,42.87,29,65.52,1
27,6,0,112.1758,4.3768,59.52,25,40.00,1
27,6,1,1393.3603,9.2699,38.19,29,68.97,1
27,7,0,46.4653,2.8805,59.52,27,37.04,1
27,7,1,2645.7277,10.1228,38.19,29,68.97,1
27,8,0,-9.3075,0.9522,58.51,27,37.04,0
27,8,1,2374.1883,9.8728,38.19,29,65.52,1
27,9,0,-14.9990,0.6095,57.44,27,37.04,0
27,9,1,2439.9362,9.9737,38.19,29,65.52,1
27,10,0,-5.2228,1.0383,56.89,27,37.04,0
27,10,1,2534.1571,10.0798,38.19,29,65.52,1
27,11,0,-9.6364,0.8493,56.79,27,37.04,0
27,11,1,2521.5965,9.7117,35.65,30,60.00,1
27,12,0,-34.8564,-0.3810,58.96,27,33.33,0
27,12,1,1662.4296,8.4929,32.26,31,54.84,1
27,13,0,-55.6100,-2.0607,58.96,28,28.57,0
27,13,1,1724.4459,8.3748,32.26,31,54.84,1
27,14,0,-44.2062,-1.1539,56.79,28,28.57,0
27,14,1,1088.6910,7.5384,32.26,32,56.25,1
27,15,0,-34.4646,-0.3113,56.79,28,28.57,0
27,15,1,1404.5501,8.1927,32.26,31,58.06,1
27,16,0,-34.0179,0.3310,65.53,30,26.67,0
27,16,1,2184.9193,8.3771,30.62,31,61.29,1
27,17,0,-57.6496,-1.9638,66.27,30,26.67,0
27,17,1,1727.2341,7.9690,30.62,32,59.38,1
27,18,0,-29.1166,-0.0439,58.41,29,34.48,0
27,18,1,1864.7110,8.1572,30.62,32,59.38,1
27,19,0,-36.5838,-0.4133,58.41,29,31.03,0
27,19,1,1940.8320,8.3368,30.62,32,59.38,1
27,20,0,-4.3619,1.2517,59.74,29,27.59,0
27,20,1,1887.8520,9.1371,30.62,32,62.50,1
28,5,0,93.6570,3.9742,58.51,26,38.46,1
28,5,1,1038.1793,8.7675,42.87,29,65.52,1
28,6,0,112.1758,4.3768,59.52,25,40.00,1
28,6,1,1393.3603,9.2699,38.19,29,68.97,1
28,7,0,46.4653,2.8805,59.52,27,37.04,1
28,7,1,2645.7277,10.1228,38.19,29,68.97,1
28,8,0,-9.3075,0.9522,58.51,27,37.04,0
28,8,1,2374.1883,9.8728,38.19,29,65.52,1
28,9,0,-14.9990,0.6095,57.44,27,37.04,0
28,9,1,2439.9362,9.9737,38.19,29,65.52,1
28,10,0,-5.2228,1.0383,56.89,27,37.04,0
28,10,1,2534.1571,10.0798,38.19,29,65.52,1
28,11,0,-9.6364,0.8493,56.79,27,37.04,0
28,11,1,2521.5965,9.7117,35.65,30,60.00,1
28,12,0,-34.8564,-0.3810,58.96,27,33.33,0
28,12,1,1662.4296,8.4929,32.26,31,54.84,1
28,13,0,-55.6100,-2.0607,58.96,28,28.57,0
28,13,1,1724.4459,8.3748,32.26,31,54.84,1
28,14,0,-44.2062,-1.1539,56.79,28,28.57,0
28,14,1,1088.6910,7.5384,32.26,32,56.25,1
28,15,0,-34.4646,-0.3113,56.79,28,28.57,0
28,15,1,1404.5501,8.1927,32.26,31,58.06,1
28,16,0,-34.0179,0.3310,65.53,30,26.67,0
28,16,1,2184.9193,8.3771,30.62,31,61.29,1
28,17,0,-57.6496,-1.9638,66.27,30,26.67,0
28,17,1,1727.2341,7.9690,30.62,32,59.38,1
28,18,0,-29.1166,-0.0439,58.41,29,34.48,0
28,18,1,1864.7110,8.1572,30.62,32,59.38,1
