ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
25,20,5.0439,755.8680,48.34,62,2,2
26,5,6.5311,587.9764,48.68,55,2,2
26,6,7.0014,779.6726,46.89,54,2,2
26,7,6.6440,1383.7215,46.89,56,2,2
26,8,5.5787,1214.3377,46.33,56,1,2
26,9,5.3190,1241.2136,47.55,56,1,2
26,10,5.5861,1294.3194,47.28,56,1,2
26,11,5.4449,1289.4991,44.12,57,1,2
26,12,4.2172,836.5342,43.62,58,1,2
26,13,3.3105,856.8458,43.62,59,1,2
26,14,3.3542,538.1610,42.42,60,1,2
26,15,4.0849,704.9442,42.42,59,1,2
26,16,4.4450,1104.0441,46.40,61,1,2
26,17,3.1352,857.1519,46.80,62,1,2
26,18,4.1947,943.0711,42.49,61,1,2
26,19,4.0985,977.8808,42.49,61,1,2
26,20,5.2922,968.4793,43.22,61,2,2
27,5,6.3708,565.9181,50.69,55,2,2
27,6,6.8233,752.7680,48.85,54,2,2
27,7,6.5017,1346.0965,48.85,56,2,2
27,8,5.4125,1182.4404,48.35,56,1,2
27,9,5.2916,1212.4686,47.82,56,1,2
27,10,5.5590,1264.4672,47.54,56,1,2
27,11,5.2805,1255.9800,46.22,57,1,2
27,12,4.0559,813.7866,45.61,58,1,2
27,13,3.1571,834.4179,45.61,59,1,2
27,14,3.1922,522.2424,44.52,60,1,2
27,15,3.9407,685.0427,44.52,59,1,2
27,16,4.3540,1075.4507,48.07,61,1,2
27,17,3.0026,834.7922,48.44,62,1,2
27,18,4.0566,917.7972,44.51,61,1,2
27,19,3.9617,952.1241,44.51,61,1,2
27,20,5.1944,941.7450,45.18,61,1,2
28,5,6.3708,565.9181,50.69,55,2,2
28,6,6.8233,752.7680,48.85,54,2,2
28,7,6.5017,1346.0965,48.85,56,2,2
28,8,5.4125,1182.4404,48.35,56,1,2
28,9,5.2916,1212.4686,47.82,56,1,2
28,10,5.5590,1264.4672,47.54,56,1,2
28,11,5.2805,1255.9800,46.22,57,1,2
28,12,4.0559,813.7866,45.61,58,1,2
28,13,3.1571,834.4179,45.61,59,1,2
28,14,3.1922,522.2424,44.52,60,1,2
28,15,3.9407,685.0427,44.52,59,1,2
28,16,4.3540,1075.4507,48.07,61,1,2
28,17,3.0026,834.7922,48.44,62,1,2
28,18,4.0566,917.7972,44.51,61,1,2
28,19,3.9617,952.1241,44.51,61,1,2
28,20,5.1944,941.7450,45.18,61,1,2
29,5,6.7133,644.0442,50.08,54,2,2
29,6,6.3975,813.3475,48.26,55,2,2
29,7,6.7580,1358.4418,48.26,55,2,2
29,8,5.7095,1190.0847,47.74,55,2,2
29,9,5.5976,1219.6332,47.19,55,1,2
29,10,5.6506,1266.7437,47.19,55,1,2
29,11,5.4207,1259.6621,45.58,56,1,2
29,12,4.1667,815.4510,45.01,58,1,2
29,13,4.1076,846.4591,45.01,58,1,2
29,14,4.1458,538.0762,43.89,59,1,2
29,15,4.7505,703.6412,43.89,58,2,2
